0.28	0.13	0.28	0.16	0.15
0.01	0.81	0.06	0.07	0.05
0.06	0.02	0.45	0.46	0.01
0.0	0.02	0.26	0.0	0.72
0.0	0.01	0.07	0.03	0.89
0.29	0.03	0.3	0.26	0.12
0.0	0.04	0.44	0.05	0.47
0.01	0.01	0.89	0.09	0.0
0.05	0.01	0.28	0.66	0.0
0.43	0.03	0.51	0.0	0.03
0.02	0.03	0.12	0.0	0.83
0.07	0.02	0.24	0.3	0.37
0.11	0.06	0.05	0.42	0.36
0.14	0.01	0.09	0.67	0.09
0.01	0.03	0.0	0.95	0.01
0.5	0.09	0.02	0.39	0.0
0.04	0.26	0.02	0.01	0.67
0.06	0.4	0.28	0.25	0.01
0.01	0.02	0.0	0.04	0.93
0.0	0.0	0.73	0.26	0.01
0.0	0.26	0.15	0.15	0.44
0.78	0.1	0.09	0.0	0.03
0.06	0.03	0.03	0.08	0.8
0.4	0.14	0.03	0.03	0.4
0.01	0.04	0.02	0.41	0.52
0.41	0.22	0.08	0.04	0.25
0.09	0.49	0.21	0.0	0.21
0.02	0.08	0.22	0.65	0.03
0.0	0.0	0.35	0.64	0.01
0.67	0.13	0.04	0.03	0.13
0.36	0.16	0.02	0.26	0.2
0.93	0.0	0.01	0.0	0.06
0.0	0.21	0.02	0.07	0.7
0.07	0.92	0.0	0.01	0.0
0.06	0.61	0.29	0.04	0.0
0.01	0.18	0.19	0.06	0.56
0.7	0.01	0.0	0.0	0.29
0.11	0.03	0.48	0.22	0.16
0.29	0.04	0.36	0.0	0.31
0.18	0.63	0.02	0.13	0.04
0.0	0.9	0.01	0.0	0.09
0.83	0.05	0.03	0.01	0.08
0.43	0.13	0.39	0.04	0.01
0.02	0.27	0.58	0.0	0.13
0.0	0.67	0.11	0.17	0.05
0.07	0.79	0.08	0.04	0.02
0.0	0.0	0.99	0.0	0.01
0.14	0.13	0.24	0.35	0.14
0.4	0.15	0.26	0.18	0.01
0.02	0.02	0.96	0.0	0.0
0.08	0.26	0.22	0.05	0.39
0.0	0.99	0.0	0.01	0.0
0.01	0.18	0.01	0.8	0.0
0.19	0.01	0.02	0.58	0.2
0.06	0.01	0.0	0.93	0.0
0.06	0.0	0.01	0.81	0.12
0.14	0.12	0.57	0.03	0.14
0.06	0.0	0.16	0.18	0.6
0.82	0.03	0.12	0.02	0.01
0.36	0.21	0.15	0.15	0.13
0.17	0.02	0.04	0.21	0.56
0.05	0.03	0.32	0.12	0.48
0.34	0.27	0.08	0.03	0.28
0.94	0.02	0.03	0.0	0.01
0.07	0.09	0.05	0.64	0.15
0.02	0.01	0.15	0.81	0.01
0.0	0.02	0.36	0.07	0.55
0.41	0.01	0.43	0.05	0.1
0.52	0.13	0.24	0.03	0.08
0.02	0.72	0.05	0.19	0.02
0.05	0.81	0.05	0.08	0.01
0.01	0.41	0.03	0.0	0.55
0.05	0.01	0.12	0.59	0.23
0.0	0.07	0.01	0.84	0.08
0.42	0.19	0.35	0.02	0.02
