GenSymb	LAU125_TPM	LAU355_TPM	LAU1255_TPM	LAU1314_TPM
TSPAN6	41.55	1.5	20.02	2.13
TNMD	0	0.02	0	0
DPM1	51.31	45.11	38.56	56.32
SCYL3	6.53	14.34	4.76	15.72
C1orf112	6.57	4.66	3.64	6.93
FGR	2.78	36.58	15.9	29.58
CFH	11	2.16	3.08	2.38
FUCA2	93.44	16.8	27.16	14.63
GCLC	21.24	32.46	18.38	28.67
NFYA	29.28	21.61	14.53	30.27
STPG1	25.1	4.35	5.49	4.37
NIPAL3	27.56	15.43	13.41	12.88
LAS1L	17.77	20.97	14.12	22.94
ENPP4	0.28	6.07	2.47	9.15
SEMA3F	0.11	0.02	0.77	0.04
CFTR	0	0	0.01	0
ANKIB1	54.03	22.75	19.21	25.74
CYP51A1	58.46	11.1	14.9	6.73
KRIT1	59.83	17.82	12.94	24.12
RAD52	4.97	3.46	2.52	4.66
BAD	4.28	3.87	2.8	3.45
LAP3	49.66	53.16	126.79	42.91
CD99	582.85	169.71	289.74	228.72
HS3ST1	0.57	0.78	0.32	1.44
AOC1	0.11	0.72	0	2.41
WNT16	0.07	1.5	0.12	2.56
HECW1	0.83	0.06	0	0.03
MAD1L1	38.44	15.34	11.31	19.46
LASP1	58.45	69.99	76.51	91.39
SNX11	7.84	15.4	7.34	15.21
TMEM176A	17.48	18.32	25.01	4.67
M6PR	72.12	95.42	105.36	120.3
KLHL13	2.97	0.25	0.29	0.19
CYP26B1	0.08	0	0.12	0.02
ICA1	0.52	8.99	6.97	12.77
DBNDD1	4.01	2.19	11.59	2.76
ALS2	24.04	7.74	17.7	8.45
CASP10	1.24	7.71	4.39	6.21
CFLAR	23.23	67.55	65.83	65.76
TFPI	157.69	2.34	2.19	3.25
NDUFAF7	15.32	14.31	11.48	19.1
RBM5	105.09	80.67	60.24	107.19
MTMR7	0.72	0.39	0.07	0.47
SLC7A2	1.21	0.02	0.01	0.05
ARF5	88.8	73.2	66.21	74.41
SARM1	0.62	0	0.06	0.25
POLDIP2	68.46	33.45	21.77	33.17
PLXND1	171.6	16.16	27.08	7.9
AK2	213.73	102.09	183.11	111.92
CD38	0.66	19.43	26.95	32.44
FKBP4	58.99	17.33	34.23	24.52
KDM1A	95.8	34.27	40.2	51.02
RBM6	52.66	102.54	45.75	97.42
CAMKK1	0.86	2.08	0.69	1.96
RECQL	22.36	28.21	21.92	41.46
VPS50	31.51	17.59	10.28	15.78
HSPB6	53.51	0.04	0.05	0.02
ARHGAP33	0.45	0.82	0.64	0.86
NDUFAB1	54.5	23.77	40.08	32.54
PDK4	6.5	2.19	37.41	1.22
SLC22A16	0.33	0.18	0.11	0.14
ZMYND10	0.18	0.28	0.88	0.16
ABCB5	32.22	0.13	133.6	0.19
ARX	0	0	0.03	0
SLC25A13	117.99	8.77	18.24	6.46
MIR6132	49.15	7.93	13.14	8.58
CDC27	61.75	30.89	24.65	37.97
SLC4A1	0.03	0.1	0.01	0.07
CALCR	0	0.01	0.07	0
