gene_id	LAU125_TPM	LAU125_FPKM	LAU355_TPM	LAU355_FPKM	LAU1255_TPM	LAU1255_FPKM	LAU1314_TPM	LAU1314_FPKM
ENSG00000077809	224.21	166.33	126.18	111.92	63.89	59.04	135.83	116.95
ENSG00000077935	3.39	2.52	0.13	0.11	0.47	0.43	0.15	0.13
ENSG00000077942	5.54	4.11	0.4	0.35	17.15	15.85	0.38	0.33
ENSG00000077943	0.17	0.13	0.01	0.01	0.17	0.16	0.03	0.03
ENSG00000077984	1.64	1.22	41.39	36.72	84.85	78.4	82.28	70.84
ENSG00000078018	133.42	98.98	1.24	1.1	4.9	4.53	3.24	2.79
ENSG00000078043	15.61	11.58	8.98	7.97	8.62	7.96	8.17	7.04
ENSG00000078053	0.03	0.02	0.02	0.02	0	0	0.02	0.02
ENSG00000078061	23.41	17.37	43.37	38.47	19.79	18.29	43.08	37.09
ENSG00000078070	31.22	23.16	27.52	24.41	16.36	15.12	24.39	21
ENSG00000078081	0.52	0.38	21.95	19.47	3.56	3.29	22.4	19.28
ENSG00000078098	0.44	0.33	0.01	0.01	1.48	1.37	1.84	1.59
ENSG00000078114	0.06	0.04	0.25	0.22	0.38	0.35	0.27	0.23
ENSG00000078124	23.38	17.35	8.02	7.12	23.12	21.36	7.27	6.26
ENSG00000078140	43.72	32.43	35.86	31.81	33.33	30.8	45.09	38.82
ENSG00000078142	22.09	16.39	14.83	13.16	12.35	11.42	17.16	14.78
ENSG00000078177	3.48	2.58	6.16	5.46	2.98	2.75	6.88	5.92
ENSG00000078237	5.91	4.38	2.23	1.97	2.12	1.96	3.17	2.73
ENSG00000078246	22.62	16.78	4.09	3.63	11.43	10.56	3.35	2.88
ENSG00000078269	0.61	0.45	5.64	5.01	2.29	2.11	5.15	4.44
ENSG00000078295	0.09	0.07	0.15	0.14	1.53	1.41	0.12	0.11
ENSG00000078304	84.8	62.91	101.87	90.36	45.99	42.49	125.93	108.42
ENSG00000078319	32.1	23.82	29.51	26.18	12.21	11.29	37.81	32.55
ENSG00000078328	0	0	0	0	0	0	0.02	0.01
ENSG00000078369	568.44	421.71	229.63	203.69	181.87	168.04	273.82	235.76
ENSG00000078399	1.6	1.19	0.22	0.2	0.07	0.07	0.48	0.41
ENSG00000078401	0.09	0.07	0.26	0.23	0.22	0.2	0.26	0.22
ENSG00000078403	9.77	7.24	18.18	16.13	17.27	15.96	16.81	14.47
ENSG00000078487	5.67	4.21	7.18	6.37	1.3	1.2	7.17	6.17
ENSG00000078549	0.03	0.02	0	0	0	0	0.01	0.01
ENSG00000078579	0.03	0.02	0	0	0.06	0.06	0.06	0.05
ENSG00000078589	1.79	1.33	119.4	105.91	36.85	34.04	100.11	86.2
ENSG00000078596	1.61	1.2	93.84	83.24	51.66	47.73	121.21	104.36
ENSG00000078618	113.71	84.36	94.08	83.45	76.35	70.54	89.62	77.16
ENSG00000078668	298.15	221.19	74.74	66.29	60.52	55.92	87.99	75.76
ENSG00000078674	130.26	96.63	59.16	52.48	39.25	36.26	76.85	66.17
ENSG00000078687	3.99	2.96	6.01	5.33	2.14	1.98	5.37	4.62
ENSG00000078699	13.99	10.38	12.98	11.51	7.22	6.67	10.68	9.19
ENSG00000078725	0.01	0.01	0	0	0	0	0	0
ENSG00000078747	32.51	24.12	33.96	30.12	18.56	17.15	37.12	31.96
ENSG00000078795	0.23	0.17	0.91	0.8	0.6	0.56	1.08	0.93
ENSG00000078804	16.6	12.32	6.13	5.44	14.2	13.12	3.48	3
ENSG00000078808	151.02	112.04	54.61	48.44	51.51	47.59	65.69	56.56
ENSG00000078814	1.99	1.48	3.57	3.16	1.73	1.6	3.04	2.62
ENSG00000078898	0	0	0	0	0.01	0.01	0	0
ENSG00000078900	0.15	0.11	0.32	0.28	0.18	0.16	0.55	0.48
ENSG00000078902	8.77	6.51	8.63	7.66	8.23	7.6	10.03	8.63
ENSG00000078967	31.87	23.64	8.19	7.27	7.89	7.29	8.14	7.01
ENSG00000079101	3.73	2.77	0.03	0.03	0.04	0.03	0	0
ENSG00000079102	0.03	0.02	0	0	0.16	0.15	0.04	0.03
ENSG00000079112	0	0	2.04	1.81	0.25	0.23	0.71	0.62
ENSG00000079134	12.83	9.52	13.36	11.85	9.1	8.41	12.94	11.14
ENSG00000079150	36.74	27.25	1.55	1.37	15.99	14.78	2.59	2.23
ENSG00000079156	0.05	0.04	0.22	0.19	2.38	2.2	0.04	0.04
ENSG00000079215	0.94	0.7	2.99	2.65	11.8	10.91	1.73	1.49
ENSG00000079246	384.09	284.95	192.96	171.16	251.52	232.4	254.35	219
ENSG00000079257	10.97	8.14	4.95	4.39	15.1	13.95	6.83	5.88
ENSG00000079263	3.92	2.91	104.33	92.55	21.55	19.91	121.67	104.76
ENSG00000079277	20.37	15.11	29.31	26	20.83	19.25	23.68	20.39
ENSG00000079308	91.18	67.64	0.47	0.42	28.04	25.91	0.6	0.52
ENSG00000079313	1.53	1.14	5.11	4.53	1.97	1.82	4.49	3.86
ENSG00000079332	53.56	39.73	33.97	30.13	55.86	51.62	42.66	36.73
ENSG00000079335	1.94	1.44	15.03	13.33	6.44	5.95	11.31	9.74
ENSG00000079337	2.24	1.66	0.18	0.16	0.9	0.83	0.6	0.52
ENSG00000079385	18.49	13.72	6.39	5.67	42.58	39.34	8.01	6.9
ENSG00000079387	11.33	8.41	11.98	10.63	6.86	6.34	16.43	14.15
ENSG00000079393	0	0	0	0	0.07	0.07	0	0
ENSG00000079432	4.05	3	7.97	7.07	3.8	3.51	8.76	7.54
ENSG00000079435	0.37	0.28	2.07	1.83	0.27	0.25	2.74	2.36
ENSG00000079459	309.27	229.44	94.81	84.1	43.7	40.38	103.78	89.35
ENSG00000079462	9.64	7.16	5.78	5.13	6.98	6.45	7.81	6.72
ENSG00000079482	8.45	6.27	4.18	3.71	9.9	9.15	4.2	3.62
ENSG00000079557	0	0	0	0	0	0	0	0
ENSG00000079616	13.26	9.84	13.94	12.37	14.08	13.01	22.9	19.72
ENSG00000079689	0	0	0	0	0	0	0	0
ENSG00000079691	18.54	13.76	4.82	4.28	12.73	11.76	6.53	5.62
ENSG00000079739	29.2	21.66	12.75	11.31	20.83	19.24	9.39	8.09
ENSG00000079785	33.7	25	29.48	26.15	33.79	31.22	34.31	29.54
ENSG00000079805	32.06	23.78	49.52	43.93	30.58	28.25	57.65	49.63
ENSG00000079819	226.17	167.79	38.23	33.91	30.79	28.45	50.99	43.9
ENSG00000079841	0.01	0.01	0	0	0	0	0.01	0.01
ENSG00000079931	534.53	396.55	2.64	2.34	10.77	9.95	6.96	5.99
ENSG00000079950	267.15	198.19	88.45	78.46	84.78	78.34	155.09	133.53
ENSG00000079974	5.01	3.71	15.98	14.17	12.8	11.83	14.75	12.7
ENSG00000079999	11.31	8.39	6.73	5.97	9.73	8.99	8.98	7.73
ENSG00000080007	0.05	0.04	0.15	0.14	0.2	0.19	2.04	1.75
ENSG00000080031	1.83	1.36	0.02	0.02	2.41	2.23	0.02	0.02
ENSG00000080166	1916.69	1421.92	0.52	0.46	137.43	126.99	0.82	0.71
ENSG00000080189	23.21	17.22	21.32	18.91	13.94	12.88	25.08	21.59
ENSG00000080200	4.86	3.61	1.6	1.42	1.83	1.69	1.3	1.12
ENSG00000080224	0.14	0.11	0	0	0	0	0	0
ENSG00000080293	0	0	0	0	0	0	0.08	0.07
ENSG00000080298	3.24	2.4	7.45	6.61	2.87	2.65	7.66	6.6
ENSG00000080345	19.28	14.3	11.83	10.49	8.58	7.93	14.92	12.85
ENSG00000080371	25.82	19.15	25.32	22.46	18.52	17.12	27.07	23.31
ENSG00000080493	3.38	2.51	0.29	0.26	2.04	1.89	0.75	0.64
ENSG00000080503	53.4	39.62	73.24	64.97	32.77	30.28	68.28	58.79
ENSG00000080511	0	0	0	0	0.03	0.02	0	0
ENSG00000080546	20.5	15.21	10.76	9.54	5.49	5.07	12.85	11.06
ENSG00000080561	2.6	1.93	6.02	5.34	0.86	0.79	3.76	3.23
ENSG00000080572	0.03	0.02	0.06	0.06	0	0	0.06	0.05
ENSG00000080573	0.24	0.18	0.07	0.06	0.15	0.14	0.22	0.19
ENSG00000080603	18.96	14.06	32.46	28.79	17.54	16.2	35.79	30.81
ENSG00000080608	43.88	32.56	25.55	22.67	19.88	18.37	27.04	23.28
ENSG00000080618	0.04	0.03	0.02	0.02	0.03	0.02	0.13	0.11
ENSG00000080644	0.07	0.05	0	0	0.31	0.28	0.04	0.04
ENSG00000080709	24.12	17.89	0.09	0.08	34.12	31.52	0.25	0.21
ENSG00000080802	22.47	16.67	16.24	14.41	10.41	9.62	18.56	15.98
ENSG00000080815	35.92	26.65	21.38	18.96	21.74	20.09	24.6	21.18
ENSG00000080819	28.86	21.41	7.12	6.32	10.35	9.56	9.25	7.96
ENSG00000080822	81.04	60.12	61.7	54.73	74.38	68.73	86.97	74.88
ENSG00000080823	76.19	56.52	0.6	0.53	139.2	128.62	1.16	1
ENSG00000080824	1678.54	1245.25	252.03	223.56	903.15	834.49	392.6	338.03
ENSG00000080839	18.83	13.97	11.23	9.96	8.22	7.59	13.9	11.97
ENSG00000080845	27.9	20.69	27.32	24.23	20.97	19.37	22.88	19.7
ENSG00000080854	0.13	0.1	0.25	0.22	0.08	0.07	0.2	0.17
ENSG00000080910	0	0	0	0	0	0	0	0
ENSG00000080947	0.36	0.26	0.65	0.58	0.13	0.12	0.42	0.36
ENSG00000080986	14.93	11.07	5.35	4.74	8.94	8.26	11.67	10.05
ENSG00000081014	3.74	2.77	6.66	5.9	2.39	2.21	7.7	6.63
ENSG00000081019	18.62	13.81	24.48	21.71	7.76	7.17	24.93	21.47
ENSG00000081026	5.67	4.21	1.13	1	1.75	1.62	0.7	0.6
ENSG00000081041	2.24	1.66	2.85	2.53	12.28	11.35	0.25	0.21
ENSG00000081051	0.02	0.01	0	0	0	0	0.05	0.04
ENSG00000081052	0.11	0.08	2.77	2.46	0.59	0.55	2.61	2.25
ENSG00000081059	7.1	5.27	151.05	133.99	23.67	21.87	91.18	78.5
ENSG00000081087	129.88	96.35	54.9	48.7	54.48	50.34	71.18	61.29
ENSG00000081138	0	0	0	0	0.65	0.6	0	0
ENSG00000081148	0.01	0	0.14	0.12	0.06	0.06	0.28	0.24
ENSG00000081154	246.6	182.95	145.53	129.09	126.58	116.96	174.96	150.64
ENSG00000081177	18.25	13.54	5.24	4.65	5.81	5.37	5.28	4.55
ENSG00000081181	80.67	59.84	3.61	3.2	5.18	4.78	4.42	3.81
ENSG00000081189	93.4	69.29	203.94	180.9	23.54	21.75	240.12	206.74
ENSG00000081237	11.93	8.85	1083.13	960.76	125.55	116.01	1231.19	1060.06
ENSG00000081248	0	0	0	0	0	0	0	0
ENSG00000081277	0.17	0.13	0.01	0.01	0.05	0.05	0	0
ENSG00000081307	25.31	18.78	15.95	14.15	21.06	19.46	18.97	16.33
ENSG00000081320	16.22	12.03	445.87	395.5	105.5	97.48	368.18	317.01
ENSG00000081377	8.58	6.37	3.01	2.67	3.06	2.83	4.16	3.59
ENSG00000081386	3.97	2.95	9.04	8.02	2.39	2.21	7.41	6.38
ENSG00000081479	106.18	78.77	0.13	0.12	1.73	1.6	0.04	0.04
ENSG00000081665	5.85	4.34	18.85	16.72	3.75	3.47	17.43	15.01
ENSG00000081692	4.36	3.24	6.55	5.81	6.51	6.01	5.81	5
ENSG00000081721	17.94	13.31	11.15	9.89	11.51	10.64	14.94	12.86
ENSG00000081760	10.14	7.52	3.87	3.43	3.08	2.85	5.39	4.64
ENSG00000081770	4.32	3.2	5.18	4.59	3.82	3.53	2.31	1.99
ENSG00000081791	40	29.67	45.31	40.19	24.55	22.68	37.92	32.65
ENSG00000081800	0.02	0.01	0.04	0.04	0	0	0.05	0.04
ENSG00000081803	10.45	7.75	0.01	0.01	4.73	4.37	0.15	0.13
ENSG00000081818	0.63	0.47	0.01	0	0.18	0.17	0.08	0.07
ENSG00000081842	0	0	0	0	0.09	0.08	0.06	0.06
ENSG00000081853	1.1	0.82	0.1	0.09	1.67	1.54	0.09	0.08
ENSG00000081870	46.33	34.37	46.98	41.67	49.53	45.77	57.47	49.48
ENSG00000081913	28.21	20.93	3.12	2.77	9.32	8.61	4.78	4.11
ENSG00000081923	3.84	2.85	0.17	0.15	0.19	0.17	0.29	0.25
ENSG00000081985	0.85	0.63	1.71	1.52	28.25	26.1	1.16	1
ENSG00000082014	14.88	11.04	2.76	2.45	6.32	5.84	1.78	1.54
ENSG00000082068	24.41	18.11	22.09	19.59	24.86	22.97	25.39	21.86
ENSG00000082074	4.43	3.28	126.25	111.99	80.15	74.06	87.98	75.75
ENSG00000082126	0.13	0.1	0.45	0.4	0.15	0.14	0.32	0.28
ENSG00000082146	51.89	38.49	19.54	17.33	29.68	27.42	16.69	14.37
ENSG00000082153	176.72	131.11	126.53	112.24	157.11	145.16	142.46	122.66
ENSG00000082175	0	0	0.04	0.03	0	0	0.04	0.04
ENSG00000082196	101.02	74.95	4.87	4.32	4.57	4.23	5.67	4.88
ENSG00000082212	24.9	18.48	37.01	32.83	28.2	26.05	38.47	33.12
ENSG00000082213	33.99	25.22	18.83	16.7	49.2	45.46	18.19	15.66
ENSG00000082258	17.09	12.68	25.41	22.54	10.11	9.35	22.82	19.65
ENSG00000082269	8.59	6.37	6.29	5.58	2.68	2.47	6.7	5.76
ENSG00000082293	0.2	0.15	6.2	5.5	0.31	0.29	5.84	5.02
ENSG00000082397	49.24	36.53	5.34	4.74	39.61	36.6	2.91	2.5
ENSG00000082438	43.63	32.37	49.12	43.57	6.54	6.04	53.54	46.1
ENSG00000082458	6.21	4.6	7.17	6.36	10.27	9.49	10.7	9.21
ENSG00000082482	25.31	18.78	0.07	0.06	1.86	1.72	0.05	0.04
ENSG00000082497	0	0	0	0	0.37	0.34	0.11	0.1
ENSG00000082512	10.47	7.77	94.97	84.24	19.43	17.95	82.25	70.82
ENSG00000082515	49.05	36.39	33.8	29.98	31.25	28.87	38.64	33.27
ENSG00000082516	11.79	8.75	6.89	6.11	4.67	4.31	10.27	8.84
ENSG00000082556	0.01	0	0	0	0.01	0.01	0.06	0.05
ENSG00000082641	80.67	59.84	28.89	25.62	54.11	50	30.8	26.52
ENSG00000082684	0.27	0.2	0.07	0.06	0.17	0.16	0.06	0.05
ENSG00000082701	71.4	52.97	46.47	41.22	49.61	45.83	40.52	34.89
ENSG00000082781	124.91	92.67	3.44	3.05	99.94	92.34	3.06	2.64
ENSG00000082805	24.14	17.91	6.62	5.87	9.32	8.61	6.38	5.5
ENSG00000082898	141.59	105.04	145.81	129.33	83.28	76.95	190.6	164.11
ENSG00000082929	11.19	8.3	0	0	0.28	0.25	0.12	0.1
ENSG00000082996	107.51	79.76	49.51	43.91	86.84	80.24	40.2	34.61
ENSG00000083067	0.81	0.6	0.29	0.26	1.34	1.24	0.31	0.26
ENSG00000083093	8.39	6.23	5.39	4.78	6.03	5.57	5.85	5.04
ENSG00000083097	4.95	3.67	7.96	7.06	2.21	2.04	9.35	8.05
ENSG00000083099	55.54	41.21	26.86	23.83	14.57	13.46	22.19	19.1
ENSG00000083123	25.21	18.7	10.81	9.59	6.47	5.98	8.55	7.36
ENSG00000083168	37.02	27.46	37.61	33.36	12.08	11.16	34.37	29.59
ENSG00000083223	6.8	5.04	36.51	32.39	13.59	12.56	43.74	37.66
ENSG00000083290	10.1	7.49	3.46	3.07	1.81	1.67	1.92	1.65
ENSG00000083307	0.03	0.02	0	0	0	0	0.01	0.01
ENSG00000083312	92.82	68.86	39.75	35.26	44.5	41.12	53.39	45.97
ENSG00000083444	608.45	451.39	13.37	11.86	80.84	74.7	12.06	10.38
ENSG00000083454	1.07	0.79	47.41	42.06	7	6.47	70.29	60.52
ENSG00000083457	2.19	1.62	3.84	3.4	5.57	5.15	3.99	3.44
ENSG00000083520	16.83	12.49	31.91	28.3	11.61	10.73	27.35	23.55
ENSG00000083535	10.97	8.14	25.17	22.33	7.07	6.54	22.42	19.3
ENSG00000083544	11.26	8.36	14.26	12.65	13.01	12.02	15.24	13.12
ENSG00000083622	0	0	0	0	0	0	0	0
ENSG00000083635	4.67	3.46	4.01	3.55	2.73	2.52	4.56	3.92
ENSG00000083642	16.18	12	19.15	16.98	9.05	8.36	26.07	22.45
ENSG00000083720	38.3	28.41	27.87	24.72	39.79	36.77	34.13	29.39
ENSG00000083750	15.32	11.37	11.2	9.93	14.29	13.21	6.08	5.23
ENSG00000083782	0	0	0.16	0.14	0.1	0.1	0.22	0.19
ENSG00000083799	6.93	5.14	42.3	37.52	14.49	13.39	41.26	35.52
ENSG00000083807	0.82	0.61	0.44	0.39	0.89	0.82	0.83	0.72
ENSG00000083812	1.79	1.33	2.95	2.61	2.08	1.92	2.42	2.08
ENSG00000083814	1.67	1.24	8.32	7.38	3.29	3.04	9.06	7.8
ENSG00000083817	2.17	1.61	4.1	3.64	1.29	1.19	3.12	2.69
ENSG00000083828	5.48	4.07	17.62	15.63	5.7	5.27	24.33	20.94
ENSG00000083838	1.43	1.06	2	1.77	1.56	1.44	1.79	1.54
ENSG00000083842	2.18	1.61	2.22	1.97	1.8	1.66	2.22	1.91
ENSG00000083844	2.06	1.53	3.6	3.2	1.35	1.25	4.07	3.51
ENSG00000083845	363.13	269.39	909.23	806.51	344.3	318.13	701.49	603.99
ENSG00000083857	66.3	49.19	0.12	0.1	21.63	19.98	0.18	0.16
ENSG00000083896	46.55	34.54	72.57	64.37	40.17	37.11	82.11	70.7
ENSG00000083937	34.53	25.62	33.9	30.07	30.67	28.34	37.16	32
ENSG00000084070	34.82	25.83	350.99	311.33	88.03	81.34	308.77	265.85
ENSG00000084072	57.62	42.75	30.69	27.23	27.51	25.42	36.88	31.75
ENSG00000084073	35.5	26.34	16.77	14.87	23.81	22	22.05	18.99
ENSG00000084090	176.2	130.72	80.75	71.63	68.31	63.12	91.87	79.1
ENSG00000084092	6.37	4.73	9.5	8.43	5.79	5.35	11.58	9.97
ENSG00000084093	11.52	8.55	15.74	13.96	9.01	8.32	18.31	15.77
ENSG00000084110	0.02	0.02	0.34	0.3	0.1	0.09	0.67	0.57
ENSG00000084112	14.74	10.94	7.49	6.64	7.11	6.57	7.58	6.52
ENSG00000084207	143.44	106.41	103.55	91.85	230.95	213.39	130.55	112.41
ENSG00000084234	276.67	205.25	110.14	97.7	150.92	139.45	149.08	128.35
ENSG00000084444	6.01	4.46	1.91	1.69	2.36	2.18	2.54	2.18
ENSG00000084453	0.06	0.04	0.37	0.33	0.27	0.25	0.53	0.46
ENSG00000084463	89.91	66.7	67.5	59.87	57.12	52.77	67.4	58.03
ENSG00000084623	287.22	213.08	158.5	140.6	155.43	143.62	168.85	145.38
ENSG00000084628	1.35	1	0.02	0.01	0.71	0.66	0	0
ENSG00000084636	10.5	7.79	0.02	0.02	7.24	6.69	0.61	0.52
ENSG00000084652	14.23	10.56	6.56	5.82	14.49	13.39	9.34	8.04
ENSG00000084674	0	0	0.01	0	0	0	0	0
ENSG00000084676	13.82	10.26	31.62	28.05	17.95	16.58	31.35	26.99
ENSG00000084693	11.81	8.76	8.21	7.28	15.57	14.39	7.77	6.69
ENSG00000084710	15.74	11.67	0.17	0.15	4.33	4	0.17	0.15
ENSG00000084731	1.74	1.29	0.66	0.58	7.36	6.8	0.6	0.52
ENSG00000084733	71.5	53.05	75.35	66.84	99.89	92.3	88.07	75.83
ENSG00000084734	0.05	0.04	0.16	0.15	0	0	0	0
ENSG00000084754	102.8	76.27	177.66	157.59	105.63	97.6	176.98	152.38
ENSG00000084764	6.12	4.54	1.99	1.77	5.53	5.11	2.36	2.03
ENSG00000084774	18.41	13.66	13.07	11.59	11.43	10.56	11.13	9.58
ENSG00000085063	1381.59	1024.95	41.26	36.6	1005.97	929.5	79.65	68.57
ENSG00000085117	27.68	20.53	88.81	78.78	43.16	39.88	109.24	94.06
ENSG00000085185	2.41	1.79	2.28	2.03	1.92	1.78	2.42	2.08
ENSG00000085224	36.9	27.38	33.42	29.64	17.38	16.06	39.39	33.91
ENSG00000085231	87.35	64.81	66.28	58.8	73.49	67.9	86.21	74.22
ENSG00000085265	4.76	3.53	23.14	20.53	20.68	19.1	6.9	5.94
ENSG00000085274	12.14	9.01	14.66	13.01	11.38	10.52	15.66	13.49
ENSG00000085276	0.03	0.02	0.06	0.06	0	0	0.33	0.29
ENSG00000085365	50.95	37.8	19.01	16.86	17.48	16.15	22.42	19.3
ENSG00000085377	35.67	26.46	18.5	16.41	21.56	19.93	18.16	15.63
ENSG00000085382	11.93	8.85	5.08	4.51	3.24	3	5.06	4.36
ENSG00000085415	19.65	14.58	12.58	11.15	10.13	9.36	16.9	14.55
ENSG00000085433	5.58	4.14	3.51	3.12	5.8	5.36	4.46	3.84
ENSG00000085449	123.26	91.44	28.69	25.45	66.58	61.52	27.35	23.55
ENSG00000085465	0.08	0.06	5.29	4.69	0.61	0.56	2.49	2.15
ENSG00000085491	13.65	10.13	16.48	14.62	16.14	14.91	21.32	18.35
ENSG00000085511	4.93	3.65	10.37	9.2	3.24	2.99	11.62	10.01
ENSG00000085514	1.35	1	8.86	7.86	16.81	15.53	4	3.44
ENSG00000085552	0.05	0.04	0.05	0.04	0.04	0.04	0.02	0.02
ENSG00000085563	0.31	0.23	6.44	5.71	3.15	2.91	9.04	7.79
ENSG00000085644	1.18	0.88	1.36	1.21	1	0.93	1.52	1.3
ENSG00000085662	54.42	40.38	63.28	56.13	60.49	55.89	62.68	53.96
ENSG00000085719	163.81	121.53	47.8	42.4	43.15	39.87	72.72	62.61
ENSG00000085721	35.24	26.14	22.39	19.86	14.07	13	30.76	26.48
ENSG00000085733	45.23	33.55	1.53	1.36	161.88	149.57	4.69	4.04
ENSG00000085741	0.05	0.04	0.02	0.02	0.38	0.35	0.01	0.01
ENSG00000085760	55.79	41.39	25.82	22.9	28.78	26.59	30.69	26.43
ENSG00000085788	118.65	88.02	46.16	40.95	19.9	18.39	58.93	50.73
ENSG00000085831	3.24	2.41	1.32	1.17	28.2	26.05	1.22	1.05
ENSG00000085832	134.24	99.59	57.31	50.83	43.15	39.87	76.53	65.9
ENSG00000085840	2.94	2.18	2.22	1.97	3.03	2.8	5.7	4.91
ENSG00000085871	46.85	34.75	14.12	12.52	39.27	36.28	12.25	10.55
ENSG00000085872	5.28	3.91	5.59	4.96	3.96	3.66	6.31	5.44
ENSG00000085978	10.18	7.55	15.13	13.42	7.04	6.51	12.26	10.55
ENSG00000085982	22.65	16.81	4.95	4.39	4.76	4.4	8.48	7.3
ENSG00000085998	62.89	46.65	18.86	16.73	48.85	45.13	17.32	14.91
ENSG00000085999	7.1	5.27	3.46	3.07	5.53	5.11	7.64	6.57
ENSG00000086015	8.02	5.95	5.56	4.93	6.8	6.28	12.26	10.56
ENSG00000086061	111.92	83.03	82.34	73.04	147.32	136.12	89.63	77.17
ENSG00000086062	15	11.13	56.55	50.16	34.17	31.57	55.35	47.66
ENSG00000086065	47.23	35.04	34.37	30.49	35.3	32.61	42.95	36.98
ENSG00000086102	10.05	7.45	33.9	30.07	10.2	9.43	28.19	24.28
ENSG00000086159	0.32	0.24	0.43	0.38	0.51	0.47	0.53	0.45
ENSG00000086189	29.93	22.2	27.04	23.98	16.98	15.69	27.45	23.63
ENSG00000086200	24.28	18.01	11.09	9.84	13.45	12.43	10.39	8.95
ENSG00000086205	3.06	2.27	0.1	0.09	0	0	0.03	0.03
ENSG00000086232	162.13	120.28	95.88	85.05	75.46	69.72	99.97	86.08
ENSG00000086288	0	0	0.47	0.41	0.5	0.47	0.96	0.83
ENSG00000086289	24.69	18.32	0.46	0.41	12.1	11.18	1.89	1.62
ENSG00000086300	91.66	68	49.6	44	39.75	36.73	46.96	40.44
ENSG00000086475	20.04	14.87	23.32	20.68	15.61	14.42	29.54	25.43
ENSG00000086504	27.05	20.07	20.68	18.34	21.11	19.5	24.77	21.33
ENSG00000086506	0.15	0.11	0	0	0	0	0	0
ENSG00000086544	4.01	2.98	2.76	2.45	2.63	2.43	3.25	2.8
ENSG00000086548	0.02	0.02	0.02	0.02	0	0	0.08	0.06
ENSG00000086570	0.18	0.13	0.03	0.03	1.69	1.56	0.07	0.06
ENSG00000086589	41.75	30.97	62.62	55.55	41.83	38.65	60.76	52.31
ENSG00000086598	252.28	187.16	98.74	87.59	128.49	118.72	114.52	98.61
ENSG00000086619	4.94	3.66	12.31	10.92	3.89	3.59	10.08	8.67
ENSG00000086666	74.93	55.59	51.29	45.5	37.82	34.95	61.45	52.9
ENSG00000086696	0	0	0	0	0.05	0.04	0	0
ENSG00000086712	15.71	11.65	22.4	19.87	10.11	9.34	18.21	15.68
ENSG00000086717	1.58	1.17	1.15	1.02	0.05	0.04	0.31	0.27
ENSG00000086730	1.91	1.42	83.39	73.97	11.83	10.93	113.63	97.83
ENSG00000086758	56.75	42.1	63.35	56.19	37.94	35.05	61.78	53.19
ENSG00000086827	11.67	8.66	7.56	6.7	4.06	3.75	9.33	8.03
ENSG00000086848	24.01	17.81	10.17	9.02	9.63	8.9	11.66	10.04
ENSG00000086967	0.02	0.01	0.28	0.24	0.05	0.05	0.58	0.5
ENSG00000086991	0.05	0.03	0	0	7.17	6.63	0.12	0.1
ENSG00000087008	9.25	6.86	8.94	7.93	6.78	6.26	7.03	6.05
ENSG00000087053	48.57	36.04	12.98	11.52	37.69	34.82	14.86	12.8
ENSG00000087074	299.65	222.3	506.56	449.34	370.2	342.06	241.59	208.01
ENSG00000087076	14.07	10.43	0.77	0.68	7.47	6.9	0.82	0.7
ENSG00000087077	12.44	9.23	1.52	1.35	13.15	12.15	2	1.72
ENSG00000087085	0.18	0.13	0.13	0.12	0.02	0.01	0.36	0.31
ENSG00000087086	2259.52	1676.25	2158.71	1914.83	3025.52	2795.53	1053.42	907
ENSG00000087087	42.76	31.72	47.23	41.9	47.84	44.21	53.66	46.2
ENSG00000087088	51.73	38.38	67.69	60.05	33.15	30.63	57.78	49.75
ENSG00000087095	27.85	20.66	11.84	10.5	7.05	6.51	15.41	13.27
ENSG00000087111	46.48	34.48	30.76	27.28	15.37	14.2	32.14	27.67
ENSG00000087116	0.01	0	0.44	0.39	0.41	0.38	0	0
ENSG00000087128	0	0	0.13	0.12	0	0	0.11	0.09
ENSG00000087152	9.24	6.86	23.47	20.82	11.28	10.42	21.55	18.56
ENSG00000087157	5.11	3.79	7.11	6.3	3.48	3.21	7.91	6.81
ENSG00000087191	99.95	74.15	77.57	68.8	75.59	69.84	85.97	74.02
ENSG00000087206	24.19	17.95	51.99	46.11	26.89	24.85	58.19	50.1
ENSG00000087237	41.88	31.07	11.69	10.37	0.34	0.32	0.59	0.5
ENSG00000087245	224.39	166.46	0.12	0.1	25.08	23.18	0.25	0.22
ENSG00000087250	0.83	0.61	0	0	0.08	0.07	0	0
ENSG00000087253	29.57	21.94	2.28	2.02	9.26	8.56	1.28	1.1
ENSG00000087258	12.23	9.07	0.83	0.74	1.07	0.99	1.81	1.56
ENSG00000087263	28.73	21.31	17.46	15.49	15.15	14	21.39	18.42
ENSG00000087266	10.06	7.46	16.51	14.65	8.51	7.87	24.72	21.28
ENSG00000087269	17.94	13.31	21.84	19.37	14.73	13.61	25.14	21.64
ENSG00000087274	111.65	82.83	100.94	89.54	65.95	60.94	111.3	95.83
ENSG00000087299	6.31	4.68	1.83	1.62	2.91	2.69	2.56	2.21
ENSG00000087301	11.37	8.43	2.87	2.55	2.58	2.38	3.85	3.32
ENSG00000087302	189.21	140.37	125.94	111.71	112.47	103.92	161.72	139.24
ENSG00000087303	34.51	25.6	0.21	0.19	0.11	0.1	0.17	0.15
ENSG00000087338	14.69	10.9	10.39	9.21	6.78	6.26	16.17	13.92
ENSG00000087365	156.5	116.1	132.21	117.28	78.47	72.51	154.32	132.87
