Bleh	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
RN7SL2	200609.1123	216694.1206	574095.8109	574095.8109	574095.8109	574095.8109	574095.8109	574095.8109
RN7SL1	83745.94771	149411.998	392668.6846	362067.5203	404742.2705	437800.2954	437800.2954	437800.2954
RNU4-2	574095.8109	212142.2411	199076.4257	362067.5203	266914.5841	243471.9287	219698.7966	286334.7451
RNU1-3	228262.78	286334.7451	221811.0429	216694.1206	213270.2133	219030.1126	121948.8687	216694.1206
RNVU1-18	228262.78	286334.7451	221811.0429	216694.1206	213270.2133	219030.1126	121948.8687	216694.1206
RNU1-4	228262.78	286334.7451	221811.0429	216694.1206	213270.2133	219030.1126	121948.8687	216694.1206
RNU1-1	228262.78	286334.7451	221811.0429	216694.1206	213270.2133	219030.1126	121948.8687	216694.1206
RNU1-2	228262.78	286334.7451	221811.0429	216694.1206	213270.2133	219030.1126	121948.8687	216694.1206
RN7SK	212142.2411	200609.1123	159651.4209	149411.998	195608.5336	95482.997	286334.7451	149411.998
SNORA63	149411.998	83745.94771	74377.81674	95482.997	71977.9818	78712.90171	74906.34878	107220.0463
RNVU1-7	33039.12743	33039.12743	115658.4366	73679.85571	48833.64226	149411.998	32522.17673	78712.90171
RPPH1	16365.86657	21832.97857	67946.99914	17682.555	133448.0822	27220.15557	173072.8571	21832.97857
RNU5B-1	107220.0463	73679.85571	0	95482.997	29238.83187	63508.309	19266.14661	74552.307
SNORD10	38006.10171	53336.76229	62825.46674	59347.71429	23595.7988	45671.432	16066.71514	59347.71429
SNORD22	65358.66629	107220.0463	28770.99989	38657.19671	14351.90289	54816.96614	3791.923673	63508.309
RNY1	73679.85571	65358.66629	0	0	27421.0939	53610.02314	118460.658	0
SNORA48	25794.05829	28646.25286	47899.86451	35522.61457	40280.04069	23507.856	27682.6558	30842.69014
SNORD15B	44275.266	44275.266	33644.02526	41140.68386	25103.39183	36460.75943	6874.959673	44275.266
RMRP	0	0	29006.46331	3295.100714	14050.94663	190.3785714	227277.5407	2326.686571
RNU5A-1	53336.76229	38006.10171	0	59347.71429	22812.65144	35522.61457	11816.72588	38006.10171
RNU4-1	17793.07029	11595.14829	66092.518	23002.78914	57411.19294	23002.78914	7457.308	29416.59286
SNORA54	11595.14829	11032.554	3750.467429	23219.66157	15706.25291	19605.38171	128410.7029	19002.29514
SNORD97	20211.52	17793.07029	22311.58657	19605.38171	11300.65829	27436.053	12951.76433	23507.856
SNORA73A	11032.554	14874.52114	33153.94737	9813.352143	36195.59094	12376.06329	15636.43984	13226.89657
SNORA64	28646.25286	25794.05829	20749.85246	22670.41729	10422.46903	19813.02443	1020.302653	19605.38171
SNORA8	23507.856	20211.52	14473.67874	17079.46843	7309.922371	15620.19386	1258.583184	17682.555
SNORD17	21832.97857	13719.57257	14240.68646	14874.52114	13955.67851	12164.68443	11818.36208	14874.52114
SNORA20	18999.24343	12734.22057	12407.55891	27220.15557	10019.50586	15756.32143	2224.731592	17079.46843
SNORD94	14874.52114	18999.24343	6569.504114	22670.41729	3877.5976	17682.555	5220.853102	27220.15557
B2M	1817.495714	2222.238286	17202.64257	6696.841143	39742.15837	5192.908857	18123.14833	6028.810429
MALAT1	3859.035429	2361.273714	9168.507257	3300.657857	29423.3968	2472.357571	33672.6529	3236.790714
SNORA57	13719.57257	16365.86657	10784.66331	9535.398857	7072.941257	13804.37086	2801.91351	13226.89657
SCARNA10	4281.559429	4521.494	4908.291143	7574.975571	19700.41026	5192.908857	30159.71865	7271.937857
SNORD89	12734.22057	23507.856	0	0	918.7224429	32679.33314	10494.43629	0
RPS27	2965.404857	2965.404857	3076.301657	2965.404857	128.0166714	4469.114429	47314.80506	4113.198571
SNORA81	9294.001714	9294.001714	5972.764229	11883.38729	7474.139229	8738.095143	1840.837061	9016.048429
RNU11	6132.746286	5467.419429	14640.74006	9681.097	7311.157829	6828.440571	883.4686531	6097.464571
SNORD118	10332.70257	10332.70257	8251.781829	9207.729714	2490.361143	9331.171286	609.7681633	10682.62829
SCARNA5	5008.902286	4183.844286	1973.243086	7477.196	3893.933171	7693.603143	24405.31571	9813.352143
SNORA5A	7910.010286	8329.64	5594.219486	12164.68443	3495.686543	9121.356429	557.2768163	10166.62171
RNU6ATAC	5867.926571	6820.311143	7488.454686	13719.57257	3487.720743	10444.575	487.0862857	11313.85114
EEF1A1	2474.519143	2474.519143	9270.920343	3237.911857	118.9631143	4874.489429	28449.13037	3625.612714
SNORA68	7477.196	7066.679714	6427.258057	5238.160857	6438.275943	6361.473857	7247.68902	5887.421857
SNORA27	8738.095143	7477.196	8313.942286	6458.602	4458.7458	7148.753571	705.5528571	7271.937857
SNORA7A	8329.64	8738.095143	3391.019771	7910.010286	3030.385714	8811.820857	1959.111143	8329.64
SNORA12	6820.311143	6327.002571	7736.207943	9016.048429	6566.377143	5897.211	1317.043469	7250.105857
S100A9	1.536	0.233142857	19524.22571	0.431214286	31062.39449	2.238428572	0.298510204	0.456
RNA5-8S5	3216.544571	3151.824	2036.9556	5266.806	85.914	8337.325714	299.5565714	5843.085714
FTL	395.8808571	364.8511429	3999.978	274.2581429	5528.922371	296.069	639.9397143	297.2494286
SNORA70	5109.047143	5008.902286	6243.631029	6000.336429	5970.247086	4950.208429	1146.596939	5000.280857
SNORA49	5467.419429	4782.751714	3979.539714	5238.160857	6898.367629	5004.729571	4823.688857	5147.222143
SNORA67	2821.766857	2763.513714	8638.522343	4466.953143	4063.708343	2660.910429	199.001898	3030.474714
SNORA18	6327.002571	5867.926571	4982.528	4532.155571	4087.830886	4474.716429	533.9153061	5438.414429
SNORA22	4427.938857	3859.035429	5906.047029	4054.779857	12505.85943	3911.437714	620.2548571	3813.068714
SNORA72	7066.679714	7910.010286	2188.574	5212.424571	992.3121429	6943.495429	310.6445306	6820.311143
SNORA53	3951.567714	3951.567714	5703.157943	6000.336429	4694.276143	3905.301571	2634.097388	4895.827
TMSB4X	1215.958857	1048.325714	5971.092914	3072.883286	5096.756857	2291.756	3428.037224	2670.991857
SNORA40	5276.770571	5276.770571	4414.635771	4577.880714	3762.407371	4830.624571	271.9446735	4730.307429
SNORA24	5642.097429	5642.097429	5452.623257	3523.556143	3711.479686	4717.549286	457.104449	5288.233286
SNORA46	6590.201429	6590.201429	2675.7472	6087.863429	1075.965514	6229.874429	222.9617551	5609.258571
SNORA2C	4367.361714	4652.346857	4211.579943	5084.142571	4081.207943	4474.716429	1049.784857	4354.749143
SNORA74B	4652.346857	5109.047143	3450.366343	4899.132286	3381.539086	4159.464714	794.364	4521.494
RNU12	3095.544571	3323.999714	1751.1956	3650.664286	3855.575914	3270.272143	575.0445306	2439.859
SNORA37	4891.514571	3663.159714	4128.403714	3682.113429	2358.170114	3058.614429	474.898	3486.418429
SNORA23	4046.714286	4367.361714	3995.110743	4015.260714	3001.345514	2821.766857	978.0463673	3715.742714
RNU5E-1	2896.572286	2821.766857	3648.724057	4207.038	1025.969214	3030.474714	592.0973061	2898.477429
SNORA52	4183.844286	3776.161143	3287.748971	3905.301571	3461.334343	3650.664286	1207.723673	2158.280143
SNORA31	3151.824	3502.123143	4282.391314	4214.254	1708.929971	4483.298	198.3938367	3807.363714
TPT1	1058.843429	995.3842857	3210.044571	1558.255571	887.1742	2306.931714	14715.13343	1780.034857
SCARNA16	3776.161143	4427.938857	4320.199257	2958.655714	2177.6342	3379.352143	579.8412653	2896.831429
LOC100288910	1802.014286	2045.642571	1456.683943	1809.755	67.97474286	3041.444714	12654.81837	2660.910429
SNORA26	3323.999714	6132.746286	1092.414457	2431.903286	719.7619429	5867.926571	346.7104082	5457.749
SNORA38B	4782.751714	3588.065714	1438.162229	4427.938857	1492.651314	4232.701857	804.5431837	4661.742429
SNORA74A	4521.494	4891.514571	2198.776971	2180.791286	1119.284971	2225.420714	519.8983673	3144.702286
SNORA7B	3502.123143	3442.293143	1893.4288	4183.844286	1837.367743	3443.447143	842.0272245	3413.061429
SCARNA13	3029.957143	2405.198857	1407.584514	2628.923	6496.958086	1724.466286	3325.425959	2166.095714
RPL41	1846.672857	1928.337429	1804.634571	1869.215857	277.7293429	2881.778143	9012.361633	2348.378714
HLA-B	692.7842857	767.6751429	3093.292857	2282.929714	7373.659629	1318.979714	1521.354163	1904.369286
RPL39	1594.266	1594.266	1541.923029	1137.140286	102.3265857	2011.453286	10541.17253	1872.916571
LYZ	2.290428571	0.201285714	18758.0088	0.920642857	514.7766	1.730285714	1.480469388	0.099357143
SNORA50C	3588.065714	3384.771143	2612.624343	1802.964143	2209.321171	2520.216857	293.783102	2440.745286
SNORA10	3663.159714	4281.559429	1460.126114	2628.212714	1263.426543	2896.735429	317.8384082	3056.558429
SNORA6	3384.771143	3095.544571	1638.143257	3472.208143	1239.539943	2754.152286	148.8035918	3904.827429
SCARNA6	2222.238286	2139.344286	340.9744	2645.130857	901.0559714	3719.660429	4658.312408	4070.297429
RPS18	1567.231429	1891.758857	1167.891143	1200.623286	21.17915714	2492.333571	9199.456531	2075.287857
SNORA71D	2698.118286	2896.572286	2048.719486	2835.66	1623.7792	2752.238143	467.3919592	2898.477429
SNORA9	3442.293143	4046.714286	803.0829143	3090.890571	567.4123714	3588.065714	298.5288571	2963.264714
SCARNA7	1928.337429	2094.569143	1629.269486	2586.318714	2143.394571	2645.130857	2325.673469	2896.735429
S100A8	0.494285714	0.201285714	5574.098686	0.277571429	13717.67994	0.064857143	0.024163265	0.036142857
SNORA17B	2139.344286	1681.358857	5268.736857	2158.403714	3150.077657	2090.767286	576.1273061	1238.205429
SNORD15A	2558.307143	3216.544571	1144.219314	2717.578	470.1318143	3413.061429	310.9350612	3584.056143
SNORA84	2520.216857	2520.216857	1559.192457	2687.623	1812.938857	2090.767286	589.9966531	2529.696
