0.01	0.0	0.04	0.0	0.27	0.0	0.01	0.0	0.0	0.67
0.58	0.01	0.0	0.0	0.03	0.33	0.05	0.0	0.0	0.0
0.09	0.01	0.09	0.01	0.47	0.01	0.12	0.16	0.02	0.02
0.0	0.08	0.0	0.0	0.02	0.08	0.0	0.02	0.65	0.15
0.0	0.15	0.02	0.11	0.04	0.09	0.01	0.0	0.0	0.58
0.0	0.0	0.2	0.01	0.68	0.03	0.0	0.08	0.0	0.0
0.0	0.5	0.0	0.01	0.31	0.01	0.08	0.09	0.0	0.0
0.0	0.59	0.05	0.0	0.0	0.02	0.0	0.31	0.02	0.01
0.0	0.0	0.05	0.15	0.02	0.01	0.25	0.48	0.03	0.01
0.0	0.0	0.0	0.0	0.76	0.07	0.01	0.16	0.0	0.0
0.01	0.57	0.0	0.0	0.0	0.05	0.0	0.28	0.07	0.02
0.0	0.02	0.08	0.59	0.03	0.0	0.13	0.01	0.0	0.14
0.07	0.01	0.1	0.0	0.03	0.13	0.49	0.01	0.15	0.01
0.06	0.45	0.13	0.07	0.03	0.06	0.17	0.02	0.01	0.0
0.21	0.0	0.01	0.7	0.0	0.02	0.04	0.01	0.01	0.0
0.0	0.05	0.1	0.65	0.01	0.05	0.0	0.0	0.13	0.01
0.02	0.16	0.0	0.01	0.06	0.1	0.05	0.01	0.02	0.57
0.06	0.1	0.0	0.4	0.0	0.01	0.0	0.0	0.0	0.43
0.0	0.0	0.0	0.1	0.0	0.11	0.0	0.01	0.0	0.78
0.0	0.23	0.0	0.01	0.0	0.01	0.62	0.05	0.0	0.08
0.09	0.45	0.01	0.0	0.0	0.36	0.02	0.04	0.02	0.01
0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.32	0.07	0.58
0.23	0.03	0.6	0.0	0.0	0.01	0.0	0.01	0.0	0.12
0.02	0.62	0.04	0.0	0.01	0.0	0.1	0.09	0.12	0.0
0.02	0.12	0.01	0.03	0.09	0.14	0.03	0.0	0.21	0.35
0.0	0.0	0.06	0.0	0.01	0.0	0.01	0.91	0.0	0.01
0.0	0.01	0.0	0.0	0.51	0.0	0.03	0.0	0.0	0.45
0.27	0.0	0.01	0.0	0.0	0.03	0.04	0.04	0.0	0.61
0.01	0.72	0.0	0.01	0.01	0.12	0.01	0.03	0.0	0.09
0.0	0.01	0.08	0.01	0.0	0.28	0.32	0.0	0.29	0.01
0.0	0.36	0.22	0.0	0.07	0.0	0.0	0.33	0.01	0.01
0.41	0.0	0.01	0.0	0.33	0.05	0.05	0.0	0.13	0.02
0.02	0.01	0.13	0.58	0.0	0.0	0.26	0.0	0.0	0.0
