Symbol	A	B	C	D	E	F	G	H	I	J	K	L
ACSL6	0.397692	0.320636	0.801589	0.85878	0.640199	0.006026	0.191011	0.016641	0.014681	0.988205	0.807443	0.814607
ADAM22	1.0	0.178519	0.027635	0.143708	0.872298	0.148056	0.1588	0.0	0.096922	0.051282	0.128205	0.022686
ADAM23	0.030358	0.083838	0.272472	0.663588	0.0	0.0	0.0	0.083838	0.019231	0.259399	0.0	1.0
ADAM28	0.078734	0.074408	0.005513	0.005539	0.003749	0.026115	0.065736	0.05856	0.071222	0.0	0.0	0.0
ADAMTS6	0.422625	0.116103	0.014513	0.01645	0.341319	0.041667	0.254495	0.130616	0.17808	0.050899	0.519399	0.0
ADAMTSL5	0.263393	0.113393	0.471326	0.807988	0.448997	0.243243	0.239693	0.045822	0.08271	1.0	0.531706	0.555491
AFF3	0.167285	0.185339	0.055219	0.063879	0.029872	0.063879	0.158901	0.130704	0.13542	0.054497	0.004287	0.008411
AJAP1	0.059339	0.059339	0.536991	0.81631	0.660411	0.791844	0.019178	0.534332	0.45751	0.375528	0.622824	1.0
AKAP5	0.009913	0.040685	0.0	0.009913	0.081088	0.0	0.0	0.091223	0.098625	0.065097	0.069388	0.0
AKR1C3	0.301851	0.305189	0.155573	0.162203	0.223034	0.995882	0.133778	0.04378	0.045476	0.082077	0.040691	0.113454
ALDH3B1	0.429617	0.436961	0.024819	0.053019	0.103194	0.206936	0.687597	0.996895	1.0	0.0	0.0	0.015955
ALS2CL	0.013478	0.218209	0.013478	0.089267	0.088138	0.084169	0.01469	0.202173	0.009919	0.058759	0.106383	0.029756
ANKRD31	0.0	0.054355	0.04	0.128708	0.28	0.096983	0.484917	1.0	0.163066	0.108711	0.0	0.0
ANKRD55	0.162042	0.218226	0.930242	1.0	0.0	0.037379	0.393438	0.005248	0.0	0.744194	0.0	0.615385
ANKRD7	0.041651	0.244398	1.0	0.957974	0.122199	0.033437	0.749719	0.458162	0.0	0.438544	0.668745	0.100312
ANKS1B	0.099416	0.048197	0.681159	0.781252	0.0	0.0	0.184409	0.183113	0.0	0.514099	0.12756	1.0
APOBEC3A	0.002411	0.086833	0.0	0.001206	0.0	0.013107	0.133421	0.129175	0.160221	0.0	0.042533	0.0
AQP3	0.039151	0.028101	0.101009	0.076202	0.046517	0.011962	0.015541	0.005649	0.004365	0.089777	0.046815	0.110458
ARG1	0.035583	0.25689	0.146917	0.261598	0.00593	0.0	1.0	0.005232	0.0	0.188351	0.0	0.620586
ARHGEF4	0.0	0.0	0.016159	0.034831	0.6875	0.0	0.0	0.0	0.0	0.0	0.76628	0.0
ARMCX1	0.524203	0.521121	0.293651	0.213504	0.612206	0.043957	0.602289	0.879145	1.0	0.0	0.590715	0.228495
ASB9	0.30414	0.2	0.193919	0.237013	0.031208	0.358893	0.652395	0.987665	1.0	0.261871	0.509193	0.194372
ASGR1	0.558998	0.560225	0.04907	0.066001	0.128574	0.198179	0.7315	1.0	0.999178	0.0	0.0	0.026771
ATP8A2	0.009609	0.007888	0.0	0.05895	0.009609	0.098066	0.0	0.059959	0.019217	0.0	0.008915	0.0
AURKB	0.048593	0.048495	0.024247	0.181221	0.156041	0.429112	0.049424	0.079203	0.0	0.273071	0.015841	1.0
B3GNT3	0.407895	0.443709	0.444953	0.063258	0.103855	0.310596	0.228481	1.0	0.665563	0.26334	0.0	0.633877
B3GNT9	0.01926	0.062973	0.173337	0.018936	0.199376	0.041982	0.041982	0.074074	0.04252	0.0	0.014173	0.075744
BACE2	0.194083	0.158058	0.056608	0.056193	0.035153	0.091398	0.184332	0.089397	0.124172	0.007903	0.00676	0.004687
BAIAP3	0.841007	0.52274	0.021781	0.560671	0.026405	0.196027	0.299426	0.093445	0.029598	0.026405	0.588082	0.818572
BANK1	0.056877	0.069766	0.0074	0.000808	0.025489	0.013442	0.062386	0.034357	0.033953	0.008301	0.004867	0.001702
BASP1	0.23301	0.283353	0.051881	0.049401	0.086757	0.148529	1.0	0.362656	0.358338	0.023053	0.021338	0.051907
BCL11A	0.885738	0.901749	0.188239	0.186509	0.236968	0.285404	1.0	0.904818	0.986805	0.129082	0.108257	0.154946
BCL2L14	0.014925	0.565539	0.0	0.144076	0.029851	0.016008	0.136788	0.17684	0.799554	0.0	1.0	0.139586
BFSP2	0.073372	0.301987	0.201325	0.365197	0.176093	0.094244	0.821768	0.070683	0.146468	0.746251	0.631443	1.0
BLK	0.183462	0.189014	0.052771	0.063485	0.099102	0.052031	0.201865	0.102174	0.105755	0.041958	0.086829	0.043411
BST1	0.35667	0.36745	0.022589	0.023915	0.116421	0.162843	0.615121	0.82928	0.811473	0.0	0.0	0.017617
BTK	0.641699	0.634304	0.115564	0.10473	0.17112	0.242399	0.803209	1.0	0.970302	0.065758	0.055743	0.090818
C10ORF35	0.471355	0.400095	0.937094	0.986902	0.626025	0.014113	0.206636	0.054437	0.154239	1.0	0.764223	0.900691
C12ORF68	0.532698	0.528032	0.446221	0.620834	0.510322	0.360719	0.678098	0.15159	0.490316	0.50079	0.461186	0.732042
