0.5	0.01	0.2	0.29
0.14	0.09	0.06	0.71
0.06	0.6	0.02	0.32
0.84	0.13	0.0	0.03
0.11	0.45	0.27	0.17
0.08	0.86	0.03	0.03
0.14	0.35	0.1	0.41
0.13	0.0	0.83	0.04
0.22	0.24	0.05	0.49
0.02	0.0	0.92	0.06
0.2	0.34	0.45	0.01
0.03	0.56	0.39	0.02
0.26	0.7	0.01	0.03
0.07	0.91	0.01	0.01
0.12	0.57	0.14	0.17
0.88	0.05	0.03	0.04
0.09	0.86	0.02	0.03
0.53	0.36	0.06	0.05
0.16	0.81	0.01	0.02
0.16	0.45	0.03	0.36
0.13	0.04	0.79	0.04
0.02	0.09	0.22	0.67
0.36	0.03	0.6	0.01
0.93	0.03	0.04	0.0
0.31	0.24	0.15	0.3
0.36	0.39	0.03	0.22
0.09	0.05	0.02	0.84
0.0	0.01	0.99	0.0
0.41	0.02	0.53	0.04
0.1	0.21	0.29	0.4
0.19	0.19	0.31	0.31
0.07	0.02	0.03	0.88
0.05	0.47	0.37	0.11
0.13	0.02	0.81	0.04
0.16	0.7	0.1	0.04
0.01	0.03	0.49	0.47
0.49	0.08	0.12	0.31
0.39	0.0	0.2	0.41
0.16	0.54	0.15	0.15
0.1	0.81	0.09	0.0
0.01	0.65	0.06	0.28
0.21	0.03	0.23	0.53
0.13	0.32	0.51	0.04
0.02	0.06	0.74	0.18
0.1	0.56	0.24	0.1
0.76	0.08	0.15	0.01
0.41	0.19	0.34	0.06
0.77	0.19	0.01	0.03
0.69	0.21	0.0	0.1
0.07	0.82	0.1	0.01
0.29	0.39	0.28	0.04
0.03	0.09	0.84	0.04
0.69	0.13	0.18	0.0
0.39	0.19	0.39	0.03
0.2	0.13	0.26	0.41
0.04	0.01	0.09	0.86
0.1	0.85	0.03	0.02
0.59	0.01	0.06	0.34
0.4	0.41	0.13	0.06
0.13	0.15	0.34	0.38
0.76	0.12	0.02	0.1
0.85	0.04	0.09	0.02
0.02	0.81	0.14	0.03
0.01	0.84	0.0	0.15
0.01	0.0	0.1	0.89
0.21	0.68	0.03	0.08
0.15	0.31	0.52	0.02
0.15	0.15	0.03	0.67
0.03	0.29	0.62	0.06
0.49	0.16	0.21	0.14
0.16	0.07	0.39	0.38
0.52	0.17	0.12	0.19
0.15	0.59	0.16	0.1
0.06	0.2	0.74	0.0
0.66	0.0	0.23	0.11
0.0	0.17	0.2	0.63
0.04	0.29	0.01	0.66
0.28	0.12	0.21	0.39
0.01	0.08	0.81	0.1
0.33	0.01	0.56	0.1
0.06	0.14	0.79	0.01
0.0	0.04	0.95	0.01
0.13	0.18	0.09	0.6
0.36	0.05	0.19	0.4
0.11	0.3	0.41	0.18
0.05	0.03	0.87	0.05
0.04	0.81	0.07	0.08
0.16	0.06	0.29	0.49
0.02	0.01	0.22	0.75
0.03	0.88	0.07	0.02
0.04	0.71	0.21	0.04
0.42	0.02	0.41	0.15
0.86	0.02	0.0	0.12
0.02	0.44	0.03	0.51
0.24	0.42	0.18	0.16
0.07	0.1	0.03	0.8
0.64	0.11	0.24	0.01
0.66	0.32	0.0	0.02
0.76	0.05	0.18	0.01
0.08	0.01	0.88	0.03
0.01	0.02	0.0	0.97
0.91	0.06	0.01	0.02
0.01	0.04	0.1	0.85
0.03	0.95	0.01	0.01
0.06	0.91	0.02	0.01
0.12	0.49	0.34	0.05
0.18	0.19	0.57	0.06
0.15	0.74	0.11	0.0
0.02	0.15	0.59	0.24
0.06	0.86	0.05	0.03
0.9	0.0	0.09	0.01
0.13	0.06	0.44	0.37
0.18	0.11	0.2	0.51
0.23	0.05	0.1	0.62
0.01	0.73	0.25	0.01
0.14	0.3	0.38	0.18
0.63	0.27	0.05	0.05
0.16	0.56	0.05	0.23
0.11	0.08	0.06	0.75
0.08	0.05	0.85	0.02
0.54	0.14	0.12	0.2
0.95	0.01	0.02	0.02
0.01	0.5	0.06	0.43
0.62	0.31	0.0	0.07
0.36	0.41	0.2	0.03
0.04	0.15	0.06	0.75
0.16	0.05	0.28	0.51
0.03	0.01	0.12	0.84
0.53	0.24	0.19	0.04
0.01	0.63	0.35	0.01
0.03	0.88	0.0	0.09
0.92	0.01	0.04	0.03
0.89	0.02	0.07	0.02
0.11	0.38	0.15	0.36
0.08	0.02	0.2	0.7
0.23	0.4	0.02	0.35
0.6	0.04	0.28	0.08
0.2	0.39	0.2	0.21
0.32	0.21	0.22	0.25
0.03	0.09	0.06	0.82
0.07	0.15	0.54	0.24
0.76	0.0	0.24	0.0
0.39	0.27	0.09	0.25
0.16	0.16	0.19	0.49
0.0	0.74	0.25	0.01
0.05	0.01	0.03	0.91
0.89	0.03	0.03	0.05
0.13	0.07	0.58	0.22
0.25	0.5	0.24	0.01
0.09	0.23	0.59	0.09
0.2	0.61	0.05	0.14
0.22	0.43	0.24	0.11
0.11	0.73	0.03	0.13
0.23	0.44	0.29	0.04
0.43	0.15	0.31	0.11
0.04	0.13	0.69	0.14
0.28	0.16	0.33	0.23
0.01	0.0	0.02	0.97
0.86	0.08	0.0	0.06
0.64	0.01	0.09	0.26
0.2	0.01	0.04	0.75
0.07	0.3	0.1	0.53
0.1	0.47	0.19	0.24
0.31	0.31	0.13	0.25
0.01	0.27	0.0	0.72
0.01	0.1	0.08	0.81
0.33	0.0	0.01	0.66
0.27	0.56	0.1	0.07
0.18	0.06	0.05	0.71
0.11	0.02	0.53	0.34
0.13	0.23	0.59	0.05
0.68	0.0	0.31	0.01
0.03	0.15	0.05	0.77
0.02	0.17	0.09	0.72
0.07	0.0	0.79	0.14
0.01	0.79	0.19	0.01
0.01	0.97	0.0	0.02
0.01	0.75	0.01	0.23
0.16	0.01	0.4	0.43
0.03	0.88	0.09	0.0
0.16	0.13	0.54	0.17
0.28	0.18	0.47	0.07
0.18	0.8	0.01	0.01
0.99	0.0	0.01	0.0
0.54	0.43	0.02	0.01
0.12	0.46	0.28	0.14
0.94	0.01	0.04	0.01
0.06	0.24	0.0	0.7
0.77	0.03	0.03	0.17
0.62	0.01	0.36	0.01
0.18	0.2	0.57	0.05
0.28	0.46	0.07	0.19
0.55	0.04	0.27	0.14
0.04	0.92	0.01	0.03
0.01	0.01	0.97	0.01
0.01	0.07	0.01	0.91
0.38	0.06	0.04	0.52
0.07	0.48	0.38	0.07
0.16	0.03	0.2	0.61
0.13	0.55	0.03	0.29
0.1	0.53	0.21	0.16
0.02	0.01	0.78	0.19
0.16	0.41	0.4	0.03
0.01	0.53	0.01	0.45
0.02	0.04	0.92	0.02
0.05	0.08	0.86	0.01
0.13	0.2	0.07	0.6
0.24	0.06	0.68	0.02
0.28	0.46	0.09	0.17
0.09	0.74	0.11	0.06
0.39	0.02	0.05	0.54
0.47	0.04	0.46	0.03
0.58	0.04	0.14	0.24
0.3	0.17	0.19	0.34
0.27	0.11	0.03	0.59
0.03	0.0	0.02	0.95
0.05	0.47	0.25	0.23
0.1	0.43	0.19	0.28
0.11	0.62	0.02	0.25
0.01	0.81	0.01	0.17
0.77	0.01	0.01	0.21
0.29	0.14	0.38	0.19
0.01	0.13	0.77	0.09
0.97	0.0	0.03	0.0
0.06	0.86	0.07	0.01
0.29	0.08	0.61	0.02
0.75	0.0	0.23	0.02
0.72	0.08	0.09	0.11
0.02	0.01	0.94	0.03
0.01	0.02	0.02	0.95
0.02	0.28	0.13	0.57
0.05	0.64	0.0	0.31
0.51	0.1	0.23	0.16
0.04	0.9	0.04	0.02
0.35	0.06	0.55	0.04
0.05	0.06	0.8	0.09
0.15	0.01	0.04	0.8
0.13	0.53	0.28	0.06
0.07	0.4	0.03	0.5
0.45	0.04	0.45	0.06
0.02	0.0	0.9	0.08
0.13	0.74	0.11	0.02
0.23	0.04	0.64	0.09
0.2	0.0	0.7	0.1
0.55	0.31	0.07	0.07
0.06	0.14	0.77	0.03
0.16	0.01	0.83	0.0
0.02	0.03	0.05	0.9
0.0	0.03	0.89	0.08
0.73	0.0	0.26	0.01
0.93	0.05	0.01	0.01
0.01	0.82	0.17	0.0
0.33	0.08	0.19	0.4
0.01	0.92	0.06	0.01
0.05	0.9	0.0	0.05
0.17	0.21	0.52	0.1
