CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
CAP0271	0.62	0.1392	0	0.1485	0.0324	0	0.0599	0	0
CAP0272	0.4704	0.127	0.2417	0	0	0	0.1607	0	2e-04
CAP0273	0.5468	0.1227	0.0879	0.0703	0.0832	0	0.0891	0	0
CAP0274	0.6822	0.1001	0.1074	0	0	0	0.0554	0.0308	0.0242
CAP0275	0.6554	0.0834	0.057	0.0265	0.09	0.0464	0.0141	0	0.0272
CAP0276	0.5516	0.1336	0.109	0.024	0.0327	0	0.1491	0	0
CAP0277	0.4497	0.323	0	0.0774	0.0065	0	0.02	0	0.1234
CAP0278	0.6643	0.0751	0	0.0758	0.1006	0	0.0549	0.0294	0
CAP0279	0.5672	0.1947	0.0773	0.0567	0.0076	0	0.0727	0.0239	0
CAP0280	0.6831	0.0833	0.1534	0.0323	0	0	0.0478	0	0
CAP0281	0.5885	0.066	0.0239	0.0508	0.1708	0	0.0616	0	0.0383
CAP0282	0.6781	0.118	0.0358	0.0315	0.0751	0	0.0615	0	0
CAP0283	0.6634	0.1085	0.0514	0.0176	0.091	0	0.0595	0	0.0087
CAP0284	0.541	0.1583	0.1595	0	0.0233	0	0.0521	0.0445	0.0213
CAP0285	0.5603	0.0932	0.2515	0	0	0	0.095	0	0
CAP0286	0.6278	0.1364	0.0649	0.0078	0.0435	0.036	0.0836	0	0
CAP0287	0.633	0.144	6e-04	0	0.065	0.0982	0.0591	0	0
CAP0288	0.7338	0.1088	0.0952	0.0232	0	0	0.0391	0	0
CAP0289	0.6258	0.1247	0.0581	0.0279	0.073	0	0.0656	0	0.025
CAP0290	0.6723	0.0775	0.0296	0.0921	0.0695	0	0.0311	0.0279	0
CAP0291	0.636	0.0851	0.0872	0	0.0444	0.0302	0.0144	0.0792	0.0235
CAP0292	0.723	0.0964	0.0421	0	0.077	0	0.0556	0.0059	0
CAP0293	0.6422	0.1612	0.0678	0	0.0185	0.0385	0.0494	0	0.0226
CAP0294	0.6655	0.0998	0.1309	0.0147	0.0069	0	0.0409	0	0.0413
CAP0295	0.619	0.0885	0.0403	0.0224	0	0	0.1048	0.1249	0
CAP0296	0.3772	0.2281	0.1737	0	0	0	0.156	0.0043	0.0608
CAP0297	0.6333	0.0998	0	0	0.1316	0.0732	0.0564	0.0057	0
CAP0298	0.6267	0.1253	0.0453	0	0.061	0.0733	0.0684	0	0
CAP0299	0.6834	0.1014	0	0	0.0502	0.0932	0.0518	0.02	0
CAP0300	0.4642	0.24	0.2169	0	0	0	0.079	0	0
CAP0301	0.4858	0.2278	0.1787	0	0	0	0.0846	0	0.0231
CAP0302	0.6657	0.0879	0.061	0	0.0336	0.0252	0.0735	0.0532	0
