Gene	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
ABCB1	0.45988	0.092535	0.026294	0.006427	0.809405	1.0	0.098836	0.183906	0.350085	0.11356	0.040981	0.027023	0.057719	0.075303	0.0	0.402211	0.281706	0.048876	0.037298	0.108423
ABHD5	0.012145	0.035679	0.147257	0.144822	0.181057	0.066851	0.489263	0.076804	0.04221	0.074978	0.306492	0.22667	0.054711	1.0	0.085033	0.057401	0.029909	0.095431	0.0	0.077702
ACSM3	0.049137	0.042463	0.006011	0.037362	0.0	0.051516	0.082506	0.100867	0.084995	0.027769	0.016072	0.014033	1.0	0.111336	0.131584	0.001675	0.387748	0.004555	0.059333	0.072773
ADAM19	0.36556	0.240247	0.119316	0.02316	0.020244	0.03027	0.189514	0.167767	0.065588	0.028541	0.054865	0.045126	0.0	0.24139	0.633271	0.107547	0.022137	0.154123	0.174432	0.095418
ADAMTS5	0.435873	0.342178	0.753697	0.0	0.498606	0.407134	0.477168	0.330678	0.193672	0.143636	0.127178	0.093545	0.351174	0.085316	1.0	0.16234	0.02011	0.259619	0.394611	0.539309
ADI1	0.19222	0.305881	0.321459	0.537743	0.149934	0.099724	0.211745	0.171159	0.095977	0.53189	0.062097	0.125654	0.43148	0.106379	0.842838	0.278004	1.0	0.157288	0.543419	0.15961
AGPAT5	0.314432	0.215574	0.171069	0.03841	0.055282	0.081129	0.0	0.16615	0.172144	0.458426	0.116921	0.078716	0.56255	0.179951	0.01363	0.383296	1.0	0.03102	0.076942	0.054231
ALAS1	0.155617	0.216183	0.2544	0.145119	0.24987	0.145684	0.264887	0.146806	0.166406	0.557069	0.325773	0.214823	0.345024	0.170092	0.466152	1.0	0.434892	0.24074	0.211337	0.080499
ALPL	0.05866	0.037068	0.029183	0.016293	0.019543	0.02588	0.454382	0.028959	0.025205	0.034231	0.017571	0.016501	0.005447	0.008536	0.001023	0.017218	0.003923	0.016948	0.029224	0.060689
ANK3	0.001783	0.362694	0.066134	0.075886	0.082689	0.12531	0.178296	0.501258	0.311916	0.054023	0.017709	0.003855	0.09672	0.297589	0.01956	0.490141	0.086307	0.227463	0.034116	1.0
ANXA3	0.012364	0.026633	0.037571	0.011197	0.014965	0.05518	1.0	0.02574	0.018221	0.069943	0.014883	0.0	0.056311	0.169382	0.036107	0.012028	0.164186	0.077084	0.030887	0.063774
