Gene	LAU125	LAU355	LAU1255	LAU1314
8-SEP	1.0	0.256771	0.70394	0.239637
ABCB4	0.065092	0.717613	0.165273	1.0
ABCB9	0.102937	0.054506	0.094884	0.053346
ACAP1	0.019671	0.709596	0.122929	0.714971
ACHE	0.019998	0.020296	0.005716	0.030313
ACP5	0.164597	0.172238	0.150718	0.145987
ADAM28	0.025955	0.544834	0.080319	1.0
ADAMDEC1	0.002324	0.018304	0.031851	0.007807
ADAMTS3	0.107222	0.0	0.022871	0.020608
ADRB2	0.0	0.031387	0.014223	0.013213
AIF1	0.019722	0.470741	0.445381	0.124769
AIM2	0.002494	0.381193	0.059259	0.39152
ALOX15	0.009418	0.023386	0.008228	0.023129
ALOX5	0.014139	0.772269	0.101107	0.59507
AMPD1	0.0	0.013571	0.008239	0.02088
ANGPT4	0.042166	0.024514	0.051831	0.055745
ANKRD55	0.0	0.040828	0.005223	0.031557
APOBEC3A	0.007377	0.013111	0.029924	0.00944
APOBEC3G	0.016953	0.5358	0.310038	0.469207
APOL3	0.000796	0.2342	0.152761	0.146887
APOL6	0.096077	0.169875	0.436559	0.15704
AQP9	0.003737	0.005153	0.012003	0.003932
ARHGAP22	0.086144	0.294786	0.069158	0.151579
ARRB1	0.279318	0.129857	1.0	0.098187
ASGR1	0.027943	0.045138	0.043709	0.0284
ASGR2	0.008511	0.035146	0.039697	0.025462
ATP8B4	0.001404	0.023034	0.017154	0.01832
AZU1	0.031298	0.053806	0.036271	0.045427
BACH2	0.0	0.082157	0.008408	0.135542
BANK1	0.0098	1.0	0.047963	0.94408
BARX2	0.011471	0.08685	0.089108	0.068607
BCL11B	0.0	0.029361	0.009141	0.017074
BCL2A1	0.476509	0.283266	0.468839	0.24322
BCL7A	0.088622	0.20915	0.072609	0.405102
BEND5	0.199582	0.583695	0.190518	0.569082
BFSP1	1.0	0.210974	0.495237	0.315506
BHLHE41	0.13678	0.066555	0.566697	0.070287
BIRC3	0.002162	0.615348	0.443468	0.832925
BLK	0.017119	0.879797	0.039517	1.0
BMP2K	0.25022	0.839505	0.265892	0.488942
BRAF	0.159023	0.157543	0.084284	0.197398
BRSK2	0.803192	0.482226	0.778475	0.508696
BST1	0.104513	0.047021	0.127014	0.040411
BTNL8	0.0	0.031177	0.030262	0.019536
C11ORF80	0.027012	0.097555	0.145284	0.098803
C1ORF54	0.041782	0.045884	0.041931	0.013449
C3AR1	0.0	0.014043	0.025934	0.004226
C5AR1	0.003752	0.010614	0.037444	0.004107
C5AR2	0.049387	0.136921	0.104035	0.08461
CA8	0.146924	0.390276	0.40932	0.432304
CAMP	0.003323	0.073998	0.019935	0.072336
CASP5	0.062876	0.158844	0.147554	0.063602
CCDC102B	0.282952	0.346098	0.361084	0.371355
CCL1	0.000183	0.003187	0.002455	0.0
CCL13	0.00169	0.006571	0.00499	0.006408
CCL17	0.004995	0.014717	0.004699	0.013135
CCL19	0.000406	0.002358	0.00121	0.002321
CCL20	0.007789	0.012906	0.015932	0.009228
CCL22	0.000912	0.004098	0.001254	0.005023
CCL7	0.038394	0.005158	0.079844	0.046107
CCL8	0.006617	0.007712	0.039744	0.00041
CCND2	0.0	0.037889	0.011894	0.032419
CCR10	0.002979	0.0	0.037623	0.003429
CCR2	0.0	0.023472	0.018749	0.038556
CCR3	2.8e-05	0.004958	0.005258	0.006969
CCR5	0.005646	0.064062	0.184241	0.162781
CCR6	0.027058	0.51731	0.07218	1.0
CCR7	0.0	0.196407	0.019931	0.091862
CD160	0.005184	0.033652	0.020578	0.025637
CD180	0.016233	0.437148	0.03056	1.0
CD19	0.00099	0.612261	0.013804	0.653555
CD1A	0.0	0.003836	0.001822	0.008384
CD1B	0.000472	0.003454	0.002243	0.004413
CD1C	0.00809	0.671737	0.026566	0.631329
CD1D	0.015743	0.073206	0.025688	0.072705
CD1E	0.000925	0.012302	0.004734	0.015351
CD2	0.0	0.406614	0.281053	0.464026
CD209	0.006919	0.032181	0.024643	0.013165
CD244	0.017578	0.072838	0.058682	0.05115
CD247	0.00301	0.202758	0.050096	0.168607
CD27	0.0	0.677658	0.143185	0.746551
CD28	5.3e-05	0.919963	0.328037	0.650168
CD300A	0.013158	0.126102	0.033828	0.0908
CD33	0.028869	0.099401	0.089225	0.055141
CD37	0.007022	0.906782	0.253805	1.0
CD38	0.0	0.032308	0.068326	0.066169
CD3D	0.005661	0.58029	0.300721	0.518155
CD3E	0.0	1.0	0.519655	0.894276
CD3G	0.012163	0.386022	0.15176	0.43614
CD4	0.00429	0.50445	0.141345	0.298152
CD40	0.031219	0.337708	0.03574	0.391477
CD40LG	0.050732	1.0	0.119007	0.665877
CD5	0.0	0.426533	0.050298	0.259356
CD6	0.003549	0.39004	0.066168	0.265501
CD68	0.713127	0.819564	1.0	0.127663
CD69	0.014028	1.0	0.421331	0.904593
CD7	0.0035	0.052152	0.028749	0.043599
CD70	0.0	0.031551	0.017301	0.033926
CD72	0.017383	0.81006	0.090924	1.0
CD79A	0.004646	0.894445	0.112679	1.0
CD79B	0.019593	0.925317	0.02251	1.0
CD80	0.0	0.03372	0.020021	0.032168
CD86	0.015735	0.707404	0.216584	0.429436
CD8A	0.00346	0.164321	0.524193	0.23601
CD8B	0.012816	0.375998	0.552108	0.260768
CD96	0.01577	0.982592	0.778642	1.0
CDA	0.009511	0.015546	0.017377	0.008032
CDC25A	0.481202	0.416325	0.592425	0.524743
CDH12	0.151214	0.21314	0.225962	0.241821
CDHR1	0.077991	0.248889	0.174457	0.309789
CDK6	1.0	0.479714	0.47073	0.604769
CEACAM3	0.0	0.028422	0.011935	0.025975
CEACAM8	0.011137	0.009999	0.00843	0.012031
CEMP1	0.378258	0.418198	0.352985	0.369363
CFP	0.009944	0.111373	0.018406	0.043991
CHI3L1	0.003392	0.009107	0.056013	0.007723
CHI3L2	0.0	0.73355	0.076394	1.0
CHST15	0.012039	0.048465	0.019091	0.044215
CHST7	0.005802	0.015802	0.011963	0.01569
CLC	0.0	0.000806	0.000489	0.001589
CLCA3P	0.242648	0.50689	0.747222	0.90076
CLEC10A	0.005169	0.078767	0.036845	0.04358
CLEC2D	0.022354	1.0	0.352943	0.90981
CLEC4A	0.005405	0.03298	0.012196	0.026671
CLEC7A	0.004398	0.020356	0.028121	0.012657
CLIC2	0.015918	0.065358	0.028735	0.028711
CMA1	0.0	0.013938	0.012163	0.000126
COL8A2	0.027668	0.020456	0.036978	0.027372
COLQ	0.163495	0.151395	0.13902	0.128561
CPA3	0.0	0.001591	0.000103	0.001564
CR2	0.004818	0.821339	0.025736	1.0
CREB5	0.085742	0.03931	0.09915	0.043546
CRISP3	0.021251	0.017287	0.017415	0.021459
CRTAM	0.028505	0.110518	0.858527	0.186051
CRYBB1	0.108369	0.238139	0.26664	0.211381
CSF1	0.139746	0.212591	0.841908	0.276264
CSF2	0.0	0.019692	0.006471	0.030966
CSF3R	0.004109	0.012436	0.014538	0.006404
CST7	0.005468	0.117565	0.34059	0.277728
CTLA4	0.013016	0.197734	0.827	0.212774
CTSG	0.0	0.007226	0.015323	0.004653
CTSW	0.006568	0.195811	0.149924	0.121693
CXCL10	0.000451	0.002569	0.202814	0.0
CXCL11	0.00515	0.007875	0.117028	0.004115
CXCL13	0.004833	0.111984	0.480655	0.031044
CXCL3	0.007443	0.007563	0.010287	0.002637
CXCL5	0.008113	0.004712	0.004791	0.002879
CXCL9	5.5e-05	0.018639	0.227597	0.001853
CXCR1	0.0	0.001536	0.000603	0.002268
CXCR2	0.000987	0.002686	0.001807	0.003594
CXCR5	0.02337	0.895619	0.06408	0.68445
CXCR6	0.0	0.070195	0.353336	0.174779
CXORF57	0.170317	0.352966	0.24666	0.508204
CYP27A1	0.278213	0.010589	0.178427	0.00635
CYP27B1	0.0	0.00261	0.001752	0.002048
DAPK2	0.021517	0.063633	0.050138	0.058165
DCSTAMP	0.008276	0.004705	0.015687	0.018946
DEFA4	0.001062	0.006745	0.001026	0.0
DENND5B	0.247426	1.0	0.364068	0.914863
DEPDC5	0.14131	1.0	0.258913	0.996311
DGKA	0.0	0.809451	0.091309	0.599587
DHX58	0.061761	0.150618	0.120824	0.103296
DPEP2	0.008733	0.050482	0.017138	0.035253
DPP4	0.049334	0.351766	0.095139	0.235871
DSC1	0.020044	0.062558	0.027325	0.065616
DUSP2	0.013285	0.320722	0.272525	0.194798
EAF2	0.0	0.781968	0.024738	0.72745
EBI3	0.001155	0.004161	0.003136	0.005311
EFNA5	0.588083	0.168518	0.537685	0.128627
EGR2	0.019584	0.062155	0.130535	0.052174
ELANE	0.004554	0.001471	0.002199	0.0
EPB41	0.099835	1.0	0.183342	0.972308
EPHA1	0.024247	0.109646	0.070049	0.159648
EPN2	0.345828	0.16671	0.162583	0.156725
ETS1	0.459131	1.0	0.38732	0.937485
ETV3	0.119708	0.128104	0.20309	0.077441
FAM124B	0.051839	0.070492	0.050784	0.068742
FAM174B	0.220255	0.031297	0.07148	0.045267
FAM198B	0.692837	0.167193	0.267085	0.116217
FAM65B	0.190263	0.892537	0.114829	0.807055
FASLG	0.0	0.037978	0.059278	0.040227
FBXL8	0.203467	0.228625	0.200322	0.231473
FCER1A	0.011527	0.062299	0.010807	0.082143
FCER2	0.00631	0.823293	0.014141	1.0
FCGR2B	0.048268	0.374041	0.074201	0.574177
FCGR3B	0.0	0.001261	0.001955	0.001174
FCN1	0.001976	0.017196	0.017725	0.00322
FCRL2	0.00803	0.305337	0.014615	0.104922
FES	0.111291	0.125797	0.078448	0.113272
FFAR2	0.0009	0.0	0.009255	0.004867
FLT3LG	0.017656	0.104432	0.043966	0.079632
FLVCR2	0.009644	0.024592	0.021115	0.010395
FOSB	0.388091	1.0	0.961544	0.905787
FOXP3	0.013665	0.052267	0.038664	0.111232
FPR1	0.0	0.011875	0.021073	0.000888
FPR2	0.002433	0.014206	0.017409	0.007814
FPR3	0.001029	0.026411	0.119484	0.00556
