Gene symbol	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils
8-SEP	0.028761	0.017259	0.0	0.026997	0.122836	0.014638	0.046078	0.048308	0.611045	0.036632	0.027505	0.398125	0.134073	0.956194	0.598802	0.052385	0.263975	0.041719	0.034655	0.045286	0.010013	0.021137
ABCB4	0.654473	0.007635	0.002245	0.011123	0.000291	0.012576	0.00035	0.003674	0.00443	0.0	0.004321	0.027592	0.139014	0.000495	0.035373	0.003459	0.002562	0.00418	0.005936	0.130948	0.000666	0.012723
ABCB9	0.0	0.010178	0.007378	0.009815	0.001243	0.028341	0.031465	0.022648	0.03583	0.013516	0.063733	0.021602	0.038864	0.059366	0.012562	1.0	0.003138	0.047775	0.006448	0.169946	0.0122	0.022238
ACAP1	0.097469	0.15137	0.085085	0.248213	0.184811	0.29049	0.895872	0.455833	0.161136	0.523496	0.01314	0.004015	0.0	0.04114	0.02563	0.00789	0.549953	1.0	0.130307	0.019434	0.001702	0.3414
ACHE	0.001243	0.002369	0.002167	0.002372	1e-05	0.006868	0.01012	0.00369	1e-05	0.0	0.000195	1.0	0.025858	0.000383	0.005202	0.006395	0.001013	0.008255	0.014879	0.002418	0.132191	0.019848
ACP5	0.026986	0.124831	0.020143	0.007474	0.0	0.004995	0.037199	0.023447	0.000682	0.004934	0.986686	0.060593	0.544296	0.001783	0.006191	0.064835	0.034792	0.05297	0.018747	1.0	0.276067	0.045731
ADAM28	0.653589	0.383949	0.014607	0.060461	0.02684	0.038458	0.008422	0.002041	0.0	0.002535	0.013474	0.087922	0.117082	0.041565	0.034456	0.104915	0.003074	0.020184	0.003105	0.007484	0.012882	0.17989
ADAMDEC1	0.040087	0.0339	0.008918	0.004442	0.002101	0.018244	0.005935	0.001987	0.0	0.001656	0.522014	1.0	0.585675	0.082374	0.181223	0.011469	0.004496	0.014853	0.023698	0.015811	0.206519	0.017027
ADAMTS3	0.188865	0.124257	0.041765	0.004166	0.035364	0.153718	0.081107	0.045932	0.039538	0.021797	0.026899	0.005622	0.00725	1.0	0.60738	0.073217	0.010565	0.076341	0.058617	0.031949	0.024753	0.115701
ADRB2	0.093414	0.098609	0.132489	0.415398	0.503583	0.14798	0.003859	0.117241	0.018234	0.183869	0.018274	0.159352	0.06646	1.0	0.61901	0.050399	0.008241	0.03448	0.507518	0.025413	0.00512	0.417912
AIF1	0.000431	0.000107	0.745099	0.007476	0.000353	0.538474	0.060351	0.001389	0.001763	0.062439	0.157205	0.137358	1.0	0.158055	0.142656	0.000249	0.0	0.000888	0.092129	0.281814	0.000677	0.002769
AIM2	0.060438	1.0	0.106881	0.006726	0.017273	0.164469	0.0	0.043111	0.72623	0.052969	0.027862	0.649011	0.020349	0.008119	0.001126	0.306252	0.236194	0.057691	0.078206	0.026748	0.189642	0.013482
ALOX15	0.00241	0.002934	0.001572	0.008593	0.001563	0.008556	0.004589	0.002333	0.0	0.001563	0.000476	6e-05	0.146479	0.002033	0.001866	0.001321	0.002727	0.005907	0.003175	1.0	0.00865	0.120607
ALOX5	0.612254	0.829443	0.674572	0.04234	0.030183	1.0	0.013854	0.033657	0.008357	0.015156	0.261439	0.016758	0.074029	0.210299	0.192877	0.053892	0.0	0.037475	0.141054	0.028964	0.013221	0.494665
AMPD1	0.084371	0.069055	0.029243	0.016222	0.016734	0.054405	0.019394	0.024942	0.019327	0.018543	0.022019	0.017307	0.016493	0.015246	0.021652	1.0	0.014495	0.022925	0.034511	0.026238	0.016723	0.035993
ANGPT4	0.062094	0.053917	0.034062	0.0	0.075896	0.114496	0.057295	0.158583	0.407651	0.15953	0.135345	0.05349	0.010976	0.108589	0.099181	1.0	0.416018	0.090756	0.089823	0.038471	0.01192	0.024544
ANKRD55	0.136172	0.10011	0.049011	0.025489	0.028283	0.208205	1.0	0.219865	0.023501	0.057595	0.047631	0.032547	0.006311	0.063944	0.037005	0.044107	0.572742	0.047785	0.076616	0.039056	0.053114	0.567767
APOBEC3A	0.012444	0.010133	0.429085	0.039624	0.01781	1.0	0.013309	0.003492	0.004401	0.005585	0.009347	0.804865	0.020797	0.006948	0.0	0.011933	0.00685	0.000547	0.124264	0.013432	0.469093	0.198907
APOBEC3G	0.124255	0.107209	0.076197	0.703109	1.0	0.030027	0.015324	0.245889	0.15386	0.217146	0.008666	0.0959	0.006311	0.048745	0.014237	0.21067	0.021009	0.08931	0.599597	0.0	0.136899	0.011834
APOL3	0.011402	0.039609	0.082724	0.098476	0.082909	0.000752	0.078138	0.139016	0.093599	0.101815	0.012866	1.0	0.031098	0.015256	0.0	0.060182	0.023179	0.082049	0.098529	0.011125	0.069951	0.000879
APOL6	0.011812	0.00588	0.006102	0.007178	0.378961	0.013642	0.00625	0.002586	0.053619	0.002596	0.007442	1.0	0.001905	0.017862	0.002333	0.001954	0.001274	0.007711	0.003916	0.00331	0.1597	0.0
AQP9	0.00064	0.000185	0.148356	0.005907	0.0	1.0	0.000118	0.000169	3.9e-05	8e-05	0.333812	0.31379	0.028255	0.041187	0.136104	0.000225	0.000445	0.003775	0.012875	0.081798	0.105332	0.008489
ARHGAP22	0.007447	0.012047	0.014231	0.023521	0.005013	0.002662	0.019967	0.003409	0.000995	0.010937	0.05481	0.11405	0.087613	0.011521	0.01347	0.003814	0.004344	0.006751	0.0	0.103349	1.0	0.023256
ARRB1	0.006033	0.005482	0.324612	0.037166	0.098428	0.01866	0.008121	0.01298	0.011381	0.008405	0.244393	0.704361	0.291064	0.027457	0.017565	0.008331	0.00792	0.0	0.005419	0.026437	0.018596	0.013648
ASGR1	0.036793	0.038469	1.0	0.005868	0.010422	0.071996	0.005871	0.00839	0.003163	0.007273	0.10663	0.020702	0.154767	0.051354	0.062531	0.038587	0.0	0.014857	0.308435	0.073132	0.029433	0.036304
