Row	ascites7873R1	ascites7873R2	ascites7882R1	ascites7882R2	ascites7892R1	ascites7892R2
AADACP1	0.071415	0.063803	0.005937	0.062985	0.015138	0.022185
AATK	0.074446	0.166469	0.130905	0.142363	0.104447	0.159174
ABCA12	0.019549	0.027914	0.117084	0.063084	0.114625	0.032397
ABCA13	0.515187	0.393763	0.194289	0.269231	0.362496	0.509904
ABCA4	0.024683	0.044489	0.057494	0.040054	0.056754	0.050016
ABCA6	0.080821	0.074002	0.042851	0.039394	0.041996	0.042153
ABCB1	0.096462	0.086906	0.063689	0.076247	0.072925	0.073412
ABCC2	0.058697	0.104054	0.029438	0.04466	0.067363	0.069537
ABCC6P1	0.0	0.0	0.003545	0.059678	0.026466	0.0
ABCC9	0.381672	0.33531	0.131687	0.196887	0.351885	0.231371
ABCG2	0.074804	0.029393	0.02442	0.056018	0.029641	0.089782
ABI3	0.244205	0.268764	0.164911	0.202997	0.131953	0.151465
ABI3BP	0.018617	0.015902	0.012043	0.011707	0.035107	0.01748
ACAN	0.000433	0.000494	0.0003	0.00059	0.00239	0.001041
ACKR2	0.38456	0.408765	0.620642	0.700871	0.954129	0.56183
ACKR4	0.002924	0.004624	0.000543	0.00185	0.009886	0.010867
ACOT12	0.02991	0.0	0.0	0.0	0.029063	0.041761
ACPP	1.0	0.926951	0.449081	0.493461	0.38167	0.411517
ACSBG1	0.587389	0.772284	0.735146	0.494201	0.966958	1.0
ACSM5	0.180967	0.125104	0.06986	0.070761	0.069073	0.089508
ACTA2	0.010367	0.009525	0.071289	0.006874	0.012488	0.012408
ACTG1P17	0.088901	0.126397	1.0	0.095584	0.083459	0.104065
ACTG2	0.00639	0.008075	0.523166	0.006948	0.008343	0.010864
ACTN2	0.024291	0.008878	0.0	0.011242	0.0	0.0
ACVR1C	0.046936	0.027795	0.091469	0.046499	0.060484	0.129447
ACVRL1	0.010483	0.01286	0.007383	0.007019	0.005423	0.008109
ADAM12	0.002141	0.005013	0.000138	0.002812	0.006097	0.007522
ADAM33	0.002698	0.003029	0.00143	0.004157	0.002152	0.003992
ADAMTS12	0.039047	0.032964	0.03512	0.051373	0.049568	0.048056
ADAMTS16	1.0	0.526406	0.331145	0.494239	0.438991	0.426713
ADAMTS18	0.002716	0.0	0.0	0.0	0.0	0.0
ADAMTS19	0.001364	0.0	0.0	0.0	0.001513	0.0
ADAMTS4	0.058294	0.059675	0.029355	0.027439	0.045827	0.056442
ADAMTS5	0.033579	0.026461	0.034734	0.04562	0.053243	0.043373
ADAMTS9	0.113388	0.098203	0.169411	0.144564	0.340427	0.229106
ADAMTSL2	0.00546	0.006176	0.007945	0.001851	0.010589	0.007633
ADAMTSL3	0.693969	0.627934	0.465498	0.440648	1.0	0.597796
ADCY10	0.101944	0.031294	0.022846	0.267425	0.470839	0.021337
ADD2	0.538442	0.496374	0.545679	0.667888	0.634828	0.544301
ADGRB3	0.116355	0.081391	0.01848	0.068513	0.059981	0.035995
ADGRD1	0.627395	0.614107	0.381292	0.382815	1.0	0.70788
ADGRF3	1.0	0.562019	0.448134	0.684629	0.568485	0.794826
ADGRF4	0.077197	0.056121	0.084197	0.092357	0.16552	0.181948
ADGRF5	0.002591	0.001144	0.000847	0.00152	0.001479	0.002334
ADGRG6	0.22415	0.181289	0.23909	0.258041	0.265306	0.251086
ADGRL2	0.424653	0.32635	0.57168	0.617764	0.730942	0.563341
ADGRL4	0.000147	0.000703	0.0	0.0	0.0	0.0
ADH1B	0.001055	0.000389	0.000363	0.000437	0.000457	0.000464
ADIRF	0.024888	0.023935	0.027805	0.02915	0.050563	0.060914
ADRA1D	0.0	0.0	0.0	0.002025	0.0	0.0
ADRA2A	0.004713	0.0	0.0	0.001987	0.0	0.001959
ADRA2C	0.0	5.5e-05	0.0	0.003562	8.4e-05	0.000265
ADRB1	0.456875	0.446768	0.20008	0.251846	0.149925	0.198935
AFP	0.234125	0.185051	0.33943	0.39131	0.738727	1.0
AGMO	0.283088	0.139577	0.218742	0.337811	0.236208	0.235344
AIM1L	0.103401	0.173375	0.218689	0.240758	0.216408	0.181473
AIM2	1.0	0.931925	0.41979	0.569218	0.459244	0.647203
AJAP1	0.064587	0.035075	0.0159	0.037504	0.012307	0.027667
AK4	0.401972	0.355734	0.388158	0.489159	0.467804	0.459404
AKR1B10	0.020244	0.030542	0.14229	0.03112	0.033601	0.036363
AKR1C1	0.011213	0.011315	0.006572	0.008672	0.007506	0.005054
ALDH1A1	0.046783	0.045902	0.027611	0.035312	0.022085	0.026646
ALDH1L1	0.111591	0.100901	0.155269	0.132044	0.148505	0.136227
ALDH3A1	0.001939	0.020752	0.014549	0.025826	0.013151	0.002549
ALOX15B	0.007757	0.011916	0.003378	0.002853	0.000675	0.0
ALOX5AP	0.981829	1.0	0.446353	0.607961	0.717913	0.776497
ALPK2	0.005325	0.006398	0.003763	0.004866	0.009265	0.009284
ALPK3	0.114275	0.09014	0.166747	0.225514	0.212744	0.140738
ALX1	0.002239	0.00071	0.003905	0.004681	0.000416	0.0
AMDHD1	0.83548	1.0	0.563145	0.901646	0.748191	0.683198
AMN	0.010789	0.059035	0.109819	0.13132	0.104711	0.109526
ANGPT2	0.003315	0.003472	0.001525	0.00218	0.003134	0.002271
ANGPTL1	0.132974	0.107241	0.043028	0.118446	0.086429	0.133506
ANKRD20A1	0.480663	0.382415	0.125557	0.63228	0.68748	0.799675
ANKRD20A3	0.702185	0.389575	0.505226	1.0	0.182383	0.315313
ANKRD33	0.0	0.0	0.0	0.000877	0.007773	0.0
ANKRD36BP2	0.205907	0.186093	0.121024	0.12427	0.188138	0.165039
ANKS1B	0.868346	0.711039	0.535053	0.615133	0.614869	0.731892
ANO1	0.228096	0.186094	0.314327	0.367976	0.330239	0.301617
