Gene	A	B	C	D	E	F	G	H	I	J	K	L
ABCB1	0.521002	0.498475	0.434062	0.440457	0.742353	0.888166	0.40083	0.245651	0.277502	0.370311	0.724621	0.399419
ABHD5	0.175061	0.198388	0.053492	0.092397	0.107812	0.161566	0.436496	0.321809	0.318579	0.045383	0.086392	0.111176
ACSM3	0.341859	0.329358	0.436239	0.448157	0.476194	0.337108	0.255848	0.291094	0.357133	0.482738	0.496635	0.395987
ADAM19	0.88478	0.88474	0.87718	0.862605	0.468797	0.338693	0.933632	0.583678	0.606915	0.900928	0.409696	1.0
ADAMTS5	0.431745	0.388222	0.242532	0.106044	0.116081	0.281285	0.587882	0.305797	0.629128	0.413454	0.5081	0.971481
ADI1	0.013188	0.038696	0.011195	0.0	0.011687	0.005043	0.009092	0.04303	0.044343	0.002947	0.031907	0.007785
AGPAT5	0.182014	0.20726	0.172646	0.156727	0.158826	0.137273	0.118804	0.127505	0.134488	0.138865	0.166071	0.161878
ALAS1	0.078139	0.048782	0.0	0.016651	0.053291	0.118621	0.10998	0.128244	0.087778	0.049749	0.030947	0.118892
ALPL	0.268511	0.244808	0.110882	0.107	0.151856	0.198917	1.0	0.06361	0.079925	0.0	0.044006	0.032002
ANK3	0.074578	0.338731	0.0	0.351032	0.23824	0.228173	0.253802	0.220199	0.145544	0.540621	0.25533	0.18762
ANXA3	0.027112	0.04899	0.080926	0.048519	0.06249	0.150569	0.291667	0.057455	0.000586	0.030505	0.023575	0.191734
AOC2	0.423645	0.440111	0.070286	0.265552	0.176594	0.424635	0.366071	0.211084	0.224801	0.470483	0.372167	0.099101
APOBEC3A	0.024712	0.074647	0.013606	0.020021	0.009301	0.036958	0.096438	0.094854	0.109477	0.0	0.05363	0.009114
APOBEC3G	0.598412	0.639209	0.53678	0.496072	0.793269	1.0	0.385159	0.431892	0.406443	0.419735	0.729934	0.589335
APOE	0.004912	0.012009	0.003287	0.009257	0.010528	0.0	0.010749	0.016345	0.014402	0.013531	0.011509	0.004904
ARID4A	0.097466	0.112793	0.11054	0.10339	0.10194	0.105458	0.121059	0.113967	0.102757	0.118499	0.101995	0.113159
ARNT2	0.040943	0.104199	0.085328	0.075875	0.132819	0.089497	0.1082	0.035707	0.210943	0.101512	0.072185	0.076599
ASGR1	0.641743	0.64463	0.1285	0.154515	0.233125	0.316138	0.802769	1.0	0.999089	0.015771	0.011054	0.090298
ASGR2	0.531873	0.563021	0.062704	0.094884	0.217145	0.290026	0.676965	1.0	0.988905	0.007059	0.0	0.019056
ASRGL1	0.080524	0.162443	0.071495	0.033379	0.0	0.181371	0.131434	0.251938	0.178487	0.054594	0.019592	0.139869
ATP2A1	0.215157	0.384139	0.350572	0.470835	0.562075	0.286443	0.265162	0.610841	0.418362	0.545918	0.334481	0.42219
ATP2B1	0.02982	0.093646	0.078381	0.048973	0.055901	0.004282	0.072542	0.11	0.101259	0.046675	0.056005	0.040538
BEX1	0.033017	0.052156	0.071794	0.063058	0.072524	0.004343	0.019862	0.036641	0.017874	0.073582	0.082866	0.036641
BMX	0.354202	0.159458	0.322062	0.333487	0.167961	0.188204	0.561497	0.369342	0.203792	0.266214	0.085996	0.148975
