Symbol	A	B	C	D	E	F	G	H	I	J	K	L
ABLIM1	0.429648	0.448254	0.72617	0.754907	0.666765	0.430617	0.249631	0.132947	0.137644	0.736613	0.695515	0.613514
ABP1	0.029633	0.008159	0.068136	0.007005	0.039136	0.094886	0.343936	0.213287	0.165699	0.0	0.012961	0.055419
ACER3	0.024615	0.018378	0.018241	0.011581	0.010968	0.026696	0.029744	0.045108	0.050565	0.004312	0.016866	0.012784
ACSL1	0.042367	0.049541	0.010161	0.008259	0.014859	0.026659	0.127889	0.125865	0.118451	0.004732	0.0	0.010297
ADAM28	0.062362	0.060128	0.019379	0.019558	0.016917	0.033362	0.055258	0.051175	0.058091	0.00411	0.007554	0.0
ADM	0.251783	0.266194	0.045693	0.047622	0.096933	0.128261	0.557049	0.512632	0.468898	0.010612	0.019254	0.028894
AGAP1	0.047721	0.064287	0.006161	0.049909	0.066612	0.093002	0.016857	0.029325	0.058242	0.028848	0.077382	0.002906
AGPAT9	0.153027	0.165384	0.087086	0.080759	0.081631	0.063308	0.309051	0.247289	0.239804	0.082177	0.05886	0.112357
AHI1	0.008948	0.031086	0.033805	0.052312	0.013611	0.020604	0.00335	0.003058	0.0	0.028876	0.037774	0.044542
AIG1	0.244544	0.260154	0.3586	0.364327	0.322837	0.2655	0.286	0.3485	0.310869	0.348371	0.406875	0.351521
AIM2	0.084669	0.087729	0.066544	0.059831	0.044661	0.041689	0.096241	0.07883	0.068666	0.064851	0.054259	0.083146
AKR1C3	0.374305	0.378124	0.205772	0.213697	0.283972	1.0	0.178543	0.063393	0.065635	0.113596	0.059494	0.152893
ALDH1A1	0.57365	0.556055	0.107062	0.104831	0.1645	0.221216	0.570436	0.988962	1.0	0.052246	0.07372	0.117399
ALDH2	0.164407	0.172446	0.018431	0.017036	0.04084	0.064642	0.222829	0.304265	0.313914	0.00618	0.0	0.016511
ALPL	0.193017	0.172506	0.06037	0.058141	0.088389	0.128987	1.0	0.032012	0.040997	0.0	0.021022	0.013648
ANAPC10	0.638068	0.675492	0.735135	0.719857	0.754276	0.828286	0.575275	0.673042	0.662189	0.700197	0.84197	0.803842
ANKRD9	0.487298	0.445437	0.276329	0.290077	0.400294	1.0	0.458774	0.564064	0.559779	0.269757	0.315414	0.31014
ANXA3	0.004496	0.012586	0.028025	0.012383	0.018864	0.059488	0.137147	0.016531	0.0	0.005495	0.003493	0.079662
APOBEC3A	0.006959	0.02691	0.002806	0.00503	0.001585	0.011943	0.036428	0.035567	0.041882	0.0	0.018301	0.001539
AQP9	0.126047	0.133271	0.022289	0.024785	0.050777	0.07515	0.351387	0.196633	0.191883	0.000138	0.000888	0.003703
ARHGAP22	0.052682	0.118256	0.0	0.015757	0.056104	0.064778	0.1232	0.173855	0.173537	0.008754	0.003231	0.078402
ASGR1	0.612933	0.614389	0.069624	0.089019	0.16229	0.240568	0.777469	1.0	1.0	0.00156	0.0	0.044796
ATP8B2	0.424297	0.413793	0.950522	0.899455	0.674722	0.278444	0.214269	0.110577	0.119769	0.922498	0.719169	1.0
AXL	0.012371	0.006866	0.000342	0.007476	0.013784	0.00612	0.033491	0.025841	0.061172	0.003531	0.0	0.020573
B3GNT7	0.006171	0.00115	0.008812	0.0	0.005931	0.021684	0.004819	0.003707	0.028863	0.002135	0.006005	0.001724
BACE2	0.110006	0.091175	0.0404	0.039945	0.028989	0.057054	0.105033	0.056298	0.073564	0.008235	0.005714	0.003361
BANK1	0.080402	0.098413	0.013764	0.0	0.037163	0.021602	0.08832	0.049245	0.048765	0.014783	0.010052	0.003823
BATF3	0.083638	0.085123	0.00815	0.022713	0.028414	0.050348	0.13777	0.167366	0.171522	0.0	0.007816	0.048678
