Bleh	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ABCB4	1.0	0.347188	0.002468	0.002664	0.000138	0.0	0.000181	0.000496
ACSS3	0.0	0.0	0.014147	0.000953	0.840727	0.0	0.000179	0.0
ADAM23	0.034938	0.0	0.004861	0.0	0.002715	0.341289	0.032903	0.021735
ADAMTS1	0.0	0.0	2e-05	0.448557	0.00352	0.0	0.003662	0.024939
ADRA2B	0.0	0.003125	0.683342	0.001134	0.011263	0.002682	0.000879	0.004088
AIRE	0.000223	0.000221	1.5e-05	0.0	0.000127	0.006137	0.000111	0.000193
AK5	0.0	0.001918	0.004345	0.104262	0.001903	0.097004	1.0	0.029659
AKAP5	0.015599	0.059239	0.0	1.0	0.004133	0.008763	0.00984	0.026213
AKAP6	1.0	0.029013	9.8e-05	0.000212	0.000213	0.010287	0.036602	0.005494
AKR1C3	0.000245	0.0	0.001074	0.330976	0.004238	0.008663	0.005589	0.003961
AKR1E2	0.013247	0.0	0.039476	0.03856	0.013023	0.298001	1.0	0.025031
ALDH1A1	0.002803	0.0	0.389605	0.0	0.006924	0.0	0.002163	0.0
ALPL	0.000249	0.009552	0.000228	0.0	0.778885	0.000141	0.0	0.0
ANKRD55	0.0	0.00382	0.006583	0.0	0.11912	0.125024	0.510504	0.00138
ANXA3	0.000677	0.001042	0.00253	0.0	1.0	0.0	0.000629	0.0
AQP3	0.000312	0.00373	0.001006	0.00463	0.0	1.0	0.272436	0.218054
ARG1	0.002884	0.001935	0.001304	0.000749	0.824213	0.000553	0.004454	0.0
ARHGEF10L	0.011195	0.028902	1.0	0.0	0.009657	0.001743	5.5e-05	0.0
ASGR1	0.0	0.0	0.111944	8.8e-05	0.000319	0.00032	0.000482	0.0
B3GALT2	0.002104	0.0	0.000432	0.001066	0.016666	0.127891	0.003572	0.048393
B3GNT7	0.025639	0.079498	0.000311	1.0	0.00283	0.000619	0.00176	0.017572
B4GALNT4	0.0	0.0	0.000128	0.006747	0.001814	0.032128	0.025227	0.140241
BACE2	0.789843	1.0	0.0	0.005287	0.009587	0.000481	0.012065	0.000199
BANK1	1.0	0.866802	0.004632	0.001013	0.0	8.3e-05	8e-06	7.8e-05
BCL7A	1.0	0.199553	0.006017	0.000922	0.0	0.022304	0.027209	0.013202
BIRC7	0.0	0.0	0.0	0.006225	0.002099	0.0	0.006587	0.029044
BLK	0.912967	1.0	0.000579	0.00101	0.0	0.001918	0.004394	0.005677
BLNK	0.838623	1.0	0.006362	0.001399	0.000591	0.0	0.000957	0.0
BMX	0.0	0.0	0.004284	0.000982	0.867503	0.0	0.013806	0.0
BNC2	0.0	0.002108	6.8e-05	0.606475	0.00281	0.001414	0.001506	0.008706
BOK	0.0	0.002631	0.000163	0.327509	0.000366	0.0	0.000959	0.001177
BTNL9	0.891823	1.0	0.003239	0.009765	0.014157	0.0	0.000764	0.0
C12ORF74	0.043343	0.312459	0.0	0.0	0.002319	0.0	0.000336	0.0
C1ORF186	0.092571	1.0	0.001416	0.0	0.000517	0.019313	0.004199	0.0
C4ORF50	0.0	0.00313	0.00014	0.012085	0.001019	0.020213	0.001363	0.08506
CA6	0.0	0.0	0.000237	0.0	0.000844	0.010621	0.089072	0.025514
CACHD1	0.002489	0.0	0.00217	0.0	0.096131	0.001194	0.232506	0.0
CACNA1E	0.002595	0.003612	0.000722	0.0	1.0	0.001035	0.0	0.0
CACNA1I	0.000399	0.0	0.000237	0.0	0.000688	0.038618	0.079897	0.01268
CAMK4	0.001667	0.003817	0.003336	0.000406	0.000668	0.340959	1.0	0.224544
CAMP	0.0	0.002079	0.004518	0.0	0.211847	0.0	2.6e-05	0.0
CAV1	0.04691	0.005396	0.000361	0.0	0.00091	0.0	0.150832	0.001491
CBS	0.0	0.0	0.000443	0.010631	0.571418	0.0	0.005473	0.004152
CCL20	0.0	0.0	0.576176	0.0	0.002766	0.004748	2.9e-05	0.000115
CCL22	0.0	1.0	0.038923	0.0	0.138923	0.0	0.027802	0.0
CCL3	0.000327	2.7e-05	0.539537	0.009711	0.001677	1.5e-05	0.0	9.9e-05
CCL3L3	0.000107	0.0	0.095089	0.000127	0.003569	0.000167	0.0	3.4e-05
CCL5	6e-06	6.2e-05	0.000509	0.047137	0.0	0.006051	0.000294	0.048604
CCR3	0.000798	0.003226	0.001828	0.001219	0.625423	0.000307	0.000554	0.005186
CCR4	0.000569	0.000721	0.005578	0.0	0.0014	1.0	0.014984	0.232074
CCR5	0.0	0.00254	0.06501	0.033785	0.010935	0.090747	0.003791	1.0
CCR8	0.0	0.0	7.5e-05	0.0	0.00158	0.548886	0.01789	0.155224
CD160	0.000236	2.2e-05	0.00028	0.524087	0.000112	0.000118	0.0	0.087706
CD163	0.001168	0.0	0.717806	0.000341	0.009684	0.000106	8.8e-05	0.0
CD19	1.0	0.917461	0.000909	0.001166	0.00544	0.000254	0.000729	0.0
CD1C	0.063528	1.0	0.080506	0.000646	0.000524	0.000563	0.0	0.0
CD200	1.0	0.045764	0.000228	0.000508	0.01176	0.006121	0.026067	0.0
CD24	0.266292	1.0	0.000888	0.002659	0.06654	0.0	0.000947	0.0
CD300E	0.000351	0.00023	1.0	0.000251	0.005152	7.9e-05	1.5e-05	0.0
CD34	0.0	0.0	0.001706	0.000495	0.000443	0.0	0.0101	0.0
CD36	0.000465	9.5e-05	1.0	9.7e-05	0.006296	0.000394	0.000195	0.0
CD3D	0.0	0.0	0.000775	0.009414	0.000209	0.222326	0.204866	0.254173
CD40LG	0.000657	0.0	0.001779	0.000994	0.001636	0.410184	0.15671	0.023262
CD5	0.004953	0.001857	0.002386	0.000357	0.0	0.67081	0.445041	0.312956
CD70	0.0	0.861867	0.000832	0.004909	0.002416	0.114201	0.006125	0.104264
CD79A	0.83669	0.735771	0.000294	0.00186	0.001322	0.0	0.001898	0.000415
CD8A	1.2e-05	0.0	0.000356	0.011126	0.000102	0.00022	8e-06	0.15292
CD8B	0.0	0.0	0.001664	0.00407	0.000342	0.00183	0.002672	1.0
CDH2	0.0	0.0	0.000521	0.00194	0.319574	0.0	0.005664	0.00181
CFH	0.0	0.0	0.007087	0.051765	0.003828	0.662249	0.019804	0.216595
CHL1	0.891777	0.488147	0.000261	0.0	0.004738	0.0	0.000683	0.0
CHN1	0.012658	0.00361	0.004672	0.014437	0.032353	0.584374	0.030693	0.113416
CHSY3	0.0	0.0	8.4e-05	0.077628	0.000746	0.0	0.000337	0.0
CLDN9	0.0	0.0	0.001911	0.0	0.666273	0.002042	0.00031	0.0
CLEC10A	0.001546	0.0	1.0	0.00045	0.001913	0.002641	0.000332	0.0
CLECL1	0.02342	1.0	0.030843	0.000426	0.0	0.062167	0.003286	0.085814
CLIC3	0.00018	0.000499	8e-05	0.479268	0.0	0.002811	0.00013	0.024187
CMTM2	0.0	0.0	0.009871	0.000613	1.0	0.000428	7.8e-05	0.000395
CNTNAP2	0.333384	0.022077	7e-06	0.000418	0.000695	0.0	0.000549	0.0
CNTNAP3	0.0	0.002837	0.000434	0.0	1.0	0.000178	0.000608	0.000326
COBLL1	1.0	0.88116	0.001293	0.001094	0.002439	0.000307	0.002356	0.0
COL19A1	1.0	0.138914	5.7e-05	0.000374	0.000134	0.0	0.001	0.0
COL4A3	0.037294	1.0	0.0	0.002484	3.5e-05	0.00128	0.001974	0.001423
COL4A4	0.057511	1.0	0.000353	0.020635	0.001603	0.003105	0.006534	0.00461
COL5A3	0.0	0.0	0.000975	0.020788	0.004101	0.317777	0.00501	0.335358
COL6A2	0.004393	0.0	0.001306	0.613109	0.004424	0.153104	0.155712	1.0
CORO2B	0.177187	0.006366	0.000214	0.0	0.001378	0.0	0.00027	0.0
CPA5	0.0	0.0	0.0	0.0	0.000441	0.077452	0.067814	0.104663
CPNE5	0.262647	1.0	0.003429	0.002668	0.01368	0.003108	0.004447	0.004427
CPNE7	0.0	0.0	0.0	0.008242	0.007917	0.185996	0.006021	0.127983
CPVL	8.6e-05	0.0	0.248904	7e-05	0.000942	0.000122	0.000335	9.8e-05
CRTAM	0.002033	0.0	0.098439	0.319089	0.004668	0.023989	0.07084	1.0
CSF3R	5.6e-05	1.6e-05	0.051186	2e-05	1.0	4e-06	2.1e-05	0.0
CTAG2	0.0	0.0	0.166117	0.0	0.001666	0.0	0.001475	0.003463
CTGF	0.010063	0.0	0.0	0.0	0.000649	0.000687	0.110022	0.0
CTLA4	0.0	0.0	0.000796	0.001556	0.000348	0.206289	0.153311	0.052634
CXCL10	0.0	0.000534	0.049268	0.000194	0.000921	0.0	7.3e-05	0.0
CXCL2	0.00227	0.0	1.0	0.001125	0.035421	0.0	0.000557	0.0
CXCR1	3e-05	4.8e-05	0.000912	0.017696	1.0	6.3e-05	0.0	0.000498
CXCR3	0.002251	0.072785	8.9e-05	0.055162	0.0	0.195466	0.003499	0.437866
CXCR6	0.00425	0.0	0.000986	0.055164	0.002647	0.098804	0.005569	0.932669
CYP1B1	0.001936	0.0	0.830403	0.000463	0.035087	0.0	0.000156	0.0
CYP26B1	0.0	0.0	4.2e-05	0.004951	0.333307	0.0	0.000267	0.001342
CYP4F22	0.0	0.0	0.008628	0.026261	0.00059	0.0077	0.001717	0.07854
CYP4F3	0.000139	0.0	0.007322	0.0	1.0	0.0	4.7e-05	0.000208
DAB1	0.012153	0.0	0.000361	0.057768	0.047643	1.0	0.165486	0.138857
DACT1	0.087177	0.017565	0.002259	0.001978	0.019873	0.076651	1.0	0.000255
DBNDD1	0.24911	0.016838	0.0	0.000262	0.000446	0.007135	0.03347	0.00231
DCLK2	0.252108	0.7641	0.011444	0.006816	0.003221	0.003408	0.001728	0.003096
DDO	0.0	0.0	0.130336	0.0	0.001398	0.0	0.000839	0.002416
DENND5B	0.722803	1.0	0.010145	0.003582	0.012164	0.000463	0.004129	0.0
DGKK	0.0	0.01218	0.000355	1.0	0.011394	0.0	0.0	0.074026
DKK3	0.001276	0.003563	0.0	0.001731	0.002243	0.002431	0.009492	0.059459
DLGAP1	0.0	0.2843	0.005098	0.0	0.024496	0.049654	0.001194	0.002407
DNAJC5B	0.104071	1.0	0.03645	0.005482	0.001848	0.0	0.000661	0.0
DPP4	0.0	0.009615	0.004934	0.002247	0.001091	1.0	0.826639	0.503529
DSC1	0.0	0.0	0.000116	0.003018	0.002896	0.014325	0.236182	0.004397
DSP	0.976544	0.048882	0.000227	0.0	0.007947	0.001441	0.000365	0.0
DUSP4	0.002606	0.010406	0.002186	0.002585	0.011241	0.382847	0.016246	0.078018
EBF1	1.0	0.816383	0.001813	0.001323	0.00553	0.0	0.000721	0.000536
EBI3	0.02361	0.189427	0.003349	0.002368	0.000799	0.0	0.000639	0.0
ECSCR	0.0	0.0	0.001462	0.0	0.001208	0.010868	0.058557	0.0
EDAR	0.0	0.0	0.000112	0.0	0.000375	0.031704	0.407048	0.004371
EDARADD	0.0	0.0	0.000692	0.048307	0.000933	0.074011	0.005651	0.179947
ELOVL4	0.0	0.0	0.00015	0.001905	0.000527	0.063444	0.004987	0.031211
