Symbol	A	B	C	D	E	F	G	H	I	J	K	L
AATK	0.599184	0.578561	0.583298	0.530713	0.530998	0.536054	0.580023	0.661828	0.66413	0.582048	0.630071	0.565552
ABCA12	0.0	0.007076	0.320599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA13	0.0	0.0	0.0	0.050347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004206	0.0	0.006844	0.0	0.0
ABCA6	0.009516	0.0	0.0	0.00503	0.006583	0.005663	0.0563	0.0	0.0	0.013495	0.0	0.024347
ABCA9	0.011612	0.100168	0.097409	0.047687	0.056395	0.017282	0.000889	0.08564	0.0	0.0	0.020775	0.040816
ABCB1	0.314053	0.297434	0.253675	0.258985	0.458097	0.557938	0.23022	0.125327	0.148633	0.209983	0.44947	0.228692
ABCC2	0.0	0.0	0.001661	0.009838	0.0	0.0	0.0	0.0	0.00119	0.0	0.0	0.046288
ABCC6P1	0.000543	0.199236	0.0	1.0	0.537778	0.503523	0.026196	0.009519	0.009519	0.146057	0.0	0.007782
ABCC9	0.3814	0.39135	0.012105	0.217083	0.163864	0.372727	0.436687	0.394492	0.304618	0.256671	0.0	0.0
ABCG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABI3	0.568226	0.579096	0.280834	0.312118	0.515085	1.0	0.569473	0.69423	0.696618	0.171144	0.401802	0.237437
ABI3BP	0.001358	0.000271	0.0	0.0	0.0	4.7e-05	0.0	0.0	0.0	0.0	0.0	0.0
ACAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACOT12	0.243362	0.0	0.0	1.0	0.0	0.300662	0.0	0.0	0.000699	0.143131	0.002555	0.016088
ACPP	0.563748	0.569918	0.00306	0.04536	0.232281	0.391179	0.926245	1.0	0.992322	0.000604	0.011257	0.131606
ACSBG1	0.96262	0.789981	0.191812	0.0	0.369918	0.436727	0.015486	1.0	0.410391	0.30237	0.669504	0.165086
ACSL5	0.839099	0.83018	0.944583	0.939851	0.955822	0.87955	0.678499	0.735949	0.708387	0.878263	0.865337	1.0
ACSL6	0.499507	0.41655	0.858514	0.900786	0.725462	0.001474	0.266917	0.013368	0.009916	1.0	0.862863	0.867875
ACSM5	0.0	0.216929	0.151525	0.0	0.08219	0.004991	0.002076	0.386077	0.0	0.258255	0.003103	0.005452
ACTA2	0.012375	0.012267	0.012645	0.011653	0.012315	0.011134	0.012329	0.014608	0.014811	0.012217	0.012487	0.015621
ACTG2	0.0	0.0	0.0	0.000169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024223
ACTN2	0.0036	0.031262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1C	0.715915	0.818733	0.78721	1.0	0.169854	0.5631	0.16259	0.93368	0.04058	0.0	0.09654	0.017458
ACVRL1	0.014783	0.01339	0.0	0.000315	7.6e-05	0.006053	0.019634	0.021483	0.023278	5.2e-05	0.001085	0.0
ADAM12	0.008994	0.000311	0.0	0.006388	0.079183	0.051716	0.078918	0.084157	0.034179	0.001271	0.029689	0.011855
ADAM33	0.0	0.000224	0.0	0.002853	0.002044	0.0	0.0	0.000231	0.0	0.0	0.0	0.001575
ADAMTS12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS16	0.0	0.0	0.0	1.0	0.00238	0.0	0.0	0.0	0.0	0.006972	0.0	0.0
ADAMTS18	0.048494	0.018983	0.158383	0.211589	0.076727	0.156927	0.037943	0.00146	0.036762	0.094426	0.019178	0.01963
ADAMTS19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000148	0.0	0.0	0.007106
ADAMTS9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTSL2	0.0	0.0	0.19544	0.052267	0.0	0.0	0.0	0.0	0.001643	0.0	0.0	0.005699
