TissueNames	Epithelial Cell Airway	Canonical Epithelial Cell	Epithelial Cell Placental	placental.pericyte	pulmonary.artery.endothelial.cell	vein.endothelial.cell	Glomerular Endothelial Cell	articular.chondrocyte.of.knee.joint	Canonical Endothelial	hair.follicular.keratinocyte	Cardiac Fibroblast	mononuclear.cell	myometrial.cell	kidney.epithelial.cell	subcutaneous.preadipocyte	Osteoblast	epithelial.cell.of.umbilical.artery	bronchus.fibroblast.of.lung	Smooth Muscle	hair.follicle.dermal.papilla.cell	thoracic.aorta.endothelial.cell	epithelial.cell.of.proximal.tubule	Endometrial or Mammary Endothelial	Skeletal Muscle Myoblast	skeletal.muscle.satellite.cell	Melanocyte	mesenchymal.stem.cell.of.Whartons.jelly	fibroblast.of.villous.mesenchyme
AADACP1	0.021115	0.000645	0.0	0.007958	0.00855	0.289963	0.349059	0.0	0.082691	0.013848	0.06759	0.0	0.0	0.001077	0.0	0.0	1.0	0.0	0.498132	0.001263	0.038673	0.003324	0.377021	0.0	0.012379	0.002427	0.003098	0.0
AATK	0.010813	0.012658	0.00189	0.0	0.056985	0.072528	0.134656	0.000722	0.057166	0.019	0.005431	0.031285	0.0	0.006876	0.003581	0.0	0.099192	0.007793	0.010739	0.001434	0.043484	0.014697	0.062119	0.030625	0.004777	1.0	0.00341	0.001406
ABCA12	0.882567	1.0	0.401339	0.0	0.0	0.002369	0.018949	0.000974	0.002028	0.375778	0.004158	0.0	0.027375	0.395072	0.0	0.0	0.0	0.0	0.003473	0.002848	0.0	0.144788	0.004258	0.002818	0.006806	0.014617	0.010764	0.0
ABCA13	0.459393	0.464716	0.0	0.156322	0.0	0.0	0.137999	0.036481	0.002161	0.383377	0.0	0.031363	0.0	0.289369	0.0	1.0	0.0	0.0	0.383996	0.137174	0.007428	0.439749	0.110432	0.052245	0.037471	0.220865	0.0	0.0
ABCA4	0.005539	0.004437	0.002492	0.000578	0.017004	0.078989	0.021849	0.003303	1.0	0.05387	0.004162	0.0	0.0	0.0	0.0	0.002172	0.024718	0.0	0.002987	0.006056	0.008856	0.0	0.016062	0.016867	0.000734	0.0	0.000465	0.001978
ABCA6	0.001141	0.001932	0.003934	0.044245	0.492723	0.316718	0.035469	0.068007	0.131489	0.000935	0.722437	0.010622	0.139341	0.000778	1.0	0.235136	0.256367	0.011352	0.279276	0.202141	0.219395	0.000589	0.020351	0.038486	0.167138	0.020338	0.047326	0.035549
ABCB1	0.0	1.0	0.0	0.007975	0.050597	0.004282	0.020046	0.000537	0.040482	0.001354	0.000719	0.123271	0.002517	0.024251	0.000436	0.0	0.026223	0.0	0.038618	0.0014	0.058919	0.096775	0.52529	0.0	0.0	0.019561	0.0	0.004965
ABCC2	0.005435	0.00523	0.022947	0.002251	0.010891	0.006912	0.002841	0.003974	0.007238	0.005274	0.008885	0.020603	0.0	0.000415	0.172851	0.002623	0.005423	0.002251	0.004795	0.002928	0.008607	0.008399	0.012428	0.00363	0.05809	1.0	0.011094	0.001938
ABCC9	0.014408	0.047589	0.002549	0.014909	0.0	0.001798	0.041893	0.01887	0.001626	0.023707	0.122095	0.001502	0.239	0.006282	0.429858	0.888454	0.005622	0.037159	0.713851	0.312464	0.001024	0.008581	0.007432	0.060365	0.758483	0.004336	0.014499	0.38957
ABCG2	0.021696	0.019289	0.066551	0.82561	0.236879	1.0	0.268885	0.00818	0.622021	0.106267	0.022014	0.000808	0.032759	0.002368	0.010903	0.005452	0.131891	0.032245	0.051315	0.014727	0.218199	0.015578	0.262329	0.089147	0.022455	0.037467	0.322703	0.044066
ABI3	0.0	0.000413	0.0	0.014201	0.190084	0.316558	0.178549	0.00031	0.140368	0.0	0.010984	0.059116	0.0	0.002852	0.001703	0.000676	0.208293	0.034145	0.00061	0.009789	0.228115	0.00919	0.599594	0.0	0.014343	0.000242	0.0	0.006502
ABI3BP	0.00239	0.008714	0.039231	0.005395	0.017283	0.040156	0.004579	1.0	0.017198	0.005179	0.129044	4.7e-05	0.023703	0.000853	0.141039	0.23984	0.043279	0.016901	0.054631	0.061569	0.043277	0.002445	0.030283	0.21762	0.219088	0.000894	0.005566	0.007226
ACAN	0.0	0.0	0.0	0.0	0.0	0.000134	0.000744	1.0	0.001212	0.0	0.000222	0.0	0.0	0.00012	0.0	0.005708	0.0	0.000152	0.020753	0.004126	0.000388	0.0	0.000666	0.000556	7.9e-05	8.5e-05	0.0	0.000414
ACKR2	0.016229	0.053663	1.0	0.000618	0.000257	0.0	0.003639	0.00111	0.227704	0.003247	0.021045	0.000458	0.0	0.065183	0.000715	0.0	0.0	0.006904	0.001739	0.0	0.000312	0.063903	0.00906	0.005051	0.007261	0.002619	0.001492	0.0
ACKR4	0.002201	0.001601	0.0	0.010302	0.04968	0.016105	0.004933	0.022498	0.004824	0.002359	0.006627	0.001221	0.008316	0.0	0.043309	0.001528	0.017652	0.0	0.386105	1.0	0.015359	0.0	0.010741	0.002359	0.002879	0.010088	0.0	0.038995
ACOT12	0.0	0.002046	0.0	0.286117	0.067015	0.0	0.0	0.0	0.021958	0.0	0.129609	0.091422	0.167889	0.0	0.0	0.02991	0.0	1.0	0.318543	0.015801	0.0	0.0	0.0	0.045993	0.077878	0.256631	0.220372	0.0
ACPP	0.163932	0.083482	0.002547	0.364326	0.0	0.0	0.0035	0.0	0.0	0.014361	0.079616	0.70413	0.377245	0.026833	1.0	0.0	0.0	0.191431	0.041541	0.0	0.001552	0.009731	0.0	0.00172	0.466649	0.001375	0.020652	0.182585
ACSBG1	0.0	0.015873	0.465608	0.0	0.0	0.0	0.0	0.024943	0.002199	0.0	0.089191	0.477702	1.0	0.0	0.0	0.0	0.0	0.0	0.026581	0.0	0.160998	0.490174	0.894558	0.550265	0.17158	0.368481	0.0	0.0
ACSL5	0.001626	0.03336	0.013504	0.016167	0.22942	0.276658	0.291428	0.119388	0.733407	0.0	0.182282	0.214993	0.031698	0.008094	0.024074	0.07208	0.075992	0.012328	0.022875	0.079963	0.248015	0.042119	1.0	0.003791	0.004116	0.00946	0.004559	0.067681
