Gene symbol	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils
CD96	140.069682	182.421559	35.697669	1629.78438	2127.768209	90.843799	1432.94769	1571.924274	253.739025	1718.974851	37.232658	64.302502	32.948073	103.366561	42.585544	83.877812	473.005091	2933.320651	3005.007369	50.261496	56.786501	433.031001
CDA	7.453474	8.28214	1040.419935	98.139576	8.147552	3592.43191	9.68188	14.732106	10.15947	10.065145	346.995886	8.817497	28.81247	88.05105	82.116983	18.837853	10.550017	11.578362	167.178048	343.409189	36.037324	346.483321
CDC25A	14.444179	13.221048	14.748581	13.266471	142.292332	17.781006	13.45315	9.040054	226.961818	9.904201	18.971747	22.044725	14.743241	27.838915	74.242304	18.499093	31.425793	29.61784	25.275677	14.795912	12.772122	14.873748
CDH12	10.62581	18.147642	9.440421	27.078939	9.729239	24.732568	7.285694	8.592903	20.544731	7.907399	12.707467	12.519708	9.085609	84.740349	38.349481	6.99477	9.729239	130.561151	197.454295	33.168571	23.205746	62.328534
CDK6	30.698538	23.048747	21.06647	27.058789	289.584703	19.40987	25.780134	99.98687	45.351134	65.141217	23.499236	16.711075	12.825795	47.968024	14.107514	15.944534	24.215072	69.539966	24.457149	75.8518	67.410879	64.389711
CEACAM3	68.461406	61.801154	242.10177	189.912654	109.575838	2096.525977	59.640081	55.447518	46.698693	69.089812	156.08054	123.614986	113.835212	186.293569	166.523065	104.89154	65.120575	133.397401	120.635354	147.504214	210.180427	132.057906
CEACAM8	77.917158	86.886565	6.650645	956.067675	162.104588	149.867349	7.285694	73.731138	35.288498	143.82505	5.093942	14.106733	11.657551	2385.025776	1835.208959	22.743785	4.767545	39.356351	15.775796	14.188625	19.050232	235.265465
CEMP1	28.852996	26.056806	12.417738	24.791455	47.378807	30.294308	44.877164	8.245075	8.750532	9.51802	13.434832	19.105328	44.645726	11.222698	40.314869	5.783505	66.9257	210.081561	135.659272	6.045329	7.792685	54.488698
CFP	4.573719	4.64646	3702.502521	33.994436	6.982741	2060.180409	371.831974	50.46125	5.783505	14.386884	27.131042	219.1912	1971.112539	47.829096	214.906283	5.382741	13.946918	47.258719	471.129737	7.54856	451.250036	14.58477
CHI3L1	9.040054	10.111853	12.16797	344.721706	59.676239	3791.328311	12.375332	7.285694	12.943644	13.160605	8959.873277	3395.663462	2050.816822	477.054853	636.791652	10.082345	9.949791	19.889006	16.324996	89.880714	473.91503	89.330079
CHI3L2	574.732561	445.127934	200.992736	322.039063	170.220286	356.909455	662.906303	312.188204	166.181199	362.877913	181.814213	1765.552386	175.383593	148.963857	171.129512	320.506485	4770.057676	515.3473	404.136907	184.10912	210.569958	317.47307
CHST15	375.061796	380.454417	3334.89402	43.296693	21.638343	4602.158626	56.31497	41.686024	34.126018	37.368269	1452.251166	103.487155	1051.6856	1121.27006	895.205497	2248.878473	41.659769	82.84148	339.126187	317.75447	99.791019	1106.193591
CHST7	15.299851	17.075038	291.064177	29.825234	23.038098	793.148113	70.200928	367.404816	234.004909	26.289088	314.64623	350.888374	421.234957	152.218479	368.050649	105.354315	401.838472	78.750586	56.034271	193.248924	3085.840231	27.241375
CLC	317.013317	263.809958	86.565952	509.915953	237.927569	4605.247829	21.546636	110.251992	184.583126	91.385093	69.27116	226.713474	172.408926	3917.54615	3098.629915	158.272685	91.980538	38.524108	337.914753	98.812993	102.234107	26617.23891
CLEC10A	110.251992	95.487204	481.426471	56.086384	61.702742	145.628542	56.972141	77.309553	36.925291	80.054328	159.597052	69.396554	5770.127086	107.214688	150.297689	67.390682	66.466162	123.353051	154.085726	5129.9883	145.475072	35.23355
CLEC2D	1012.819733	595.04456	93.134516	979.22394	344.410043	68.777842	1443.461253	1711.865828	1875.9525	1510.850313	78.640359	1465.741277	187.986571	45.516341	41.110004	134.550329	1689.599596	2808.690677	332.236081	66.490624	2002.179445	92.591231
CLEC4A	270.684059	105.217325	2802.254283	66.202198	39.067985	2814.377261	94.87432	19.995556	35.566978	43.671693	1137.937654	51.678716	6742.94324	321.217213	548.582899	19.483587	67.390682	75.54706	326.22282	4209.628791	558.993472	234.914601
CLEC7A	148.855613	142.006218	6165.953009	143.149269	89.37299	5247.49398	106.670203	89.984042	50.524627	86.042411	3760.306028	283.203808	3071.447657	634.450191	1330.094243	58.642505	936.379225	94.165039	628.336507	5359.771755	1178.503785	159.527239
CLIC2	8.195551	7.671472	103.559093	24.688825	30.385421	10.418725	11.067623	4.799626	7.656177	6.339832	437.046112	1393.382865	2233.164343	8.02945	36.79183	116.243811	5.412216	6.36193	14.631768	2244.054642	5239.88349	8.446043
CMA1	77.956398	68.106093	58.768294	57.33259	53.020637	48.255389	42.095184	46.636523	76.316217	25.229545	46.37301	65.762809	64.115137	1378.879998	1622.195863	75.638941	29.753135	40.08633	77.40399	44.777424	53.122394	164.681355
COL8A2	135.22302	73.45099	275.874773	88.025521	68.461406	186.421016	79.430232	61.772151	55.344209	60.534871	1233.715268	33.843537	151.562355	70.07667	59.733266	23.487745	62.18441	122.181782	76.59826	129.264378	109.198823	89.99988
COLQ	28.852996	27.398124	33.831807	406.567052	351.016303	40.46415	66.850329	135.325645	36.187195	152.77409	24.840893	86.181232	128.156293	51.67336	36.89215	23.55278	48.33459	163.753228	410.259499	31.599177	20.186792	27.505242
CPA3	786.596744	653.570348	135.146519	458.136307	308.127363	522.598894	25.202654	243.299101	226.713474	147.695811	139.386735	247.682837	206.908862	28290.30984	22328.97153	431.887077	148.183355	145.526535	271.50675	132.498707	149.419558	1091.417527
CR2	1471.268235	559.634783	35.155777	25.270126	64.406326	33.062217	285.69747	67.247391	17.888377	245.270338	27.251157	55.676882	39.482714	16.71082	16.326549	139.913521	25.499337	25.461616	22.262362	16.281835	51.359337	122.079554
CREB5	30.974254	24.558208	360.910634	13.038901	14.416667	1385.315828	43.395532	7.37046	10.978046	12.410115	22.864101	11.762749	59.217662	23.960958	23.338304	32.020532	9.555359	9.36872	15.692919	227.549434	257.452408	15.158016
CRISP3	27.378189	16.547729	5.032005	164.026228	41.738382	15.937017	4.203532	7.582194	10.207179	3.235495	11.298626	10.66334	5.556158	140.206518	33.507814	6.50815	5.210162	647.789543	34.449267	5.950387	5.355045	75.787793
CRTAM	54.889088	66.107019	212.041687	261.161929	652.857526	83.964911	308.561101	114.059424	661.276611	1443.48038	761.03216	38.222697	85.708983	15.549621	106.159266	54.056284	42.152946	47.769028	829.669269	128.640347	153.960905	78.330589
CRYBB1	8.510879	9.160278	9.396148	9.402358	7.972777	9.876168	20.227984	10.639092	8.277096	8.789448	9.706902	12.127181	166.955398	38.376893	16.789158	16.774794	10.184942	10.552589	7.618703	9.016747	8.79601	9.497994
CSF1	22.107875	21.815217	24.568932	21.720476	24.485187	22.527505	21.940241	32.270979	235.559059	22.994185	687.884458	35.288498	23.122173	28.217188	61.844464	14.626407	24.177621	159.729662	39.12355	112.582117	93.53462	73.593427
CSF2	24.248744	18.244117	27.094592	47.278149	741.314624	19.596069	40.952364	25.871423	1283.451966	24.419726	28.529892	18.824533	16.293608	29.737235	1722.887037	43.365812	22.758799	16.262185	62.2696	34.064231	38.030342	20.96429
CSF3R	99.766287	29.613601	2331.948628	115.643711	45.233302	9175.361959	107.072461	36.165081	25.659425	24.385918	214.342764	860.337222	737.859904	186.095335	212.256188	22.727817	38.93185	85.443365	338.841564	92.484294	67.251933	248.396627
CST7	29.711657	21.334751	63.673226	11514.68497	10179.78364	2347.728878	197.854542	1470.064999	746.269501	5181.597893	254.880064	186.806109	292.561755	2285.360966	2487.597945	14.02146	322.062046	1323.231227	12102.63842	1490.444911	4059.440795	616.210188
CTLA4	19.391583	12.054839	18.619765	11.014698	18.712198	38.693648	282.309523	606.103683	1865.797683	19.092659	14.316664	8.58076	18.036666	18.080441	14.80065	12.39999	2019.936149	4077.44587	22.984136	16.482467	12.493573	62.022437
CTSG	247.77125	204.703386	88.126155	309.078662	105.314406	185.008201	134.495865	81.238961	73.694602	113.398047	65.318524	88.660139	141.066017	5638.069687	5475.90797	205.375705	38.091844	224.973517	156.870299	69.982762	42.000167	137.176414
CTSW	16.657906	14.105074	16.937312	6980.778276	10811.41236	20.491402	487.068365	963.276774	23.087546	4894.215252	15.949929	13.082024	26.763555	119.468882	272.465674	16.318126	14.638242	12.833174	4144.004572	16.239543	15.871117	41.789793
CXCL10	761.394419	395.638103	500.930016	201.110931	1510.914551	486.967129	120.49877	152.975878	529.512254	157.22658	163.198189	31273.67963	278.343404	112.808595	313.918731	246.243826	127.922465	256.618368	488.545337	163.717636	11302.3948	332.722032
CXCL11	90.262293	71.794831	38.418737	28.538597	183.307943	74.220605	6.633638	14.330613	52.005447	22.771243	16.905102	9059.841342	29.35941	27.847818	33.773554	44.790506	23.487745	42.513147	42.347291	21.120347	3956.496269	33.866599
CXCL13	50.180095	22.770836	10.317836	10.026441	16.125125	29.790466	6.024967	8.957138	280.52976	22.357435	11.753467	627.930517	16.760769	25.709393	10.945571	17.247057	9578.936337	13.504291	7.577262	12.714104	20.931524	11.109285
CXCL3	73.070398	28.306595	175.88262	17.384413	30.218074	75.769172	17.020621	30.027884	26.841831	26.711705	1496.816	271.246673	233.330355	149.960561	7936.428599	56.447531	27.697507	136.624248	45.906566	81.036793	157.021832	44.001598
CXCL5	94.164903	83.049029	32.934714	25.080081	29.073886	69.613916	7.759899	41.216004	24.940522	18.420188	5315.265079	91.980538	46.38135	49.574064	621.747132	43.365812	18.936543	73.85831	78.888882	37.392841	387.403623	29.257479
CXCL9	597.584192	438.208831	265.082513	186.92421	590.361584	403.054396	77.458845	151.504235	259.461239	125.836238	168.497135	38944.01868	199.435918	123.555584	99.760213	268.399206	143.577059	159.218274	220.911453	179.981313	2918.819703	193.920943
CXCR1	260.578043	187.059293	82.781412	515.915984	417.18709	5613.081304	320.959773	253.820532	76.354899	214.684139	72.005853	61.269826	53.221012	263.788667	267.967979	146.677884	71.485341	216.889518	691.731076	65.529913	64.122716	239.476482
CXCR5	368.781435	298.694373	14.612461	16.033808	15.131016	19.292271	29.792159	181.824537	207.126565	32.708011	17.363737	212.275007	14.431145	13.732086	18.885049	10.147863	2508.080521	32.485177	31.939195	17.536264	26.909158	55.856449
CXCR6	143.966553	137.922284	89.883762	175.285103	139.150752	166.601424	92.277017	190.12481	1140.294509	239.577985	60.504543	68.560187	56.084899	58.169054	53.145067	129.418493	187.523269	914.30892	1037.795776	61.549068	93.764323	86.733372
CXORF57	39.265425	19.444476	8.024896	54.611254	77.387384	12.159126	236.764472	111.243926	152.510823	102.172494	11.297309	6.694465	10.445855	7.400067	6.598986	10.62581	14.242426	12.498899	284.271648	7.429375	5.419913	73.868235
CYP27A1	28.170319	29.930109	761.596385	36.915211	30.4051	52.968438	57.080797	18.921077	20.989048	35.115596	9212.241151	72.621008	75.710854	731.425998	853.00003	40.809827	60.301069	55.897709	88.196985	807.582125	1970.12216	71.578047
CYP27B1	839.568697	393.123451	96.653062	95.811908	117.911985	291.091966	89.21509	112.605017	253.100747	123.385104	1182.186949	6662.564771	145.701121	88.738935	231.540167	544.741891	62.71521	451.157092	198.915777	203.446888	2253.07628	179.37956
DACH1	8.110269	6.614253	63.040817	34.416524	18.556562	80.624498	26.648466	6.33289	3.990986	6.072925	7.182119	4.273622	8.232486	30.552823	11.695962	7.019306	4.929861	16.748797	14.247498	5.41845	6.024269	232.944802
DAPK2	50.492331	52.661077	50.368796	75.19082	65.982523	494.76415	35.938805	53.087652	21.066335	36.778245	36.295522	35.145174	76.658674	260.259387	126.56706	24.631263	20.199633	71.830508	55.811438	50.654324	57.825027	1104.766554
DEFA4	364.831316	262.808578	108.489886	3153.504694	224.784185	453.705449	61.908149	252.193346	165.640875	580.408161	59.811554	76.119593	88.376779	246.91273	174.087448	213.241203	89.900113	42.806161	290.232336	79.53418	104.171049	885.317202
DENND5B	47.963256	82.497434	5.019654	28.75548	4.929861	11.069399	5.354735	6.171514	8.639431	4.937004	14.58677	7.808324	36.715551	6.111046	12.888813	338.59487	2.140729	35.500905	5.928173	12.877395	28.448405	9.439454
DEPDC5	23.003705	33.446832	40.177934	74.534811	143.259785	27.339163	192.017763	41.850913	38.53464	42.108266	96.617394	168.283048	190.192431	110.334348	32.016709	30.00802	136.494806	91.685546	53.645033	106.052041	38.178178	572.545616
DGKA	426.967722	460.009603	300.954586	393.429665	301.113803	314.179567	3066.253514	2690.021108	845.849186	2223.016764	170.085715	169.024886	215.901362	148.513669	129.289544	200.623699	3860.541888	2953.650091	550.270933	198.328799	236.269756	429.599365
DHRS11	53.989978	69.550724	46.959629	61.62409	85.553425	54.330309	123.95208	27.717544	149.36682	88.618121	266.501336	18.600266	242.690661	69.86702	69.596712	70.167566	72.384975	59.332348	34.772762	1090.33834	299.290358	27.382673
DHX58	13.86363	16.883617	66.427781	126.714319	29.645381	20.097808	298.28985	30.995876	14.480686	67.975059	21.959805	1394.307066	233.583127	27.394838	21.854902	12.838452	86.569133	85.150776	19.015479	34.014975	1538.10279	18.059146
DPEP2	695.456635	459.370538	1471.477094	636.069817	22.156521	4347.71622	1220.279156	631.280008	9.029404	469.025478	116.273582	16.216382	2410.189476	158.063577	131.444096	11.180709	327.60797	341.722211	496.445567	502.911029	37.703249	4131.564833
DPP4	19.451686	16.567196	19.655065	43.073033	391.964112	19.576628	689.949556	1042.227242	892.315076	686.98687	17.52702	175.69752	32.809679	68.773323	25.769397	15.781676	22.531081	866.597345	383.705509	11.796472	138.211704	18.571676
DSC1	82.262513	48.025913	18.850062	21.219311	23.815861	42.133225	788.019087	15.603544	10.218293	408.664347	14.938856	11.669181	6.707736	34.512563	35.706811	44.790506	7.631831	23.332793	82.600971	45.603038	14.707936	71.065368
DUSP2	13.298277	139.274893	404.895379	494.212987	307.916517	88.769047	318.017011	2005.427058	2312.349458	4083.939908	490.424434	567.663633	261.494996	39.904447	758.670082	32.340167	2300.259226	319.738092	4596.059629	292.318678	536.691493	1013.317761
EAF2	3181.18246	2020.339327	683.961763	198.016686	184.101577	240.853971	240.986393	138.142275	265.17517	219.017631	281.011954	284.130451	281.421647	401.726139	399.881676	4989.763973	197.164908	208.076751	181.161803	230.817191	468.073816	742.53418
EBI3	10.502671	16.936491	12.49473	10.014317	16.855498	11.626038	15.057142	11.532521	119.098613	12.21399	13.188369	20437.69231	311.205868	8.959876	134.973781	8.897759	11.634804	164.024998	8.368173	16.816805	6496.243408	9.497299
EFNA5	5.42766	9.117019	16.873925	29.852224	43.796397	38.587713	116.924652	24.299541	13.959302	12.032017	14.680733	64.266247	56.807094	59.941845	12.072757	8.933068	76.658674	240.342344	77.731884	19.847963	35.53188	81.944766
EGR2	122.340191	98.243197	466.592948	155.235478	1331.912221	198.075305	35.244651	36.238355	2100.112826	35.395831	3919.367365	23.087546	2175.756551	293.456143	1906.729264	54.471623	1667.329269	131.119	151.241542	4531.291492	1121.590168	1430.716563
ELANE	11.047298	8.908551	28.963365	734.298894	167.922244	31.878818	12.730612	12.436824	6.90617	103.486478	15.086014	103.353302	206.315658	4503.039803	4464.6663	9.328635	9.857216	16.19604	18.504478	12.689325	13.017518	119.93754
EMR1	499.011102	383.061212	1815.513906	348.078941	188.521317	1253.613443	428.064645	312.812165	400.21841	195.896457	203.312067	3528.214438	404.39355	287.379183	248.172983	194.3869	182.938925	335.835083	447.966743	178.678186	237.420847	16330.70798
EMR2	145.976625	106.053844	1319.424101	174.228595	87.438868	3956.252694	56.185735	83.263519	72.536855	43.059536	1045.041824	1516.793563	363.816444	829.240525	1558.475521	67.174862	21.249764	96.272306	165.095489	863.002486	357.60211	3871.759806
EMR3	55.170049	124.342031	379.623668	63.869125	64.876999	3015.993844	89.37299	63.199607	89.537637	104.170405	38.875134	13.536041	5.69071	185.982616	322.169171	135.325645	139.759155	112.601905	136.763141	17.831045	19.315443	4792.729376
EPB41	21.984169	67.009246	25.104569	104.95052	97.802928	16.474886	12.293551	385.630255	240.814185	235.335139	51.915516	7.165488	25.556869	9.708024	7.155722	15.20962	89.942089	45.478757	9.639753	17.913412	73.209807	104.631791
EPHA1	47.029368	46.768946	63.801698	155.783049	99.211732	71.4206	763.401072	292.883893	35.769992	400.048287	58.118202	45.619641	38.903502	39.163814	38.694713	52.033677	57.883353	43.932454	61.830169	60.848169	58.647608	56.73556
EPN2	46.908349	42.216783	32.435869	31.976605	27.977054	51.261143	64.621995	96.203924	50.118434	31.508349	32.224022	30.74111	22.481266	43.973417	70.257984	109.432804	55.411581	17.848929	62.364216	59.137871	31.568702	554.806377
ETS1	988.872669	792.252405	85.669336	759.718565	696.266917	243.613171	287.828383	1902.189462	1261.517205	613.49359	96.62991	130.120287	75.403886	147.130074	156.300461	410.317119	701.541609	1031.179862	99.665867	120.622158	115.702142	230.763415
ETV3	37.986623	36.846239	40.95676	33.207163	38.009089	40.755889	20.648687	455.211749	21.484279	49.08454	24.471914	90.34411	33.768561	17.830283	22.500281	103.095218	32.155629	21.618923	14.30737	40.525502	2091.702661	60.820353
FAIM3	11191.41447	8362.288551	117.871065	2548.903709	478.420162	735.035371	8841.004838	5134.615329	1145.360549	5723.984822	315.017553	53.69761	157.412963	58.684227	45.153253	254.090264	7380.970003	4680.731681	1866.749257	147.28317	49.080293	488.4466
FAM124B	21.670164	15.408033	29.159504	20.025635	18.188607	19.729834	17.180735	20.50089	16.267848	14.048167	19.331448	9.129359	22.791472	473.094125	126.877955	18.921077	16.069281	13.180602	10.758697	16.615701	11.26463	96.550654
FAM174B	117.722681	92.467187	39.850529	40.336001	37.77736	103.005002	137.020168	104.088192	92.909284	94.169374	53.40512	57.848769	68.595616	866.81019	390.24982	82.29386	163.115358	160.616925	69.866976	42.797652	40.871149	73.789858
FAM65B	4719.699579	5267.741473	2428.861545	1586.716996	696.531008	8329.197426	4454.485846	2808.159439	256.537997	3376.093302	92.829354	193.026871	86.878902	187.470141	170.824977	237.587552	665.207622	910.887582	2376.662113	136.208163	126.286419	2755.053484
FASLG	342.839055	274.608892	108.383093	1537.723722	2218.049204	250.192653	144.078778	140.849176	478.987494	169.216779	101.15022	80.509526	85.782599	128.362777	147.267893	188.93844	126.742157	171.495347	600.258003	70.649601	101.066745	115.706838
FBXL8	7.713639	3.515112	43.105593	12.813446	32.608481	8.576739	53.474788	313.059321	66.288667	91.193101	14.500859	148.23198	114.734814	7.765887	6.318548	15.057142	53.281862	99.562566	47.425535	67.362587	55.646831	4.601188
FCER1A	106.135117	80.999865	622.211902	168.922198	98.188559	106.898028	70.333366	129.667324	64.115137	111.301094	45.657429	56.548697	801.886611	4443.124585	4222.609307	88.815897	29.854023	73.232501	286.901441	2215.373887	88.291155	2525.841586
FCER2	990.307747	210.191334	12.665276	12.554327	13.368126	11.250812	19.376741	10.147863	17.850218	8.626142	212.751618	10.526179	352.928032	13.539828	16.263992	26.373869	10.377261	30.974947	9.772859	1104.166801	98.255298	31.529122
FCGR2B	3389.8606	4533.908058	287.638837	119.945116	181.482023	1302.127371	8.255798	30.698538	59.921265	65.973094	991.96817	311.314882	1548.943526	626.958997	1610.39688	2656.037745	108.557811	127.109792	121.011854	1529.233028	137.203611	645.927991
FCGR3B	434.68839	191.942383	402.445845	494.756044	369.66069	27546.9664	61.46749	133.744822	106.498285	178.199361	256.315677	154.082206	155.671784	290.471504	123.614968	121.109078	64.115137	203.850527	446.245016	158.620196	125.098335	321.047084
FCN1	160.548744	92.911236	29800.42108	465.233605	121.808971	5370.355855	144.588336	98.717658	63.372717	130.075464	1401.079575	306.829655	593.095894	483.480427	562.677933	109.931114	116.597906	122.271473	5094.70768	121.719403	120.963363	168.356824
FCRL2	4384.737162	3466.953007	47.656346	54.326046	49.014585	116.184454	34.174856	55.779475	79.241795	73.72215	36.191374	30.949417	17.759004	42.548005	30.869694	714.637274	46.908349	24.534538	157.279048	61.149072	38.40732	82.339918
FES	8.54443	8.676013	826.540949	211.838797	258.841965	534.582513	8.032047	6.024967	7.843078	9.520155	41.657664	20.942158	982.200085	121.959141	76.899484	10.343923	7.262313	8.50406	97.099012	345.415859	10.721014	389.549962
FFAR2	12.838452	15.543825	101.05938	73.966151	13.441268	4025.755477	11.928702	15.893644	16.942621	11.775793	31.012073	454.551327	87.816541	76.339483	89.366837	20.156902	14.981975	28.272854	24.458221	17.741657	16.519722	1048.091741
FLJ13197	129.512436	51.641033	15.248072	147.067963	36.951075	11.655185	260.39229	110.117105	19.891147	167.320062	7.575082	15.195843	10.886845	22.401353	16.543343	16.111159	41.762879	30.507005	30.258918	10.091753	8.549571	76.458024
FLT3LG	26.228454	56.335577	69.278353	226.784596	367.404816	26.35814	2489.205564	1471.268235	234.491771	1267.031752	18.862336	18.188607	60.370564	22.875893	47.489167	33.237255	309.769851	644.613111	222.022152	18.330622	62.750491	156.402118
