Symbol	A	B	C	D	E	F	G	H	I	J	K	L
ABCB1	0.521307	0.498475	0.434062	0.440457	0.742409	0.88834	0.400901	0.245809	0.277536	0.370311	0.724621	0.398665
ABHD5	0.175195	0.198384	0.053554	0.092381	0.107825	0.161573	0.436457	0.321809	0.318565	0.045383	0.086342	0.111184
ACSM3	0.341859	0.329398	0.43608	0.448157	0.476194	0.337336	0.255961	0.290908	0.357133	0.482636	0.496437	0.397067
ADAM19	0.88478	0.88474	0.87718	0.862605	0.469104	0.338693	0.933632	0.583678	0.606915	0.90216	0.409696	1.0
ADAMTS5	0.431874	0.388279	0.242618	0.106044	0.116081	0.281282	0.587681	0.305997	0.629278	0.413659	0.508023	0.97142
ADI1	0.013197	0.038699	0.011187	0.0	0.011682	0.005044	0.009102	0.043005	0.044348	0.002939	0.031943	0.007787
AGPAT5	0.18193	0.207438	0.172674	0.156778	0.158826	0.137271	0.118989	0.127505	0.134482	0.138919	0.166046	0.161881
ALAS1	0.078134	0.048784	0.0	0.016648	0.053301	0.118653	0.11016	0.128243	0.087789	0.049801	0.030947	0.118877
ALPL	0.268565	0.244451	0.110872	0.106978	0.151581	0.198864	1.0	0.063543	0.07988	0.0	0.044013	0.031989
ANK3	0.074538	0.338768	0.0	0.350662	0.238364	0.228119	0.253749	0.220155	0.145475	0.540443	0.255127	0.187563
ANXA3	0.027128	0.048987	0.080957	0.048495	0.062498	0.150569	0.2916	0.057455	0.000572	0.030502	0.023595	0.191693
AOC2	0.423645	0.440111	0.070286	0.265544	0.176532	0.424635	0.366071	0.211084	0.224801	0.470483	0.372289	0.098856
APOBEC3A	0.02469	0.074654	0.013615	0.020028	0.009309	0.036969	0.096443	0.094868	0.109478	0.0	0.05363	0.009106
APOBEC3G	0.598338	0.639209	0.53678	0.496072	0.793269	1.0	0.385159	0.432248	0.406443	0.419735	0.729934	0.589587
APOE	0.004912	0.012006	0.003287	0.009256	0.010544	0.0	0.010754	0.016343	0.014402	0.013531	0.011509	0.004904
ARID4A	0.097466	0.112793	0.11054	0.103442	0.101816	0.105536	0.121059	0.113952	0.102757	0.118468	0.101995	0.113137
ARNT2	0.040943	0.104199	0.08534	0.075867	0.132857	0.089483	0.1082	0.035678	0.210943	0.101512	0.072185	0.076597
ASGR1	0.642328	0.644552	0.128626	0.154656	0.233277	0.316426	0.8035	1.0	1.0	0.015789	0.011053	0.09038
ASGR2	0.531967	0.563121	0.062706	0.094993	0.217184	0.289904	0.676654	1.0	0.98908	0.007078	0.0	0.019073
ASRGL1	0.080547	0.162459	0.0715	0.033379	0.0	0.18139	0.131375	0.251939	0.178448	0.054596	0.01959	0.139869
ATP2A1	0.2152	0.384133	0.350572	0.470835	0.562215	0.286236	0.26512	0.610659	0.418417	0.545798	0.33443	0.422383
ATP2B1	0.029832	0.093871	0.078392	0.048967	0.055844	0.004276	0.072515	0.109997	0.101259	0.046656	0.056017	0.040538
BEX1	0.03302	0.052143	0.071779	0.063058	0.072427	0.004343	0.019863	0.03664	0.017878	0.073581	0.082867	0.036641
BMX	0.354218	0.159488	0.322062	0.333487	0.167958	0.188204	0.561497	0.369376	0.203861	0.266131	0.086012	0.148953
C1QA	0.195172	0.172745	0.100932	0.1228	0.11731	0.154163	0.231027	0.272919	0.272782	0.063937	0.08593	0.166635
C1QB	0.089296	0.086522	0.014195	0.006601	0.021072	0.052831	0.117493	0.147913	0.154169	0.005555	0.001219	0.001606
CA4	0.275174	0.234451	0.097047	0.084904	0.207547	0.199743	1.0	0.08962	0.040281	0.113055	0.119548	0.107097
CACNA2D3	0.536245	0.544609	0.150082	0.035046	0.212318	0.30646	0.711554	0.987187	1.0	0.007183	0.031058	0.036538
CALB2	0.106876	0.087334	0.115174	0.116709	0.123272	0.08684	0.098345	0.099992	0.08988	0.130477	0.122177	0.115313
CALML4	0.61263	0.574881	0.236348	0.301913	0.286401	0.403608	0.803421	0.93098	1.0	0.273588	0.268525	0.250396
CAMK4	0.525373	0.444324	0.829466	0.761349	0.671923	0.05886	0.301523	0.112568	0.147041	0.883861	0.794702	0.829481
CASP1	0.681403	0.688577	0.369398	0.393564	0.403967	0.445181	0.772946	0.999617	1.0	0.303	0.325152	0.395941
CCR2	0.357038	0.420334	0.376146	0.367588	0.337252	0.219041	0.405047	0.54632	0.561652	0.360509	0.356877	0.392599
CCR3	0.048996	0.050086	0.016649	0.027247	0.032922	0.038585	0.165494	0.007318	0.011094	0.00783	0.0	0.057321
CD14	0.478123	0.476858	0.142235	0.147022	0.252666	0.366214	0.848122	0.945616	1.0	0.027144	0.0209	0.064861
CD160	0.371689	0.37147	0.197756	0.216658	0.38815	1.0	0.205508	0.094647	0.080435	0.067643	0.269022	0.036263
CD163	0.473558	0.454828	0.133592	0.089819	0.205341	0.228309	0.512214	0.727803	0.758875	0.033642	0.035702	0.043801
CD19	0.316689	0.308016	0.077116	0.084213	0.097935	0.119604	0.305576	0.186557	0.173814	0.040079	0.065263	0.0
CD1D	0.542934	0.623484	0.166891	0.161472	0.249608	0.334866	0.695425	0.953949	0.928901	0.077932	0.051456	0.076257
CD1E	0.44902	0.337267	0.172424	0.24289	0.203926	0.259667	0.501621	0.624107	0.601453	0.271158	0.216267	0.174403
CD207	0.179142	0.097493	0.039132	0.076513	0.324007	0.128022	0.306379	0.070519	0.153507	0.321269	0.238543	0.261662
CD209	0.02398	0.0483	0.014733	0.005577	0.0	0.006307	0.052944	0.072365	0.073318	0.011148	0.00255	0.014359
CD38	0.067658	0.06696	0.040437	0.042445	0.050163	0.123377	0.052727	0.037027	0.042	0.03921	0.046262	0.022255
CD3D	0.306936	0.304283	0.454546	0.467401	0.453797	0.092386	0.158013	0.110224	0.108156	0.454252	0.474512	0.456976
CD3E	0.487959	0.505373	0.900789	0.836512	0.901309	0.414362	0.25461	0.177222	0.199737	0.886775	0.988255	0.865024
CD3G	0.300182	0.310186	0.512763	0.494078	0.503242	0.155517	0.152001	0.127168	0.121006	0.543753	0.60158	0.503694
CD4	0.685903	0.639725	0.776898	0.792769	0.251904	0.326697	0.785632	1.0	0.974714	0.91804	0.011058	0.953227
CD40LG	0.412421	0.411457	0.845071	0.916525	0.322416	0.103946	0.252926	0.245646	0.217185	0.803026	0.342186	1.0
CD79A	0.661164	0.671408	0.200522	0.199441	0.275279	0.242416	0.615011	0.363854	0.394749	0.155049	0.215489	0.05919
CD8A	0.289231	0.291527	0.205895	0.216426	0.592198	0.238535	0.109245	0.077908	0.081109	0.016138	0.619729	0.027925
CDC14B	0.645975	0.606652	0.968311	0.971423	0.812381	0.476426	0.461217	0.22299	0.133031	1.0	0.882372	0.893013
CDC42EP4	0.492612	0.449697	0.267394	0.255187	0.297835	0.309399	0.600498	0.745346	0.695657	0.26149	0.272324	0.225209
CDK2AP2	0.258399	0.280838	0.179673	0.214574	0.251478	0.489135	0.33323	0.305871	0.316539	0.192794	0.23311	0.211512
CDKN1C	0.39522	0.393007	0.17971	0.175265	0.221157	0.305338	0.574118	0.678758	0.695355	0.161428	0.184151	0.074112
CDR2L	0.135131	0.035285	0.078665	0.080887	0.078106	0.050145	0.047564	0.068563	0.102419	0.051048	0.228701	0.19843
CEACAM1	0.191337	0.181413	0.153063	0.136238	0.069617	0.096231	0.608967	0.086375	0.064328	0.08967	0.078285	0.253013
CEACAM3	0.255451	0.232972	0.017227	0.0	0.055576	0.105284	0.737769	0.300087	0.356085	0.017141	0.008077	0.047108
CECR1	0.625558	0.632582	0.396475	0.396509	0.422697	0.50262	0.758282	0.895446	0.899234	0.380196	0.360453	0.369786
CES1	0.615424	0.606668	0.20655	0.206089	0.349059	0.340416	0.711581	0.925583	1.0	0.153266	0.324838	0.217581
CETN1	0.457468	0.179181	0.249099	0.116156	0.472481	0.658211	0.482545	0.659413	0.197345	0.649797	1.0	0.366323
CFB	0.020311	0.054398	0.053892	0.018836	0.051859	0.023227	0.051556	0.057327	0.05695	0.026589	0.046827	0.020492
CHMP7	0.158495	0.149407	0.276446	0.277225	0.167426	0.044053	0.127865	0.063059	0.091323	0.297269	0.153053	0.200218
CHST7	0.354357	0.324637	0.291001	0.306261	0.271932	0.408572	0.417609	0.408532	0.424879	0.281334	0.257777	0.336077
CIB2	0.195115	0.127095	0.187093	0.229224	0.231229	0.209924	0.102629	0.227799	0.0854	0.211289	0.267117	0.239458
CIITA	0.336138	0.34241	0.017783	0.082591	0.072437	0.143033	0.35805	0.341724	0.379674	0.021823	0.036037	0.141598
CLCC1	0.926821	0.798078	0.662608	0.704003	0.755852	0.729587	0.999951	0.728081	0.850982	0.793333	0.744971	1.0
CLCF1	0.75432	0.699007	0.50164	0.527935	0.700464	0.708649	0.708495	0.7815	0.817568	0.517125	0.764483	0.526303
CLEC4E	0.183246	0.177359	0.120532	0.083486	0.123067	0.104415	0.253502	0.253612	0.269244	0.117646	0.061356	0.097659
