Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB9	0.0	0.010178	1.0	0.013516	0.031465	0.022648	0.03583	0.003138	0.047775	0.006448	0.009815	0.001243	0.007378	0.063733	0.021602	0.038864	0.169946	0.0122	0.059366	0.012562	0.022238	0.028341
ACAP1	0.097469	0.15137	0.00789	0.523496	0.895872	0.455833	0.161136	0.549953	1.0	0.130307	0.248213	0.184811	0.085085	0.01314	0.004015	0.0	0.019434	0.001702	0.04114	0.02563	0.3414	0.29049
ACHE	0.003875	0.004998	0.009014	0.002636	0.012729	0.006316	0.002645	0.003646	0.01087	0.017476	0.005002	0.002645	0.004798	0.00283	1.0	0.028426	0.005047	0.134478	0.003018	0.007824	0.022432	0.009486
ACP5	0.023882	0.101672	0.053973	0.00635	0.032002	0.021068	0.00297	0.030088	0.04454	0.017332	0.008369	0.002427	0.018441	0.786873	0.0506	0.435159	0.797458	0.221909	0.003845	0.007349	0.038785	0.006399
ADAM28	1.0	0.587447	0.160522	0.003879	0.012887	0.003123	0.0	0.004704	0.030882	0.00475	0.092505	0.041066	0.022349	0.020615	0.134522	0.179137	0.01145	0.019709	0.063594	0.052719	0.275233	0.058841
ADAMDEC1	0.040087	0.0339	0.011469	0.001656	0.005935	0.001987	0.0	0.004496	0.014853	0.023698	0.004442	0.002101	0.008918	0.522014	1.0	0.585675	0.015811	0.206519	0.082374	0.181223	0.017027	0.018244
ADAMTS3	0.185472	0.120594	0.06934	0.017705	0.077263	0.041941	0.03552	0.006426	0.072478	0.054679	0.0	0.031328	0.037757	0.022829	0.001462	0.003097	0.027899	0.020673	1.0	0.605737	0.112002	0.150177
ADRB2	0.089902	0.095117	0.046719	0.180707	0.0	0.11382	0.01443	0.004399	0.030739	0.50561	0.413133	0.50166	0.129128	0.014471	0.156095	0.062843	0.021637	0.001265	1.0	0.617533	0.415657	0.144679
AIF1	0.000431	0.000107	0.000249	0.062439	0.060351	0.001389	0.001763	0.0	0.000888	0.092129	0.007476	0.000353	0.745099	0.157205	0.137358	1.0	0.281814	0.000677	0.158055	0.142656	0.002769	0.538474
AIM2	0.060438	1.0	0.306252	0.052969	0.0	0.043111	0.72623	0.236194	0.057691	0.078206	0.006726	0.017273	0.106881	0.027862	0.649011	0.020349	0.026748	0.189642	0.008119	0.001126	0.013482	0.164469
ALOX15	0.00241	0.002934	0.001321	0.001563	0.004589	0.002333	0.0	0.002727	0.005907	0.003175	0.008593	0.001563	0.001572	0.000476	6e-05	0.146479	1.0	0.00865	0.002033	0.001866	0.120607	0.008556
ALOX5	0.612254	0.829443	0.053892	0.015156	0.013854	0.033657	0.008357	0.0	0.037475	0.141054	0.04234	0.030183	0.674572	0.261439	0.016758	0.074029	0.028964	0.013221	0.210299	0.192877	0.494665	1.0
AMPD1	0.084886	0.069579	1.0	0.019096	0.019946	0.025491	0.019879	0.01505	0.023475	0.035055	0.016776	0.017288	0.02979	0.02257	0.017861	0.017047	0.026786	0.017277	0.0158	0.022203	0.036536	0.054937
ANGPT4	0.062094	0.053917	1.0	0.15953	0.057295	0.158583	0.407651	0.416018	0.090756	0.089823	0.0	0.075896	0.034062	0.135345	0.05349	0.010976	0.038471	0.01192	0.108589	0.099181	0.024544	0.114496
