Row	ascites7873R1	ascites7873R2	ascites7882R1	ascites7882R2	ascites7892R1	ascites7892R2
ABCA13	0.556524	0.506178	0.392638	0.440439	0.491656	0.554642
ABCB4	0.07399	0.083607	0.093486	0.065318	0.054634	0.069514
ACER1	0.837896	0.979963	1.0	0.840846	0.95995	0.978013
ACSS3	0.75724	0.684311	0.550938	0.648932	0.647361	0.639697
ADAM23	1.0	0.748906	0.443137	0.647783	0.900861	0.733572
ADAMTS1	0.494094	0.420189	0.935918	1.0	0.942039	0.725058
ADGRG1	0.181254	0.190961	0.401714	0.453268	0.506395	0.497872
ADGRG3	0.092828	0.102799	0.092259	0.099951	0.188892	0.169019
ADTRP	0.122872	0.119388	0.077292	0.087218	0.092626	0.110084
AFF3	0.051841	0.058685	0.035879	0.036391	0.051197	0.045944
AIRE	0.871606	0.832852	0.803812	1.0	0.851033	0.882007
AK5	0.184645	0.187356	0.15189	0.144768	0.113908	0.139475
AKAP6	0.382942	0.32846	0.454578	0.522612	0.434422	0.32515
AKR1C3	0.084999	0.090586	0.09207	0.11355	0.092014	0.114548
AKR1E2	0.835566	0.743273	0.968862	1.0	0.822901	0.924734
ALPL	0.04442	0.049443	0.052162	0.057317	0.060581	0.062917
ALS2CL	0.597155	0.680452	0.953183	0.830898	0.821584	0.853951
ANAPC1P1	0.816923	1.0	0.737373	0.654514	0.759111	0.76704
ANKRD36BP2	0.459442	0.428929	0.330541	0.334626	0.431826	0.395231
ANKRD55	0.218807	0.31846	0.397881	0.336639	0.22459	0.399441
ANKUB1	1.0	0.996761	0.75903	0.855733	0.860656	0.954843
ANXA3	0.476517	0.39696	0.595171	0.79866	0.823277	1.0
APOE	0.018424	0.052492	0.033428	0.038338	0.017458	0.026372
AQP3	0.066506	0.074749	0.062876	0.072835	0.072007	0.079313
ARG1	0.303367	0.280108	0.151983	0.189165	0.312553	0.254679
ASGR1	0.411562	0.509205	0.327044	0.347692	0.281307	0.284564
ASPHD1	0.198616	0.253411	0.33208	0.383047	0.354874	0.34987
B3GALT2	1.0	0.991852	0.676367	0.855065	0.789972	0.825959
B3GNT7	0.264	0.293076	0.257812	0.266422	0.272143	0.308252
B4GALNT4	0.460721	0.604145	1.0	0.984783	0.849805	0.891606
BACE2	0.439705	0.38612	0.791333	1.0	0.934762	0.853275
BANK1	0.039678	0.032862	0.034454	0.038418	0.03576	0.035702
BCORP1	0.42188	0.326299	0.217366	0.148351	0.193384	0.312082
BEND7	0.610085	0.423815	0.354713	0.592538	0.512146	0.493085
BLK	0.019632	0.022651	0.01611	0.021511	0.024501	0.021671
BLNK	0.222915	0.219682	0.177519	0.195511	0.154133	0.166454
BMX	0.219248	0.227566	0.224894	0.16434	0.15074	0.30259
BNC2	0.826598	0.840359	0.781883	0.832525	0.918481	0.815616
BOK	0.521025	0.573969	0.854993	1.0	0.935267	0.86098
BTNL9	1.0	0.933242	0.884329	0.833269	0.948194	0.764549
C11ORF45	0.139541	0.163836	0.110608	0.128218	0.094059	0.106937
C1ORF186	0.427347	0.466877	0.730156	0.770282	1.0	0.663459
C4BPB	1.0	0.981876	0.695454	0.711262	0.842758	0.722999
C4ORF50	0.822102	0.939298	0.687172	0.797103	0.866332	1.0
CA6	0.859129	0.964216	0.810777	0.797847	1.0	0.822613
CACHD1	0.915725	0.783572	0.88838	0.952505	1.0	0.941264
CACNA1E	0.128471	0.182929	0.183059	0.150077	0.147743	0.163752
CACNA1I	0.392498	0.446942	0.534835	0.527965	0.692424	0.643788
CAMK4	0.090956	0.099062	0.063702	0.081901	0.110112	0.097645
CAPN11	0.558292	0.014951	1.0	0.425607	0.954553	0.624949
CAV1	0.152597	0.130098	1.0	0.254489	0.259424	0.258723
CCL20	0.120226	0.090343	0.131198	0.142696	0.16451	0.173395
CCL22	0.048542	0.0426	0.041308	0.040949	0.053131	0.043985
CCL3	0.01561	0.024491	0.02387	0.026219	0.018907	0.031559
CCL3L3	0.033729	0.037238	0.0326	0.027238	0.14015	0.174493
CCL4	0.004726	0.004755	0.005017	0.005374	0.007723	0.010449
CCL4L2	0.105377	0.147564	0.107313	0.11299	0.208277	0.310307
CCL5	0.018325	0.020725	0.011624	0.016207	0.014668	0.022436
CCNA1	0.605424	0.502656	0.845276	1.0	0.671657	0.632695
CCR3	0.269423	0.306864	0.313204	0.228859	0.247323	0.248498
CCR4	0.104988	0.10951	0.093596	0.101886	0.113807	0.122514
CCR5	1.0	0.97806	0.597059	0.705876	0.458523	0.533403
CCR8	0.904398	1.0	0.498101	0.848884	0.681093	0.898792
CD160	0.078202	0.049071	0.039553	0.042965	0.034442	0.040829
CD19	0.020935	0.018672	0.025894	0.026253	0.023241	0.014756
CD1C	0.148614	0.157817	0.079031	0.101291	0.09379	0.121135
CD200	0.205834	0.217237	0.205306	0.20717	0.286669	0.292081
CD24	0.33051	0.234565	0.758442	1.0	0.871214	0.744425
CD300E	0.340128	0.348896	0.328293	0.346108	0.356915	0.440081
CD34	0.81164	0.704804	0.770628	1.0	0.973019	0.913746
CD3D	0.092894	0.128146	0.087252	0.116528	0.125763	0.136573
CD3G	0.160483	0.15283	0.113675	0.123748	0.162072	0.150039
CD40LG	0.265172	0.252952	0.220974	0.249201	0.251287	0.228054
CD5	0.092401	0.106797	0.095763	0.131965	0.18472	0.153636
CD70	0.11427	0.195216	0.277901	0.367915	0.347137	0.416659
CD79A	0.008047	0.009398	0.00679	0.009052	0.011322	0.012048
CD8A	0.038874	0.039726	0.035933	0.04584	0.055214	0.052001
CD8B	0.029229	0.031534	0.027972	0.030853	0.034262	0.033502
CD9	0.105203	0.100267	0.182688	0.191586	0.178611	0.202613
CDH2	0.873507	0.846008	0.831325	0.873812	0.981002	1.0
CDO1	0.578322	1.0	0.205288	0.680418	0.602417	0.427186
CFH	0.891051	0.748454	0.429106	0.483069	0.901581	1.0
CHIT1	0.00377	0.004341	0.003781	0.004393	0.004873	0.004462
