Row	ascites7873R1	ascites7873R2	ascites7882R1	ascites7882R2	ascites7892R1	ascites7892R2
ABCB4	0.073972	0.083542	0.093447	0.065231	0.054594	0.069424
ACSS3	0.757162	0.684033	0.550379	0.648408	0.646543	0.63912
ADAM23	1.0	0.74941	0.441855	0.647168	0.900845	0.733678
ADAMTS1	0.493484	0.419969	0.933423	1.0	0.939827	0.724875
ADGRE4P	1.0	0.94614	0.651626	0.595463	0.664193	0.671727
ADGRG3	0.092867	0.102748	0.092287	0.099917	0.188892	0.168688
ADRA2B	0.128196	0.08721	0.16536	0.195561	0.164709	0.152676
ADTRP	0.1228	0.119342	0.077212	0.087123	0.092495	0.10997
AIRE	0.870856	0.832099	0.802322	1.0	0.850008	0.881621
AK5	0.184574	0.187166	0.151698	0.144737	0.113748	0.139261
AKAP6	0.382677	0.328465	0.454201	0.522502	0.434151	0.325149
AKR1C3	0.084902	0.090514	0.091952	0.113571	0.091932	0.114574
AKR1E2	0.835687	0.742817	0.968443	1.0	0.822713	0.92407
ALDH1A1	1.0	0.979166	0.569569	0.738882	0.450193	0.548531
ALPL	0.04442	0.04941	0.052141	0.057233	0.060498	0.062856
ANAPC1P1	0.816312	1.0	0.736151	0.653837	0.757662	0.766024
ANKRD36BP2	0.458317	0.427785	0.329771	0.333942	0.430745	0.394196
ANKRD55	0.218326	0.317964	0.397605	0.335804	0.223771	0.399441
ANKUB1	1.0	0.996618	0.758263	0.855294	0.860644	0.954598
ANXA3	0.480054	0.401068	0.60046	0.804274	0.827864	1.0
AOC4P	0.934129	1.0	0.515632	0.668068	0.52548	0.651667
AQP3	0.066436	0.074623	0.06279	0.072702	0.071912	0.079259
ARG1	0.303145	0.280108	0.151639	0.188944	0.312454	0.254318
ASGR1	0.41128	0.508705	0.326878	0.347574	0.281301	0.284549
B3GALT2	1.0	0.991477	0.675906	0.853454	0.789064	0.824971
B3GNT7	0.263538	0.292778	0.257582	0.265984	0.271801	0.307815
B4GALNT4	0.460495	0.603619	1.0	0.984775	0.849755	0.891829
BANK1	0.039447	0.032612	0.034221	0.038198	0.035553	0.035466
BCL7A	0.204022	0.189145	0.177016	0.207787	0.193281	0.18425
BCORP1	0.421122	0.325116	0.216683	0.14797	0.192575	0.311074
BHLHE41	0.768136	0.806072	0.928772	1.0	0.791107	0.865677
BIRC7	0.380927	0.432412	0.680335	1.0	0.536516	0.79609
BLK	0.019563	0.022552	0.015992	0.021444	0.024415	0.021594
BLNK	0.222736	0.219599	0.17752	0.195363	0.154088	0.166393
BMX	0.218208	0.226877	0.224006	0.164154	0.15036	0.301947
BNC2	0.825641	0.839596	0.780967	0.832018	0.9186	0.814898
BOK	0.52088	0.573623	0.854447	1.0	0.934686	0.860498
BTNL9	1.0	0.933286	0.88399	0.833	0.948154	0.764239
C12ORF74	0.465709	0.296757	1.0	0.957885	0.682728	0.828866
C1ORF186	0.429028	0.468085	0.730249	0.771027	1.0	0.663267
C4ORF50	0.822814	0.939087	0.687979	0.796917	0.866669	1.0
CA6	0.858571	0.963978	0.810777	0.797551	1.0	0.82206
CACHD1	0.916217	0.784655	0.88908	0.953454	1.0	0.942171
CACNA1E	0.128126	0.182393	0.182558	0.149747	0.147154	0.1633
CAMP	0.096142	0.126376	0.071123	0.153406	0.098246	0.187216
CAV1	0.152463	0.129907	1.0	0.254181	0.259189	0.258519
CBS	0.520576	0.557076	1.0	0.798252	0.805466	0.700422
CBSL	0.540863	0.528774	0.754299	1.0	0.763047	0.857524
CCL20	0.120217	0.090264	0.131197	0.142693	0.164291	0.173266
CCL22	0.912949	0.800897	0.776514	0.770426	1.0	0.827022
CCL3	0.015622	0.024484	0.023872	0.026218	0.018885	0.031533
CCL3L3	0.03371	0.037227	0.032591	0.027234	0.140064	0.174457
CCL5	0.018313	0.020719	0.011612	0.01618	0.014636	0.022452
CCR3	0.269203	0.306475	0.312709	0.22872	0.247262	0.248452
CCR4	0.104869	0.109386	0.093534	0.101696	0.113769	0.122406
CCR5	1.0	0.978527	0.598009	0.707091	0.459302	0.534533
CCR8	0.904238	1.0	0.497626	0.847568	0.67985	0.898536
CD160	0.077809	0.048722	0.039209	0.042586	0.034038	0.040447
CD163	1.0	0.833907	0.303673	0.229515	0.263143	0.243143
CD19	0.02087	0.018609	0.025835	0.026182	0.023197	0.014723
CD1C	0.148495	0.157723	0.078985	0.101217	0.093848	0.121135
CD200	0.205257	0.216678	0.204802	0.206745	0.28605	0.291587
CD24	0.33278	0.236523	0.755612	1.0	0.876433	0.728988
CD300E	0.340123	0.348892	0.32805	0.346154	0.356866	0.440418
CD34	0.810266	0.704097	0.770105	1.0	0.974633	0.913963
CD36	1.0	0.848745	0.309737	0.326022	0.130563	0.257133
CD40LG	0.264895	0.252819	0.220633	0.249128	0.251115	0.227817
CD70	0.114042	0.194939	0.277797	0.367741	0.346931	0.416205
CD79A	0.008036	0.009384	0.006771	0.009043	0.011304	0.012037
CD8A	0.038834	0.039703	0.035911	0.045861	0.055213	0.052
CD8B	0.029184	0.031503	0.027944	0.030804	0.03423	0.033472
CDH2	0.873743	0.8466	0.83221	0.874014	0.981295	1.0
CFAP58	0.440014	0.426085	0.387094	0.320643	0.328911	0.491375
CFH	0.892016	0.748454	0.429668	0.483192	0.902338	1.0
CHL1	0.754946	0.498926	0.53916	0.622287	0.94958	1.0
