Symbol	Monocytes_CD14+CD16-	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	NK_cells	Neutrophils	B_cells
ABLIM1	0.0	0.011353	0.005964	0.002683	1.0	0.665605	0.361728	0.019401	0.27205
ABP1	0.030094	1.0	0.554898	0.018144	0.017147	0.020606	0.018582	0.138563	0.040289
ACER3	0.300956	0.970043	1.0	0.265875	0.034335	0.008921	0.097352	0.011792	0.0
ACSL1	0.097837	0.02319	0.021653	0.005415	0.000903	0.010943	0.0101	1.0	0.000345
ADAM28	0.044164	0.82258	1.0	0.10067	0.006748	0.012406	0.072389	0.11709	0.639989
ADM	0.137382	0.036082	0.015191	0.004205	0.0	0.002703	0.010383	1.0	0.000911
AGAP1	0.005522	0.003953	0.0	0.0	0.0212	0.046286	1.0	0.005069	0.013718
AGPAT9	0.299936	1.0	0.59354	0.01206	0.047386	0.016964	0.007272	0.809878	0.0
AHI1	0.009732	0.027581	0.089701	1.0	0.026642	0.023727	0.0285	0.010728	0.015591
AIG1	0.03575	0.661833	1.0	0.0	0.068818	0.014462	0.1095	0.049	0.0075
AIM2	0.079712	0.019275	0.28538	0.0	0.019239	0.020519	0.002198	0.16243	1.0
AKR1C3	0.001576	0.0	0.004326	0.095623	0.023437	0.037997	0.360101	0.005831	0.003838
ALDH1A1	0.624843	0.001127	0.009694	0.00062	0.000999	0.004201	0.0	0.009232	0.012174
ALDH2	0.489397	1.0	0.78295	0.517246	0.013154	0.009646	0.036426	0.050914	0.021633
ALPL	0.008221	0.005013	0.004466	0.004213	0.003732	0.005165	0.003035	0.462857	0.006738
ANAPC10	0.278965	0.11458	0.096745	0.165014	0.284407	1.0	0.310906	0.0	0.404172
ANKRD9	0.021133	0.044871	0.03286	0.004004	0.005872	0.003853	0.695052	0.059964	0.0
ANXA3	0.024466	0.04701	0.059533	0.00498	0.016812	0.029886	0.001492	1.0	0.002293
APOBEC3A	0.515028	0.006661	0.004295	0.007304	0.008218	0.007293	0.006408	1.0	0.009716
AQP9	0.124836	4.1e-05	0.0	3.4e-05	0.001607	0.003572	0.002097	1.0	0.005813
ARHGAP22	0.077602	1.0	0.916389	0.031897	0.037241	0.03903	0.039749	0.036396	0.064471
ASGR1	0.256114	0.038684	0.008712	0.008632	0.005537	0.005367	0.009551	0.013859	0.008752
ATP8B2	0.000691	0.0	0.012111	0.119173	0.965734	0.116714	0.310679	0.044738	0.005088
AXL	0.01572	0.755653	1.0	0.452355	0.006835	0.010068	0.036567	0.010184	0.020676
B3GNT7	0.013038	0.055562	0.146781	0.025131	0.009866	0.012574	1.0	0.024019	0.02224
BACE2	0.014684	0.0	0.002185	0.00521	0.007012	0.025208	0.006806	0.132796	1.0
BANK1	0.013595	0.029701	0.05547	0.024616	0.005589	0.019239	0.001408	0.02093	1.0
BATF3	0.110165	0.336119	1.0	0.025964	0.031997	0.033912	0.031568	0.053888	0.048566
BCL11B	0.002919	0.0	0.000316	0.00068	1.0	0.44881	0.176355	0.02926	0.00403
BLK	0.002598	0.039737	0.066543	1.0	0.01071	0.0	0.013987	0.004242	0.243753
BLNK	0.005828	0.102327	0.100934	1.0	0.003504	0.005339	0.001011	0.001267	0.722307
BST1	1.0	0.158898	0.032481	0.12082	0.015333	0.019629	0.02135	0.952339	0.011626
BTBD11	0.168098	0.298569	0.008784	0.0	0.371248	1.0	0.166804	0.138128	0.005368
BTBD3	0.158747	0.610507	1.0	0.99201	0.030741	0.000667	0.126488	0.005406	0.0
BTLA	0.003983	0.027443	0.353116	0.204275	0.048038	0.031734	0.0	0.007924	1.0
BTNL8	0.044509	0.020402	0.018603	0.016059	0.026596	0.042282	0.011343	1.0	0.036597
C10ORF128	0.029744	1.0	0.658694	0.0	0.093274	0.047786	0.044035	0.300821	0.130189
C11ORF75	0.881183	0.855371	1.0	0.59529	0.052921	0.013003	0.0	0.133481	0.017024
C12ORF57	0.032864	0.087927	0.170478	0.615738	0.819579	0.834498	0.460941	0.0	0.28549
C15ORF48	0.007259	0.591232	0.482569	0.007442	0.0	0.00262	0.016712	0.063316	0.000238
C1ORF54	0.061452	0.105891	1.0	0.007753	0.015957	0.028568	0.008519	0.0	0.007206
C20ORF103	0.015466	0.037748	0.075046	1.0	0.010135	0.010739	0.006971	0.010148	0.016977
C2ORF89	0.003063	0.072431	0.029008	0.020681	1.0	0.152509	0.003839	0.0	0.00765
C5AR1	0.323177	0.00063	0.0	0.000227	0.002402	0.001428	0.002598	1.0	0.001194
C5ORF13	0.162094	1.0	0.760656	0.945448	0.01814	0.008778	0.025079	0.0	0.026747
C6ORF105	0.00253	0.045493	0.02834	0.026848	0.67683	0.026521	0.0	0.01645	0.010121
C8ORF47	0.0	0.00929	1.0	0.008589	4.8e-05	0.004166	0.010692	0.006626	0.007888
CACNA2D3	0.330478	1.0	0.214547	0.133626	0.008994	0.005074	0.013131	0.008281	0.009161
CADM1	0.028543	0.030773	1.0	0.012831	0.024318	0.066848	0.054097	0.01083	0.047627
CAMK2N1	0.023496	0.002764	0.006379	0.0	0.182822	0.656795	0.16904	0.023559	0.048692
CAMK4	0.004327	0.002164	0.0	0.001352	1.0	0.494694	0.010548	0.01455	0.026234
CAPZA1	0.036423	0.099204	0.091785	0.054687	0.0	1.0	0.475319	0.836366	0.046697
CCDC50	0.045981	0.169615	0.168237	1.0	0.014151	0.003143	0.02644	0.0	0.082252
CCDC88A	0.250754	0.878682	1.0	0.9642	0.022648	0.009421	0.029769	0.006495	0.009974
CCL5	0.002829	0.00265	0.0002	0.0	0.059599	0.420882	0.729019	0.022063	0.004457
CCR2	1.0	0.181871	0.065782	0.875525	0.198015	0.079075	0.0	0.008973	0.042927
CCR3	0.020724	0.013637	0.015119	0.119671	0.01868	0.016207	0.007917	1.0	0.015629
CCR6	0.000351	0.008775	0.007793	0.001357	0.022098	0.0062	0.0	0.00206	0.057981
CCR7	0.0	0.093234	0.054253	0.024096	1.0	0.666699	0.002108	0.039065	0.676031
CD14	0.671936	0.013374	0.001939	0.0	0.00933	0.00299	0.002113	0.316002	0.011311
CD160	0.003055	0.001625	0.001185	0.0	0.003644	0.073872	0.526178	0.001882	0.00887
CD163	1.0	0.689312	0.010145	0.002358	0.00163	0.003317	0.012036	0.017265	0.011814
CD1C	0.05426	1.0	0.124841	0.005446	0.007721	0.005134	0.015826	0.003699	0.132762
CD1D	1.0	0.860133	0.101033	0.0	0.002771	0.000244	0.017783	0.021847	0.072719
CD2	0.0	0.127891	0.023607	0.012327	1.0	0.604856	0.185048	0.012441	0.006355
CD200	0.006828	0.009665	0.012522	0.004202	0.007992	0.013136	0.0	0.009211	1.0
CD207	0.030302	1.0	0.630132	0.017928	0.023562	0.030844	0.011757	0.023996	0.038884
CD22	0.018171	0.093291	0.111022	0.061022	0.001147	0.020742	0.0	0.038466	1.0
CD24	0.004552	0.033573	0.023641	0.012211	0.030728	0.081139	0.0	0.17842	1.0
CD247	0.000409	0.0	8.8e-05	0.004889	0.09786	0.027528	0.289122	0.003425	0.00056
CD27	0.005371	0.004166	0.001399	0.0	1.0	0.20585	0.004944	0.012997	0.097599
CD300LF	1.0	0.725353	0.244929	0.15308	0.022594	0.024748	0.019295	0.939903	0.031826
CD33	0.825132	1.0	0.370646	0.053898	0.043808	0.049882	0.050554	0.127218	0.055594
CD36	1.0	0.26346	0.092019	0.630691	0.007143	0.005756	0.013815	0.024492	0.010033
CD3D	0.007287	0.002198	0.00147	0.0	0.732311	1.0	0.024329	0.025866	0.037108
CD3E	0.014661	0.0	0.000999	0.004775	1.0	0.203331	0.030337	0.036885	0.018196
CD3G	0.009909	0.000593	0.0	0.000539	0.704482	0.950565	0.053174	0.029704	0.036079
CD79A	0.012472	0.028047	0.019737	0.026831	0.00565	0.020361	0.0	0.016474	0.847602
CD79B	0.010794	0.036813	0.006979	0.008387	0.028569	0.010612	0.021135	0.0	0.677638
CD8A	0.005126	0.001261	0.002228	0.0	0.003499	0.988071	0.151596	0.018544	0.010034
CD8B	0.027787	0.011865	0.011923	0.010876	0.018258	0.618258	0.019426	0.052451	0.059325
CD96	0.000617	7.4e-05	0.0	0.0	0.040465	0.047772	0.03952	0.001209	0.007447
CEACAM8	0.010229	0.004151	0.006128	0.002767	0.265342	0.489364	0.007511	0.215379	0.006523
CENPK	0.001143	0.031175	0.025392	0.064558	1.0	0.304245	0.18705	0.0	0.049049
CEP78	0.006646	0.048483	0.068371	0.103906	0.056118	0.115163	1.0	0.0	0.0031
CFP	0.933218	1.0	0.340253	0.026921	0.025934	0.001797	0.007467	0.554401	0.0
CHI3L1	0.006528	0.003542	0.004292	0.002157	0.004754	0.00694	0.0	1.0	0.001998
CHN2	0.325526	0.675739	1.0	0.031769	0.00607	0.10754	0.327195	0.002428	0.0
CLC	0.006729	0.002735	0.002357	0.099443	0.042713	0.025348	0.0	1.0	0.016165
CLEC10A	0.043795	1.0	0.254716	0.046019	0.001569	0.0	0.0238	0.004553	0.003774
CLEC2D	0.0	0.003811	0.001752	0.003913	0.086352	0.165765	0.012337	0.002879	0.145124
CLEC4A	0.942206	0.239903	0.110874	0.073616	0.003179	0.0	0.012777	0.777339	0.059301
CLEC4C	0.001375	0.004336	0.136743	1.0	0.0027	0.000533	0.001963	0.019635	0.004077
CLIC2	0.071126	1.0	0.967082	0.08347	0.007417	0.005173	0.015048	0.016036	0.003762
CLIC3	0.0	0.003555	0.05309	0.649013	0.00845	0.014132	0.517867	0.002179	6.9e-05
CLLU1	0.001728	0.012612	0.002246	0.068072	0.00022	0.00412	0.0	0.00546	1.0
CMTM2	0.075102	0.001402	0.001172	0.001172	0.002808	0.003129	0.001733	1.0	0.005199
CNTNAP3	0.012597	0.0	0.002067	0.002584	0.010853	0.014908	0.010078	1.0	0.013178
CNTNAP3B	0.009391	0.0	0.001926	0.002247	0.007618	0.011484	0.005137	1.0	0.019264
COCH	0.025911	0.007866	0.004002	0.003864	0.007176	0.020935	0.0	0.017775	1.0
COIL	0.287677	0.0	0.002631	0.016914	0.160631	1.0	0.576105	0.033151	0.773528
COL24A1	0.00349	0.002377	0.03437	1.0	0.0	0.002206	0.016287	0.004158	0.011836
CPNE5	0.098994	0.0565	0.067991	0.04453	0.068731	0.091122	0.04836	0.09174	1.0
CPVL	0.53906	0.625508	1.0	0.054323	0.006274	0.0	0.016205	0.006214	0.010969
CR2	0.020408	0.212245	0.008905	0.005937	0.122921	0.091566	0.0	0.033544	1.0
CRISP3	0.025948	0.037481	0.057662	0.040364	0.738341	1.0	0.0	0.472255	0.038922
CRISPLD2	0.328971	0.0	0.000422	0.0022	0.007487	0.008366	0.00877	1.0	0.005424
CRTAM	0.381435	0.158613	0.315723	0.008269	0.066721	1.0	0.456545	0.024707	0.01328
CSF3R	0.164634	0.063875	0.013052	0.004085	0.001702	0.00205	0.002475	1.0	0.001728
CST3	0.579873	0.522662	0.588811	0.218113	0.009344	0.0	0.034212	0.05298	0.00298
