Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
A2M	0.123224	0.169229	0.009586	0.610214	0.0	0.0	414.249429	0.274143	1.234429
ABCA13	0.012796	0.1564	6.073929	0.016071	0.0	0.0	0.011893	0.0	0.0
ABCB4	0.012571	0.171371	0.009586	0.185	24.112	69.449429	1.624143	0.0	0.034429
ACER1	0.567163	0.002743	0.009586	0.0	0.0	0.0	0.0	0.300571	0.100714
ACSS3	0.001796	0.142029	8.440243	0.009571	0.0	0.0	0.062321	0.0	0.0
ADAM23	0.323959	0.047857	0.026729	0.0	0.0	0.344	0.0	3.360286	0.214
ADAMTS1	0.06149	0.000343	0.059114	7.532429	0.0	0.0	0.0	0.0	0.418786
ADGRG1	0.268735	0.137429	0.626614	103.572857	0.105	0.099143	0.0	0.218643	27.433714
ADGRG3	0.025163	0.295314	167.049257	0.800786	0.0	0.0	0.0	0.0	0.060429
ADTRP	90.359204	0.326086	0.4365	0.0	0.105	0.148571	2.123964	12.173429	0.184429
AFF3	8.465408	1.610257	0.276371	0.273143	67.356286	185.947143	0.044607	0.440286	0.109571
AIRE	0.022367	0.003057	0.025586	0.0	0.044286	0.044857	0.0	1.2325	0.038857
AK5	35.972653	0.156314	0.068443	3.750571	0.069	0.0	2.432179	3.4895	1.066929
AKAP6	1.650694	0.004429	0.009586	0.009571	1.308429	45.098571	0.85025	0.463929	0.247786
AKR1C3	1.774041	0.340914	1.345329	105.056	0.0	0.077714	0.938679	2.749857	1.257357
AKR1E2	10.643776	0.420171	0.138614	0.410429	0.0	0.141	0.625357	3.171857	0.266429
ALPL	0.0	0.041029	140.434143	0.0	1.722286	0.044857	0.237357	0.025357	0.0
ALS2CL	12.55049	1.373457	0.1271	0.026786	0.044286	0.021143	0.324536	11.638143	0.561071
ANAPC1P1	0.252857	0.026543	0.0712	0.134857	0.119714	0.156286	0.014714	0.074	2.033
ANKRD36BP2	19.886327	0.036743	0.086371	0.107	1.722286	0.372286	0.018821	0.455357	0.258
ANKRD55	9.221449	0.118914	2.151714	0.0	0.069	0.0	0.011929	2.258357	0.024929
ANKUB1	0.001224	0.027743	4.716357	0.022857	0.0	0.122143	0.026	0.0	0.0
ANXA3	0.041694	0.167571	66.245957	0.0	0.069	0.044857	0.085429	0.0	0.0
APOE	0.328653	0.182371	0.009586	0.061643	0.252714	0.201286	5184.590571	0.105143	0.127143
AQP3	30.618347	0.199886	0.087157	0.606	0.505143	0.122143	0.136679	112.154714	24.523929
ARG1	0.101918	0.029829	18.860143	0.017143	0.044286	0.066	0.008286	0.012643	0.0
ASGR1	0.093959	21.827886	0.0622	0.017143	0.0	0.0	0.325679	0.062357	0.0
ASPHD1	0.0	0.0	0.0191	0.0	0.119714	0.032857	16.438393	0.0	0.013
B3GALT2	0.035898	0.004343	0.167471	0.010714	0.0	0.021143	0.0005	1.285143	0.486286
B3GNT7	0.052796	0.009343	0.0849	29.998857	2.384857	0.769143	0.636179	0.018571	0.527143
B4GALNT4	0.371735	0.001886	0.026729	0.099429	0.0	0.0	0.0	0.473429	2.066571
BACE2	0.377408	0.013943	0.302757	0.173214	30.139714	23.808571	0.132929	0.028429	0.019929
BANK1	0.072571	1.267429	0.070586	0.332429	224.047714	258.465429	0.021286	0.092071	0.090857
BCORP1	6.044408	0.002743	0.0191	0.931429	0.0	0.0	0.0	0.0	3.216643
BEND7	0.028612	0.245829	6.601257	0.0	0.105	0.0	0.023643	0.0	0.0
BLK	0.783143	0.111514	0.009586	0.187429	176.058	160.736	0.0	0.347286	1.009071
BLNK	0.08002	0.531857	0.049443	0.116929	83.596857	70.106286	1.737821	0.0	0.0
BMX	0.150633	0.046743	9.464757	0.010714	0.0	0.0	0.027643	0.0	0.0
BNC2	0.031633	0.001429	0.059043	12.742857	0.044286	0.0	0.2095	0.029714	0.182929
BOK	0.025143	0.004286	0.009586	8.589	0.069	0.0	0.155286	0.0	0.030857
BTNL9	0.003143	0.013314	0.0582	0.040143	4.111	3.666286	0.0	0.0	0.0
C11ORF45	0.120939	0.253143	0.009586	0.020286	0.081429	0.099143	52.446	0.152	0.517429
