Gene	A	B	C	D	E	F	G	H	I	J	K	L
ABLIM1	0.429648	0.448254	0.72617	0.754907	0.666765	0.430351	0.249631	0.132947	0.137708	0.736613	0.695515	0.613514
ABP1	0.029633	0.008222	0.068136	0.007051	0.039136	0.094886	0.343936	0.213287	0.165488	0.0	0.012955	0.055419
ACER3	0.024615	0.018378	0.018238	0.011609	0.010991	0.026696	0.029744	0.045081	0.050603	0.004312	0.016829	0.012784
ACSL1	0.042365	0.049579	0.010154	0.008266	0.014867	0.026661	0.12789	0.125981	0.118531	0.004726	0.0	0.010291
ADAM28	0.06238	0.060114	0.019379	0.01955	0.016917	0.033362	0.055258	0.051158	0.058091	0.00411	0.007554	0.0
ADM	0.251783	0.266042	0.045676	0.047622	0.096933	0.128261	0.557049	0.512632	0.468898	0.0106	0.019248	0.028894
AGAP1	0.047663	0.064218	0.006172	0.049901	0.066621	0.093002	0.016857	0.029325	0.058359	0.028848	0.077424	0.002906
AGPAT9	0.153082	0.165471	0.087086	0.080783	0.081631	0.063305	0.30915	0.247357	0.239804	0.082107	0.058796	0.112357
AHI1	0.008948	0.031131	0.033817	0.052312	0.013587	0.020604	0.00335	0.003081	0.0	0.028876	0.037785	0.044542
AIG1	0.244667	0.260124	0.358667	0.364327	0.322769	0.2654	0.286125	0.3485	0.311	0.348333	0.406875	0.351667
AIM2	0.084704	0.087765	0.066542	0.059807	0.04464	0.041685	0.096195	0.07883	0.068603	0.064851	0.054259	0.083117
AKR1C3	0.373935	0.378427	0.205772	0.213758	0.283972	1.0	0.178506	0.063343	0.065617	0.113566	0.059464	0.152893
ALDH1A1	0.57365	0.556055	0.10709	0.104865	0.1645	0.22125	0.570436	0.988032	1.0	0.05219	0.07372	0.117399
ALDH2	0.164404	0.172443	0.018428	0.017035	0.040806	0.064639	0.223002	0.304262	0.313911	0.006176	0.0	0.016508
ALPL	0.192962	0.172654	0.060377	0.058147	0.088471	0.129076	1.0	0.032022	0.041016	0.0	0.021025	0.013654
ANAPC10	0.638361	0.675492	0.7347	0.719935	0.754276	0.828547	0.575411	0.673042	0.66175	0.699598	0.84197	0.803842
ANKRD9	0.487466	0.445437	0.276253	0.290304	0.400294	1.0	0.458774	0.564437	0.559779	0.269757	0.315232	0.310073
ANXA3	0.00448	0.012586	0.028025	0.012414	0.018864	0.059488	0.137166	0.016531	0.0	0.005495	0.003493	0.079662
APOBEC3A	0.006959	0.02691	0.002802	0.00503	0.001585	0.011939	0.036428	0.035555	0.041894	0.0	0.018301	0.001539
AQP9	0.125986	0.133271	0.022299	0.024791	0.050786	0.07515	0.351387	0.196633	0.191883	0.000141	0.000888	0.003701
ARHGAP22	0.052693	0.118266	0.0	0.015769	0.056115	0.064789	0.123232	0.173769	0.173541	0.008766	0.003248	0.078413
ASGR1	0.61251	0.614156	0.069536	0.088958	0.162231	0.240402	0.776932	1.0	0.99931	0.001559	0.0	0.044765
ATP8B2	0.423751	0.413261	0.949299	0.898298	0.674411	0.278086	0.214068	0.110352	0.119615	0.921311	0.718244	1.0
AXL	0.012371	0.006892	0.000342	0.007476	0.013784	0.006151	0.033491	0.025805	0.061172	0.003531	0.0	0.020573
B3GNT7	0.006174	0.001152	0.008812	0.0	0.005926	0.021646	0.004819	0.003707	0.028837	0.002135	0.006005	0.001724
BACE2	0.110008	0.091231	0.040417	0.039997	0.028989	0.057138	0.105054	0.056338	0.073607	0.008235	0.005714	0.003361
BANK1	0.080355	0.098407	0.013738	0.0	0.037137	0.021569	0.088313	0.049238	0.048741	0.014786	0.010063	0.003788
BATF3	0.083638	0.085152	0.00815	0.022727	0.028414	0.050376	0.137788	0.167377	0.171641	0.0	0.007816	0.048659
BCL11B	0.542789	0.532213	0.966592	0.950554	0.795118	0.295497	0.236006	0.145089	0.144189	0.948196	0.853584	0.879161
BLK	0.78879	0.810773	0.246658	0.291687	0.44407	0.242961	0.863998	0.457315	0.472151	0.20295	0.391912	0.20877
BLNK	0.009213	0.008598	0.006244	0.008939	0.005898	0.010242	0.001011	0.010354	0.0	0.008086	0.003651	0.011084
BST1	0.433586	0.445253	0.069094	0.070405	0.166087	0.21619	0.712134	0.938069	0.920697	0.006705	0.0	0.063429
BTBD11	0.478472	0.441656	0.759233	0.812143	0.740322	0.340929	0.347209	0.353674	0.355186	0.805541	0.807849	0.626809
BTBD3	0.273642	0.255061	0.229684	0.250935	0.250298	0.257169	0.360252	0.463278	0.434399	0.199178	0.197254	0.260934
BTLA	0.107855	0.097753	0.068356	0.076309	0.060445	0.033315	0.099542	0.055864	0.056968	0.065314	0.047996	0.089336
BTNL8	0.005696	0.058129	0.044676	0.001291	0.034301	0.043112	0.197202	0.0	0.007325	0.004021	0.001229	0.009147
C10ORF128	0.055569	0.044888	0.050143	0.058229	0.063752	0.041158	0.045858	0.039932	0.045156	0.066386	0.066165	0.067738
C11ORF75	0.521268	0.485663	0.128007	0.129965	0.146939	0.23943	0.666636	0.881034	0.845196	0.111898	0.059468	0.165089
