Bleh	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ABCA13	0.0	0.0	0.025749	0.002646	1.0	0.0	0.002107	0.0
ABCB4	1.0	0.347188	0.002468	0.002664	0.000138	0.0	0.000181	0.000496
ACSS3	0.0	0.0	0.016828	0.001134	1.0	0.0	0.000213	0.0
ADAM23	0.102372	0.0	0.014242	0.0	0.007954	1.0	0.096408	0.063685
ADAMTS1	0.0	0.0	4.6e-05	1.0	0.007848	0.0	0.008163	0.055598
ADGRE4P	0.0	0.0	0.023949	0.0	0.024672	0.092535	0.447954	0.000841
ADGRG3	0.0	0.0	0.001768	0.004794	1.0	0.0	0.000151	0.000362
ADRA2B	0.0	0.004574	1.0	0.00166	0.016483	0.003925	0.001286	0.005983
ADTRP	0.001644	0.001162	0.003609	0.0	0.004831	0.134723	1.0	0.002041
AIRE	0.015386	0.01519	0.001049	0.0	0.008776	0.422751	0.007672	0.013328
AK5	0.0	0.001918	0.004345	0.104262	0.001903	0.097004	1.0	0.029659
AKAP5	0.015599	0.059239	0.0	1.0	0.004133	0.008763	0.00984	0.026213
AKAP6	1.0	0.028917	0.0	0.000114	0.000114	0.01019	0.036507	0.005397
AKR1C3	0.00074	0.0	0.003245	1.0	0.012806	0.026175	0.016887	0.011968
AKR1E2	0.013247	0.0	0.039476	0.03856	0.013023	0.298001	1.0	0.025031
ALDH1A1	0.007194	0.0	1.0	0.0	0.017772	0.0	0.005551	0.0
ALPL	0.000319	0.012264	0.000292	0.0	1.0	0.000181	0.0	0.0
ANKRD36BP2	0.016904	0.084916	0.0	0.003539	0.0025	0.021089	1.0	0.011147
ANKUB1	0.025898	0.0	0.005882	0.004846	1.0	0.0	0.00026	0.0
ANXA3	0.000677	0.001042	0.00253	0.0	1.0	0.0	0.000629	0.0
AOC4P	0.0	0.024053	0.008836	0.0	1.0	0.0	0.004774	0.0
AQP3	0.000312	0.00373	0.001006	0.00463	0.0	1.0	0.272436	0.218054
ARG1	0.003499	0.002348	0.001582	0.000909	1.0	0.00067	0.005404	0.0
ASGR1	0.0	0.0	0.820064	0.000644	0.002337	0.002343	0.00353	0.0
B3GALT2	0.014989	0.0	0.003079	0.007596	0.118726	0.91108	0.025449	0.344744
B3GNT7	0.025336	0.079211	0.0	1.0	0.002519	0.000308	0.001449	0.017266
B4GALNT4	0.0	0.0	0.00082	0.04323	0.011621	0.205841	0.161626	0.89852
BANK1	1.0	0.866802	0.004632	0.001013	0.0	8.3e-05	8e-06	7.8e-05
BCL7A	1.0	0.199553	0.006017	0.000922	0.0	0.022304	0.027209	0.013202
BCORP1	0.0	0.0	0.000179	0.060828	0.001247	0.0	0.394735	0.210066
BHLHE41	0.13352	1.0	0.001153	0.002686	0.029301	0.0	0.0099	0.0
BICDL2	0.009663	0.0	0.000387	0.0	1.0	0.005462	0.001392	0.00271
BIRC7	0.0	0.0	0.0	0.013615	0.004591	0.0	0.014406	0.063524
