Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
ABCB1	0.186546	0.164306	0.182591	0.181794	0.167932	0.166249	0.163492	0.17809
ABHD5	0.041419	0.042899	0.037153	0.040024	0.050364	0.049851	0.042129	0.037061
ACSM3	0.07272	0.07427	0.083897	0.076153	0.081021	0.087066	0.081249	0.077319
ADAM19	0.145102	0.173037	0.153201	0.170584	0.192406	0.180144	0.168787	0.173401
ADAMTS5	0.723073	0.692751	0.725711	0.66637	0.620583	0.631434	0.66154	0.66627
ADI1	0.105451	0.110095	0.095406	0.100749	0.152785	0.139089	0.125537	0.145305
AGPAT5	0.012147	0.014309	0.015722	0.01396	0.017085	0.019275	0.014416	0.011846
ALAS1	0.085966	0.113703	0.105443	0.110461	0.100717	0.116588	0.143367	0.144856
ALPL	0.040101	0.051573	0.039333	0.052877	0.128468	0.072541	0.053767	0.051894
ANK3	0.223505	0.206636	0.239537	0.237129	0.275058	0.321088	0.362445	0.264267
ANXA3	0.07271	0.06941	0.080194	0.074922	0.104904	0.096669	0.085359	0.086064
AOC2	0.191664	0.212105	0.2203	0.21157	0.200137	0.21584	0.204694	0.194717
APOBEC3A	0.313267	0.403672	0.315407	0.25147	0.625511	0.527783	0.369836	0.354172
APOBEC3G	0.912176	1.0	0.9662	0.866378	0.696159	0.60301	0.601814	0.670936
APOE	0.0084	0.009124	0.011512	0.012148	0.011766	0.011568	0.010917	0.012994
ARID4A	0.065254	0.040752	0.077146	0.037844	0.059489	0.064013	0.056924	0.04575
ARNT2	0.145798	0.151757	0.157824	0.141902	0.142413	0.127879	0.156691	0.156059
ASGR1	0.27676	0.324162	0.245765	0.226915	0.251261	0.228986	0.27745	0.246149
ASGR2	0.699777	1.0	0.555256	0.572823	0.588231	0.471246	0.510582	0.523955
ASRGL1	0.140797	0.154925	0.122698	0.127748	0.10468	0.109019	0.128896	0.095851
ATP2A1	0.208237	0.2036	0.192867	0.166684	0.192896	0.202425	0.187732	0.227083
ATP2B1	0.158141	0.104825	0.133929	0.127797	0.145372	0.160447	0.127797	0.130159
BEX1	0.029622	0.02823	0.032456	0.024328	0.0	0.029004	0.025832	0.028685
BMX	0.034753	0.111507	0.116891	0.097392	0.135504	0.143166	0.12203	0.132055
C1QA	0.172395	0.219061	0.122878	0.101645	0.082521	0.076599	0.082027	0.073231
C1QB	0.02662	0.040347	0.024413	0.022282	0.018832	0.019038	0.016696	0.016669
CA4	0.031939	0.077505	0.0	0.068045	0.093072	0.091153	0.077335	0.083506
CACNA2D3	0.300137	0.267422	0.269896	0.270193	0.265051	0.258364	0.259132	0.259096
CALB2	0.000495	0.000536	0.000586	0.000536	0.002292	8.7e-05	0.001107	0.0
CALML4	0.315265	0.317085	0.311768	0.299185	0.349679	0.345101	0.354507	0.33203
CAMK4	0.614096	0.487925	0.795108	0.80249	0.659549	0.831952	0.825137	0.756871
CASP1	0.914388	0.988351	0.853856	0.818584	1.0	0.960425	0.960425	0.882167
CCR2	0.735766	0.815736	0.669581	0.635358	0.758441	0.759922	1.0	0.772607
CCR3	0.021301	0.022511	0.022727	0.025389	0.026861	0.026054	0.023847	0.02654
CD14	0.574289	0.646784	0.516557	0.489371	0.560986	0.525202	0.566913	0.5703
CD160	0.204741	0.245961	0.181093	0.235967	0.160073	0.128384	0.170607	0.157911
CD163	0.386838	0.448743	0.319369	0.369086	0.297519	0.286248	0.378378	0.343933
CD19	0.039901	0.043369	0.041148	0.062834	0.092008	0.090515	0.064536	0.070624
CD1D	0.681089	0.634064	0.550933	0.467537	0.525971	0.447827	0.47363	0.454576
CD1E	0.147765	0.1491	0.135876	0.155003	0.101317	0.103389	0.105396	0.122888
CD207	0.132157	0.167927	0.129689	0.149278	0.115653	0.134651	0.132255	0.150673
CD209	0.019949	0.021132	0.019556	0.018868	0.019008	0.018257	0.017983	0.018151
CD38	0.018244	0.026019	0.022893	0.037202	0.014677	0.015039	0.011884	0.017868
CD3D	0.209456	0.201527	0.274593	0.276899	0.286916	0.296085	0.305129	0.304777
CD3E	0.750533	0.667257	0.851296	0.893759	0.910077	0.92433	0.989364	1.0
CD3G	0.268948	0.209288	0.318164	0.302275	0.326338	0.315977	0.37352	0.324519
CD4	0.956522	0.946047	0.913212	0.902913	0.87222	0.893867	1.0	0.98511
CD40LG	0.625807	0.468977	0.647416	0.679442	0.727377	0.766411	0.988277	0.885661
CD79A	0.114308	0.124414	0.122969	0.206571	0.243186	0.239307	0.180071	0.22989
CD8A	0.069125	0.065072	0.072386	0.080827	0.087318	0.08468	0.096063	0.093174
CDC14B	0.202275	0.175985	0.22005	0.225182	0.208673	0.218609	0.2301	0.224955
CDC42EP4	0.074623	0.085277	0.063332	0.070813	0.071615	0.076985	0.071226	0.074589
CDK2AP2	0.587839	0.727652	0.605018	0.619077	0.492179	0.475712	0.586522	0.643784
CDKN1C	0.369263	0.353823	0.226391	0.206757	0.28115	0.264536	0.247363	0.261218
CDR2L	0.115682	0.096193	0.109899	0.101354	0.091537	0.10804	0.031495	0.097566
CEACAM1	0.065062	0.06408	0.064825	0.068021	0.099621	0.099063	0.078481	0.085517
CEACAM3	0.097807	0.105569	0.078052	0.079057	0.101039	0.065197	0.043539	0.057078
CES1	0.868783	1.0	0.762249	0.737589	0.544962	0.431822	0.644482	0.487755
CETN1	0.028282	0.028828	0.027388	0.028828	0.052251	0.034991	0.185712	0.040487
CFB	0.017199	0.024026	0.019723	0.018875	0.022101	0.020501	0.018641	0.018641
CHMP7	0.574609	0.473556	0.677698	0.685401	0.701942	0.761659	0.834065	0.785402
CHST7	0.063957	0.079143	0.059798	0.056586	0.062663	0.06851	0.067106	0.070999
CIB2	0.098437	0.102492	0.105214	0.100534	0.100194	0.091441	0.092849	0.094829
CIITA	0.834655	1.0	0.710387	0.761624	0.792526	0.74305	0.618253	0.638143
CLCC1	0.788871	0.817253	0.844419	0.802325	0.571276	0.718509	0.686335	0.69454
CLCF1	0.069088	0.074702	0.06059	0.048949	0.06584	0.061688	0.057432	0.081731
CLEC4E	0.28445	0.300028	0.218056	0.192523	0.25376	0.233133	0.224657	0.220484
CLEC5A	0.092905	0.09102	0.083389	0.086475	0.130127	0.132597	0.169225	0.136459
CLIC2	0.100688	0.103065	0.101557	0.101045	0.091581	0.09603	0.096486	0.099606
CNNM1	0.057925	0.049601	0.066717	0.066329	0.0534	0.055755	0.057501	0.059639
CNOT1	0.373915	0.337554	0.40459	0.402672	0.39525	0.448298	0.461181	0.394767
COL4A3	0.438978	0.434124	0.444177	0.486693	0.460913	0.486628	0.392999	0.400414
CP	0.139049	0.132894	0.139644	0.141678	0.136691	0.136108	0.136741	0.12262
CRISPLD2	0.291496	0.343602	0.268184	0.217964	0.341814	0.280133	0.295635	0.315736
CRLF2	0.140622	0.139965	0.154086	0.154785	0.139526	0.153934	0.149215	0.127052
CSTA	0.416026	0.3975	0.396614	0.332168	0.636096	0.560946	0.550709	0.479473
CTLA4	0.160589	0.145153	0.197852	0.210649	0.257909	0.256946	0.201151	0.224917
CXCL10	0.016716	0.022246	0.018441	0.015359	0.020326	0.0202	0.014463	0.014493
CXCL9	0.023038	0.024013	0.020494	0.021308	0.020998	0.020853	0.014614	0.018799
CYCS	0.01622	0.012084	0.018209	0.012282	0.01737	0.017237	0.013827	0.01106
CYP2B6	0.142178	0.149773	0.152331	0.143801	0.153954	0.144412	0.15554	0.146843
CYP4F3	0.026384	0.028514	0.030868	0.033918	0.043401	0.035468	0.031826	0.032098
CYSLTR1	0.366909	0.369699	0.422657	0.385886	0.468012	0.465114	0.426396	0.423017
DEFB1	0.094123	0.093509	0.080995	0.093412	0.237174	0.277453	0.104376	0.093862
DENND3	0.728235	0.705733	0.561108	0.565816	0.595606	0.518132	0.538479	0.5188
DPYD	0.796535	0.974926	0.732307	0.683301	0.800374	0.835666	0.799689	0.730415
DUSP4	0.041283	0.039488	0.042016	0.037661	0.044083	0.043415	0.03797	0.04217
DYSF	0.072826	0.132044	0.064781	0.064649	0.14633	0.089125	0.119777	0.100163
EDN1	0.014397	0.018066	0.01564	0.015101	0.020052	0.020745	0.020058	0.018339
EIF1	0.388077	0.386278	0.390708	0.400063	0.391083	0.400063	0.380372	0.388994
ELSPBP1	0.119805	0.114318	0.119748	0.112435	0.030647	0.110032	0.117282	0.111213
EMILIN2	0.169479	0.209725	0.149478	0.139011	0.172616	0.166923	0.172259	0.172319
ESPL1	0.024266	0.008995	0.01696	0.00992	0.008792	0.000499	0.014178	0.018208
EVL	0.910981	0.90672	0.966159	1.0	0.880353	0.90672	0.934949	0.971996
FARS2	0.206105	0.221108	0.204368	0.235012	0.209445	0.237777	0.193078	0.250733
FBLN1	0.213232	0.202891	0.197515	0.192239	0.200785	0.195288	0.19731	0.194683
FCHO1	0.887396	0.944127	0.846238	1.0	0.80683	0.779124	0.852563	0.940805
FCN1	0.389381	0.433342	0.348912	0.334361	0.36771	0.359078	0.36771	0.370716
FGFR3	0.069777	0.076481	0.064467	0.083612	0.091329	0.079476	0.071006	0.066102
FGR	0.712438	0.755633	0.68567	0.680976	0.691747	0.673934	0.680998	0.66775
FKBP11	0.090714	0.096824	0.092071	0.114064	0.094832	0.089532	0.090275	0.096196
FLT4	0.872326	0.937092	0.911808	0.954069	0.884315	0.91439	0.893102	0.943517
FMO5	0.870745	0.880111	0.888957	0.816067	0.784138	0.805105	0.822093	0.838432
FST	0.090083	0.096208	0.096509	0.079775	0.075803	0.092931	0.109105	0.091493
FSTL1	0.2762	0.255794	0.277399	0.234769	0.241773	0.241203	0.273852	0.228444
FUT3	0.031369	0.005439	0.046983	0.042709	0.041308	0.042841	0.036308	0.043393
FXYD6	0.446235	0.503183	0.422214	0.423871	0.402591	0.403378	0.525134	0.441912
GAS7	0.811462	0.867389	0.660809	0.641009	0.635293	0.636741	0.661332	0.631103
GATA2	0.052588	0.057382	0.062024	0.056543	0.07635	0.071881	0.076356	0.083289
GBP1	0.078647	0.149302	0.098691	0.076361	0.141909	0.129755	0.071607	0.066789
GCH1	0.11241	0.147109	0.119118	0.0931	0.169466	0.169466	0.1209	0.122093
GFOD1	0.039332	0.065929	0.035182	0.053957	0.004695	0.002662	0.0	0.004531
GIMAP4	0.900562	0.835644	0.938031	0.878989	0.855078	0.891383	1.0	0.865616
GJB1	0.002774	0.001882	0.018138	0.037413	0.036215	0.002866	0.003946	0.0
GLRA1	0.174978	0.563971	0.442051	0.168396	0.101361	0.172137	0.19541	0.178606
