Row	ascites7873R1	ascites7873R2	ascites7882R1	ascites7882R2	ascites7892R1	ascites7892R2
ABCB1	0.212807	0.199672	0.172653	0.186604	0.183328	0.183634
ABHD5	0.279261	0.312833	0.246896	0.254137	0.373486	0.392965
ACSM3	0.565206	0.499554	0.599161	0.620658	0.648447	0.878967
ADAM19	0.161026	0.181886	0.128289	0.137336	0.191234	0.168642
ADAMTS5	0.805048	0.74708	0.81737	0.91867	1.0	0.894355
ADI1	0.11146	0.127395	0.143858	0.160193	0.149112	0.176611
AGPAT5	0.306005	0.20408	0.2094	0.245037	0.198695	0.206342
ALAS1	0.269999	0.294343	0.27775	0.27629	0.237745	0.267632
ALPL	0.135791	0.147407	0.154782	0.169344	0.17656	0.182115
ANK3	0.586106	0.538009	0.676284	0.778188	1.0	0.783551
ANXA3	0.654332	0.558463	0.742143	0.898456	0.916277	1.0
AOC2	0.205029	0.241987	0.208636	0.223162	0.240485	0.229505
APOBEC3A	0.14739	0.177514	0.147479	0.163947	0.266998	0.310719
APOBEC3G	0.435955	0.525892	0.317591	0.410786	0.251475	0.299861
APOE	0.314034	0.617368	0.470563	0.516759	0.294167	0.413254
ARID4A	0.157064	0.156901	0.069305	0.050588	0.117055	0.091644
ARNT2	0.268673	0.23715	0.267663	0.259342	0.307638	0.276057
ASGR1	0.125046	0.149692	0.103846	0.109206	0.092896	0.093796
ASGR2	0.238319	0.310218	0.19105	0.224257	0.176123	0.210222
ASRGL1	0.56337	0.525696	0.730578	0.744144	0.613927	0.571821
ATP2A1	0.401436	0.385083	0.406928	0.45425	0.5098	0.531906
ATP2B1	0.874382	0.779398	0.694656	0.680366	0.811044	0.8545
BEX1	0.047776	0.05278	0.039948	0.039032	0.026514	0.029156
BMX	0.191322	0.19413	0.193463	0.170906	0.165758	0.217876
C1QA	0.621381	1.0	0.592077	0.60569	0.382071	0.580399
C1QB	0.559424	0.868124	0.581437	0.576492	0.457231	0.601447
CA4	0.130971	0.131662	0.115775	0.136738	0.140295	0.132079
CACNA2D3	0.395801	0.372253	0.259623	0.263044	0.218319	0.23779
CALB2	0.066483	0.061825	0.051656	0.058689	0.08695	0.106572
CALML4	0.88739	0.925239	0.526008	0.559399	0.355634	0.473382
CAMK4	0.3466	0.37019	0.262322	0.3204	0.407117	0.367526
CASP1	0.505993	0.503387	0.190984	0.266697	0.131954	0.175523
CCR2	0.98678	0.952244	0.410912	0.465802	0.316572	0.375319
CCR3	0.029601	0.033756	0.034521	0.025724	0.027497	0.027696
CD14	0.511553	0.665229	0.636353	0.642956	0.407728	0.474475
CD160	0.102651	0.067699	0.057095	0.060689	0.051747	0.058308
CD163	1.0	0.967987	0.714339	0.622614	0.655518	0.634593
CD19	0.016248	0.015289	0.018323	0.018524	0.017259	0.013315
CD1D	0.233454	0.222949	0.125643	0.136402	0.123094	0.137852
CD1E	0.345145	0.302819	0.240995	0.263501	0.243644	0.26429
CD207	0.301221	0.330498	0.273975	0.290345	0.300404	0.307831
CD209	0.036704	0.036101	0.028405	0.029084	0.029231	0.025642
CD38	0.058023	0.061646	0.02087	0.02103	0.022984	0.023435
CD3D	0.049098	0.066158	0.046692	0.061342	0.065202	0.069722
CD3E	0.099744	0.110187	0.08341	0.093718	0.174588	0.109539
CD3G	0.092745	0.087867	0.065113	0.071674	0.094347	0.085673
CD4	0.882899	1.0	0.5518	0.602424	0.694575	0.605044
CD40LG	0.209814	0.202963	0.186796	0.200748	0.201855	0.190552
CD79A	0.00403	0.005806	0.002653	0.00531	0.008237	0.008997
CD8A	0.018997	0.019581	0.017445	0.023353	0.028877	0.026711
CDC14B	0.449895	0.405025	0.38031	0.440967	0.439464	0.454847
CDC42EP4	0.168009	0.160179	0.16019	0.179819	0.206288	0.217443
CDK2AP2	0.0	0.04108	0.137378	0.182204	0.108924	0.063979
CDKN1C	0.175909	0.173029	0.199736	0.240449	0.170912	0.179952
CDR2L	0.363117	0.387985	0.513858	0.58867	0.51918	0.528504
CEACAM1	0.091808	0.089922	0.071805	0.080764	0.085683	0.05653
CEACAM3	0.195174	0.206042	0.173703	0.202374	0.268758	0.260636
CECR1	0.069216	0.066916	0.041056	0.043172	0.067533	0.038143
CES1	0.180174	0.174721	0.104768	0.131804	0.127177	0.134504
CETN1	0.067485	0.29221	0.048391	0.067042	0.074851	0.260807
CFB	0.062242	0.060208	0.063295	0.056257	0.056476	0.081711
CHMP7	0.155617	0.164096	0.220354	0.18459	0.16396	0.201672
CHST7	0.063966	0.061663	0.05181	0.061444	0.057229	0.061906
CIB2	0.188193	0.23999	0.180256	0.180631	0.191612	0.198089
CIITA	0.245554	0.190971	0.182048	0.157959	0.200203	0.172231
CLCC1	1.0	0.966351	0.871568	0.935773	0.850253	0.935531
CLCF1	0.245594	0.238749	0.565981	0.608268	0.642868	0.567869
CLEC4E	0.200492	0.196794	0.154221	0.164336	0.269623	0.340926
CLEC5A	1.0	0.939511	0.655177	0.663679	0.579961	0.670672
CLIC2	0.501348	0.458924	0.24937	0.318642	0.233119	0.325874
CNNM1	0.05523	0.055207	0.041994	0.052099	0.06123	0.05402
CNOT1	0.602104	0.632681	0.71566	0.656837	1.0	0.764592
COL4A3	0.357748	0.463191	0.503118	0.543513	0.547061	0.590125
CP	1.0	0.818216	0.799167	0.95821	0.842925	0.865468
CRISPLD2	0.233946	0.23763	0.256674	0.278243	0.311789	0.29117
CRLF2	0.12453	0.131627	0.113884	0.086208	0.120544	0.126396
CSTA	0.539268	0.49496	0.193529	0.232337	0.132349	0.221799
CTLA4	0.171386	0.176724	0.149734	0.188718	0.175823	0.216173
CXCL10	0.03663	0.034539	0.026826	0.025991	0.033601	0.058653
CXCL9	0.039663	0.035388	0.027712	0.030156	0.027795	0.032484
CYCS	0.728244	0.676097	0.713345	0.808021	0.762593	0.813378
CYP2B6	0.208033	0.1779	0.190266	0.191982	0.194435	0.18104
CYP4F3	0.076307	0.087074	0.054115	0.05414	0.066247	0.05589
CYSLTR1	0.803669	0.735623	0.462738	0.55323	0.637692	0.595949
DEFB1	0.727593	0.736759	0.530738	0.591062	0.347345	0.487728
DENND3	0.431652	0.477932	0.339806	0.279076	0.487993	0.339239
DPYD	0.99449	1.0	0.441218	0.491643	0.395944	0.476545
DUSP4	0.188955	0.168478	0.214679	0.247088	0.227911	0.245325
DYSF	0.094743	0.096704	0.062722	0.072846	0.069916	0.062806
EDN1	0.237863	0.187683	0.286627	0.343051	0.415144	0.483789
EIF1	0.249554	0.225882	0.122063	0.097579	0.338154	0.194986
ELSPBP1	0.100028	0.103873	0.064708	0.206458	0.201139	0.209204
EMILIN2	0.186996	0.204435	0.17803	0.192703	0.199229	0.175312
ESPL1	0.16879	0.197629	0.238271	0.183353	0.225995	0.195311
EVL	0.259126	0.375042	0.251181	0.243554	0.280194	0.246358
FARS2	0.808291	0.712024	0.648979	0.858851	0.607641	0.720124
FBLN1	0.323307	0.312906	0.745905	0.83896	1.0	0.718736
FCHO1	0.320961	0.415197	0.337753	0.335694	0.42761	0.369943
FCN1	0.173125	0.215841	0.148435	0.178857	0.150495	0.158512
FGFR3	0.221206	0.214833	0.238762	0.25521	0.247384	0.249504
FGR	0.082908	0.106685	0.072418	0.070623	0.088604	0.100052
FKBP11	0.022682	0.023846	0.021874	0.034729	0.035579	0.038603
FLT4	0.748543	0.78528	0.78425	0.806926	0.8056	0.783372
FMO5	0.985823	1.0	0.649343	0.718851	0.700046	0.68929
FST	0.219629	0.184277	0.198504	0.187702	0.201629	0.214911
FSTL1	0.472688	0.466377	0.756501	0.769581	1.0	0.917792
FUT3	0.1171	0.138208	0.137267	0.152041	0.148886	0.147083
FXYD6	0.468936	0.51746	0.391331	0.460138	0.386915	0.435642
GAS7	0.95523	1.0	0.617318	0.654095	0.552977	0.427774
GATA2	0.02602	0.02512	0.035327	0.036115	0.037594	0.03231
GBP1	0.232885	0.218758	0.15029	0.164057	0.175503	0.208255
GCH1	0.067424	0.064684	0.059183	0.068949	0.07009	0.079391
GFOD1	0.038894	0.034258	0.012348	0.022605	0.001155	0.0
GIMAP4	0.258657	0.265228	0.165857	0.209056	0.099127	0.137113
GJB1	0.013132	0.012046	0.022891	0.032437	0.019291	0.040542
GLRA1	1.0	0.880513	0.721015	0.874143	0.818081	0.753042
GLRX2	0.283125	0.238705	0.240668	0.291257	0.187316	0.261485
GP5	0.089212	0.099456	0.089851	0.099448	0.106106	0.097621
GPNMB	0.546602	0.546602	0.463451	0.476282	0.430195	0.45568
HAGH	0.0	0.041749	0.065381	0.118551	0.045696	0.079269
HAVCR1	0.434646	0.457015	0.357121	0.357787	0.372133	0.348569
HBD	0.001167	0.009126	0.013039	0.0	0.009394	0.016179
HCK	0.19058	0.270936	0.184024	0.198562	0.161002	0.181476
HDC	0.00776	0.008815	0.00689	0.006577	0.00798	0.007388
HGD	0.298393	0.237027	0.303104	0.350081	0.330215	0.359811
HIST1H2BC	0.634602	0.771647	0.946823	1.0	0.946823	0.959749
HOMER2	0.514155	0.474212	0.790701	1.0	0.718193	0.69215
HOXA2	0.166354	0.180882	0.183521	0.187861	0.189463	0.188244
HPSE	0.454313	0.432594	0.256985	0.26886	0.236744	0.295677
HTRA1	0.391545	0.398095	0.24398	0.250561	0.235105	0.271808
ICOS	0.128137	0.127899	0.093939	0.110496	0.115508	0.12813
IFI27	0.069923	0.093324	0.070198	0.071751	0.096393	0.115064
IFNB1	0.10173	0.101586	0.037257	0.089912	0.092493	0.0847
IFT20	0.292891	0.268042	0.200004	0.151184	0.150262	0.215919
IGFBP2	0.281546	0.395769	0.817047	1.0	0.929107	0.805918
IL15RA	0.247266	0.277528	0.19075	0.21851	0.185807	0.239222
IL1R2	0.198443	0.226229	0.233695	0.245067	0.528588	0.516394
IL1RAP	0.763139	0.734836	0.616454	0.625547	1.0	0.856244
IL1RL1	0.188608	0.156243	0.108896	0.141062	0.170477	0.175204
IL2RA	0.212586	0.193882	0.110275	0.153409	0.129448	0.143801
IL32	0.190321	0.25469	0.355465	0.400129	0.616253	0.515022
IL4R	0.167259	0.267163	0.133281	0.134953	0.205857	0.255469
IL5RA	0.09179	0.092124	0.057951	0.103508	0.099259	0.090483
IL6ST	0.85468	0.822371	0.42814	0.579614	1.0	0.855463
ING2	0.708479	0.593099	0.539264	0.652213	0.565032	0.642523
