Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ABCA13	0.002107	0.025749	1.0	0.002646	0.0	0.0	0.001958	0.0	0.0
ABCB4	0.000181	0.002468	0.000138	0.002664	0.347188	1.0	0.023386	0.0	0.000496
ACER1	0.117623	0.000569	0.001988	0.0	0.0	0.0	0.0	0.062335	0.020887
ACSS3	0.000179	0.014131	0.839759	0.000952	0.0	0.0	0.006201	0.0	0.0
ADAM23	0.03287	0.004856	0.002712	0.0	0.0	0.034903	0.0	0.340943	0.021713
ADAMTS1	0.003659	2e-05	0.003518	0.448252	0.0	0.0	0.0	0.0	0.024922
AFF3	0.045297	0.008422	0.001247	0.001229	0.36208	1.0	0.0	0.002128	0.000349
AGAP1	0.031841	0.004965	0.011357	0.430699	0.0	0.0	0.016389	0.21291	0.455079
AIM2	0.00173	0.04112	0.208123	0.003846	1.0	0.044581	0.0	0.021833	0.02598
AIRE	0.000111	1.5e-05	0.000127	0.0	0.00022	0.000222	0.0	0.006109	0.000193
AK5	1.0	0.004345	0.001903	0.104262	0.001918	0.0	0.067612	0.097004	0.029659
AKAP6	0.036602	9.8e-05	0.000213	0.000212	0.029013	1.0	0.018853	0.010287	0.005494
AKR1C3	0.005522	0.001061	0.004187	0.326985	0.0	0.000242	0.002922	0.008559	0.003914
AKR1E2	1.0	0.039476	0.013023	0.03856	0.0	0.013247	0.058753	0.298001	0.025031
ALPL	0.0	0.000227	0.77612	0.0	0.009518	0.000248	0.001312	0.00014	0.0
ALS2CL	1.0	0.107932	0.008457	0.00045	0.001847	0.0	0.024215	0.927183	0.043093
ANKRD55	0.510049	0.006577	0.119014	0.0	0.003816	0.0	0.00066	0.124912	0.001379
ANXA3	0.000629	0.00253	1.0	0.0	0.001042	0.000677	0.00129	0.0	0.0
APOE	6.3e-05	3.5e-05	2e-06	1.2e-05	4.9e-05	3.9e-05	1.0	2e-05	2.5e-05
AQP3	0.272436	0.001006	0.0	0.00463	0.00373	0.000312	0.000442	1.0	0.218054
ARG1	0.004454	0.001304	0.82429	0.000749	0.001936	0.002885	0.000362	0.000553	0.0
ASGR1	0.000481	0.111721	0.000318	8.8e-05	0.0	0.0	0.001667	0.000319	0.0
ASPHD1	0.0	0.0	0.001162	0.0	0.007283	0.001999	1.0	0.0	0.000791
ATRNL1	0.011282	0.021901	0.025089	0.0	0.535985	0.029033	0.001155	0.026932	0.026886
B3GALT2	0.003569	0.000432	0.016649	0.001065	0.0	0.002102	5e-05	0.127761	0.048343
B3GNT7	0.00176	0.000311	0.00283	1.0	0.079498	0.025639	0.021207	0.000619	0.017572
B4GALNT4	0.025233	0.000128	0.001814	0.006749	0.0	0.0	0.0	0.032136	0.140276
BACE2	0.012065	0.0	0.009587	0.005287	1.0	0.789843	0.00395	0.000481	0.000199
BANK1	0.000198	0.004822	0.000191	0.001204	0.866827	1.0	0.0	0.000274	0.000269
BEND7	0.002017	0.017332	0.46543	0.0	0.007403	0.0	0.001667	0.0	0.0
BLK	0.004448	0.000633	5.4e-05	0.001065	1.0	0.912972	0.0	0.001973	0.005731
