Row	ascites7873R1	ascites7873R2	ascites7882R1	ascites7882R2	ascites7892R1	ascites7892R2
ABLIM1	0.057078	0.060125	0.074444	0.084025	0.142299	0.085174
ACER3	0.14475	0.131278	0.107921	0.061708	0.068425	0.066798
ACSL1	0.31186	0.313289	0.236273	0.226197	0.265688	0.266152
ADAM28	0.170729	0.189316	0.053402	0.062646	0.066403	0.071889
ADM	0.320354	0.39219	0.273813	0.27735	0.369076	0.469506
AGAP1	0.133574	0.155894	0.349348	0.296559	0.254402	0.286678
AHI1	0.060084	0.05363	0.03705	0.038189	0.045968	0.044036
AIG1	0.572833	0.525	0.667353	0.83076	0.8315	0.9914
AIM2	0.026157	0.024679	0.015089	0.017798	0.01578	0.019239
AKR1C3	0.077405	0.082988	0.084511	0.108874	0.084447	0.109981
ALCAM	0.649515	0.594376	0.688595	0.743485	0.818449	0.79273
ALDH1A1	0.773644	0.757678	0.411024	0.556511	0.310549	0.393181
ALDH2	0.049133	0.074733	0.060862	0.057539	0.033569	0.059698
ALPL	0.061574	0.068562	0.07248	0.079871	0.084575	0.088151
ANAPC10	0.689818	0.734112	0.528892	0.549088	0.528892	0.636027
ANKRD9	0.070753	0.084882	0.107271	0.114987	0.090968	0.103842
ANXA3	0.617007	0.531273	0.725838	0.873894	0.89235	1.0
APOBEC3A	0.06212	0.081927	0.062189	0.072765	0.138131	0.171578
AQP9	0.092223	0.093289	0.050172	0.057668	0.099423	0.093189
ARHGAP22	0.190158	0.204625	0.119063	0.097545	0.131125	0.137221
ASGR1	0.142434	0.183712	0.108493	0.116383	0.091242	0.092389
ATP8B2	0.102535	0.108128	0.105492	0.10313	0.117789	0.12844
AXL	0.043012	0.044309	0.043743	0.036073	0.04003	0.040431
B3GNT7	0.024962	0.028669	0.024176	0.025299	0.025973	0.03069
BACE2	0.425014	0.364422	0.795702	1.0	0.939272	0.857744
BANK1	0.032414	0.024351	0.026304	0.030858	0.027753	0.027677
BATF3	0.007329	0.005034	0.0	0.005709	0.002962	0.005443
BCL11B	0.023142	0.024205	0.018888	0.020546	0.025225	0.023598
BLK	0.041982	0.048716	0.034191	0.046075	0.05281	0.046471
BLNK	0.052056	0.051174	0.038962	0.04409	0.032739	0.035927
BST1	0.998342	1.0	0.328559	0.407959	0.274733	0.447244
BTBD11	0.053895	0.045449	0.045678	0.040115	0.045112	0.052364
BTBD3	0.555593	0.473652	0.843591	0.974395	0.869602	0.868381
BTLA	0.03081	0.026885	0.020788	0.02392	0.027325	0.025681
BTNL8	0.04459	0.043933	0.037971	0.040795	0.05901	0.072239
C10ORF128	0.06944	0.088829	0.026104	0.047134	0.033534	0.029622
C12ORF57	0.011808	0.035926	0.047414	0.038916	0.072642	0.08404
C15ORF48	0.151983	0.12665	0.147559	0.173011	0.486978	0.62757
C1ORF54	0.093264	0.099848	0.026833	0.023455	0.013311	0.025055
C5AR1	0.100406	0.117079	0.100078	0.107851	0.118361	0.114385
CACNA2D3	0.06187	0.057512	0.035537	0.036217	0.027708	0.031136
CADM1	0.125283	0.110489	0.167398	0.0433	0.018113	0.043424
CAMK2N1	0.150563	0.132732	0.144711	0.174171	0.16025	0.18194
CAMK4	0.287163	0.311238	0.205812	0.258904	0.34888	0.30696
CAPZA1	1.0	0.932956	0.769881	0.689742	0.793457	0.712035
CCDC50	0.079495	0.073503	0.071083	0.072053	0.081468	0.077396
CCDC88A	1.0	0.951904	0.480506	0.389263	0.544516	0.422173
CCL20	0.6192	0.4332	0.6936	0.7752	0.932836	1.0
CCL5	0.010866	0.012424	0.006892	0.00955	0.008611	0.013575
CCR2	0.248744	0.239556	0.077132	0.092827	0.053995	0.068909
CCR3	0.034906	0.040466	0.041369	0.029088	0.031714	0.031899
CCR6	0.127843	0.14214	0.129599	0.14214	0.133152	0.142768
CCR7	0.009709	0.013	0.012444	0.019634	0.02952	0.027654
CD14	0.37163	0.521776	0.494529	0.500068	0.292894	0.342166
CD160	0.074636	0.045522	0.037125	0.040021	0.032763	0.038168
CD163	1.0	0.920282	0.572407	0.506137	0.536839	0.516799
CD1C	0.020275	0.022606	0.004829	0.009319	0.007717	0.013779
CD1D	0.109872	0.102251	0.047759	0.053377	0.046218	0.05411
CD2	0.059855	0.074204	0.041925	0.069237	0.062979	0.089588
CD200	0.060425	0.063955	0.060295	0.060845	0.086058	0.087801
CD207	0.055371	0.063614	0.047977	0.052426	0.055158	0.057109
CD22	0.046565	0.046398	0.042971	0.037244	0.030607	0.033626
CD24	0.62013	0.519948	0.889165	1.0	0.940313	0.874595
CD247	0.034662	0.041412	0.036511	0.049517	0.042509	0.047952
CD27	0.012505	0.019215	0.014235	0.0178	0.015305	0.017132
CD300LF	0.08221	0.112743	0.024764	0.028255	0.0168	0.019068
CD33	0.676943	0.58313	0.207925	0.206166	0.091867	0.149348
CD36	1.0	0.921812	0.569883	0.582449	0.362445	0.524988
CD3D	0.050795	0.077017	0.046794	0.068432	0.075079	0.083371
CD3E	0.025523	0.02902	0.018843	0.022669	0.055712	0.028745
CD3G	0.096164	0.09042	0.063318	0.07001	0.097242	0.088505
CD79A	0.00559	0.007204	0.004155	0.006796	0.009476	0.01032
CD79B	0.01117	0.016757	6.5e-05	0.01204	0.008895	0.011647
CD8A	0.012379	0.012822	0.010953	0.015806	0.020935	0.01912
CD8B	0.040697	0.047764	0.036963	0.045581	0.056142	0.05391
CD96	0.908948	0.969197	0.549299	0.732558	0.83881	1.0
CEACAM8	0.241297	0.203925	0.194175	0.176301	0.231345	0.239585
CENPK	0.779762	0.657041	0.499589	0.519041	0.520065	0.537703
CEP78	0.086358	0.089819	0.049536	0.056623	0.064014	0.067062
CFP	0.031714	0.043537	0.034634	0.037859	0.038892	0.053482
CHI3L1	0.017462	0.016794	0.012648	0.01472	0.019755	0.019051
CHN2	0.24221	0.244334	0.142958	0.152367	0.126265	0.134763
CLC	0.084544	0.097976	0.037063	0.048617	0.039799	0.052766
CLEC10A	0.056772	0.075478	0.044147	0.052324	0.034372	0.04694
CLEC2D	0.412467	0.378958	0.248996	0.284543	0.402113	0.45061
CLEC4A	0.135395	0.119235	0.033067	0.046796	0.031399	0.060638
CLEC4C	0.070044	0.068758	0.034042	0.037648	0.036778	0.048611
CLIC2	0.519943	0.459261	0.191881	0.267784	0.175124	0.279396
CLIC3	0.012827	0.017738	0.024652	0.028233	0.019941	0.024319
CLLU1	0.077056	0.073877	0.067035	0.067657	0.077402	0.07493
CMTM2	0.052945	0.062209	0.036233	0.043511	0.046976	0.079686
CNTNAP3	0.26615	0.290025	0.211628	0.222222	0.278295	0.266824
CNTNAP3B	0.296667	0.189751	0.23616	0.227317	0.271254	0.253323
COCH	0.229191	0.179823	0.18527	0.211289	0.210185	0.227298
COIL	0.15497	0.141607	0.109376	0.130578	0.107165	0.11041
COL24A1	0.161229	0.172914	0.1348	0.14259	0.151214	0.147876
CPNE5	0.033701	0.029316	0.022425	0.04009	0.021093	0.068654
CPVL	0.461397	0.476422	0.226556	0.262632	0.175982	0.234998
CR2	0.702783	0.549687	0.664935	0.74421	0.730056	0.594434
CREB5	0.104537	0.093003	0.075122	0.092716	0.159587	0.115327
CRISP3	0.54491	0.386338	0.45265	0.499933	0.593923	0.61725
CRISPLD2	0.045584	0.046078	0.050085	0.05554	0.065546	0.058886
CRTAM	0.271865	0.236998	0.175647	0.199649	0.150082	0.176942
CSF3R	0.129883	0.18235	0.105275	0.097458	0.208857	0.17577
CST3	0.455605	0.619972	0.510223	0.588973	0.441193	0.492246
CST7	0.019736	0.024313	0.019607	0.033335	0.033098	0.037489
CSTA	0.161075	0.145442	0.036603	0.051334	0.018592	0.047262
CTNND1	0.729554	0.715946	0.784434	0.762409	1.0	0.705994
CTSW	0.011126	0.023575	0.021715	0.027631	0.031158	0.0233
CUX2	0.029793	0.03163	0.021946	0.029469	0.034034	0.032236
CXCL1	0.094473	0.088082	0.182664	0.228356	0.434098	0.428085
CXCL10	0.098844	0.089931	0.063974	0.061557	0.086618	0.182681
CXCL11	0.484216	0.4364	0.287465	0.333517	0.291927	0.480085
CXCL9	0.02623	0.020647	0.010258	0.014089	0.010388	0.016991
CXCR2	0.014426	0.016691	0.006883	0.008892	0.008672	0.009252
CYBB	1.0	0.923713	0.488391	0.51109	0.47641	0.494174
CYFIP1	0.490422	0.539873	0.318086	0.336562	0.234574	0.252883
CYP1B1	0.248349	0.233	0.083405	0.09136	0.099128	0.107954
CYP4F3	0.028574	0.033466	0.019361	0.019382	0.024098	0.020116
CYYR1	0.052212	0.043267	0.031842	0.041109	0.040444	0.044725
DEFA4	0.10169	0.0	0.057957	0.069944	0.082159	0.04161
DMD	0.919311	0.728125	0.813508	0.74887	0.983554	1.0
DPP4	0.297414	0.278621	0.19931	0.258621	0.358621	0.412177
DPYSL2	0.107022	0.108454	0.055056	0.061145	0.056299	0.056201
DSE	0.764709	0.745415	0.372537	0.432601	0.37172	0.441724
DSP	0.381868	0.31524	0.584863	0.614924	1.0	0.576985
DST	0.540307	0.432786	0.500106	0.422032	0.716743	0.627102
DUSP6	0.558103	0.562079	0.41078	0.468846	0.405192	0.455803
EBF1	0.018803	0.036476	0.048814	0.030011	0.031308	0.030474
EGR3	0.023014	0.024449	0.023573	0.021488	0.026468	0.025179
EHF	0.562571	0.506037	0.847459	0.848818	1.0	0.958081
EMILIN2	0.315059	0.350661	0.298478	0.324136	0.33792	0.292314
EMP1	0.954899	0.828817	0.95149	0.932052	0.860059	1.0
ENC1	0.181919	0.201196	0.164572	0.158927	0.155207	0.136449
ENPP1	0.190988	0.176379	0.157426	0.174427	0.184258	0.196185
ENPP2	0.370229	0.316832	0.122861	0.150106	0.312105	0.380698
EOMES	0.074722	0.08072	0.068793	0.078099	0.056011	0.061306
EPB41L3	0.912472	1.0	0.438517	0.463946	0.321449	0.404364
EPHA2	0.157481	0.193124	0.368624	0.40745	0.505541	0.49962
EPHA4	0.249741	0.218869	0.160874	0.154019	0.187133	0.158675
EREG	0.368104	0.328153	0.430625	0.452357	0.469779	0.510349
ETS1	0.529643	0.599708	0.612067	0.652453	1.0	0.840657
F13A1	0.983646	1.0	0.196866	0.21881	0.1119	0.120964
FAM102A	0.0139	0.020673	0.052498	0.053446	0.079717	0.049041
FAM129C	0.068335	0.085542	0.050363	0.045044	0.061739	0.0638
FAM135A	0.188186	0.17348	0.136235	0.14571	0.131868	0.13267
FAM198B	0.883095	0.793605	0.511159	0.633348	0.538047	0.508785
FAM20B	0.051091	0.043254	0.038047	0.05004	0.046186	0.042538
FBN2	0.469551	0.436231	0.405987	0.446176	0.542957	0.470087
FBXL16	0.0	0.003247	0.009337	0.012564	0.015161	0.002882
FCER1A	0.055618	0.05858	0.017051	0.021836	0.019689	0.029539
FCER1G	1.0	0.942737	0.550047	0.563584	0.475156	0.55315
FCGR2A	0.575168	0.558906	0.26318	0.277409	0.255616	0.305792
