Symbol	Monocytes_CD14+CD16-	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	NK_cells	Neutrophils	B_cells
ABLIM1	0.0	0.011353	0.005964	0.002683	1.0	0.665605	0.361728	0.019401	0.27205
ACER3	0.300956	0.970043	1.0	0.265875	0.034335	0.008921	0.097352	0.011792	0.0
ACSL1	0.097526	0.022852	0.021315	0.005071	0.000558	0.010602	0.009758	1.0	0.0
ADAM28	0.03767	0.821374	1.0	0.09456	0.0	0.005696	0.066086	0.111091	0.637543
ADM	0.137382	0.036082	0.015191	0.004205	0.0	0.002703	0.010383	1.0	0.000911
AGAP1	0.005522	0.003953	0.0	0.0	0.0212	0.046286	1.0	0.005069	0.013718
AHI1	0.0	0.018024	0.080756	1.0	0.017077	0.014133	0.018952	0.001006	0.005917
AIG1	0.03575	0.661833	1.0	0.0	0.068818	0.014462	0.1095	0.049	0.0075
AIM2	0.079712	0.019275	0.28538	0.0	0.019239	0.020519	0.002198	0.16243	1.0
AKR1C3	0.004378	0.0	0.012013	0.265544	0.065084	0.105516	1.0	0.016192	0.010659
ALCAM	0.121205	1.0	0.665863	0.868885	0.021233	0.017629	0.0	0.208971	0.076151
ALDH1A1	0.204931	0.00037	0.003179	0.000203	0.000328	0.001378	0.0	0.003028	0.003993
ALDH2	0.484423	1.0	0.780836	0.512544	0.003542	0.0	0.027041	0.04167	0.012103
ALPL	0.011276	0.0043	0.003111	0.002562	0.001514	0.004631	0.0	1.0	0.008051
ANAPC10	0.278965	0.11458	0.096745	0.165014	0.284407	1.0	0.310906	0.0	0.404172
ANKRD9	0.030404	0.064558	0.047277	0.00576	0.008448	0.005543	1.0	0.086273	0.0
ANXA3	0.023008	0.045586	0.058128	0.003493	0.015343	0.028436	0.0	1.0	0.000802
APOBEC3A	0.512936	0.002376	0.0	0.003022	0.00394	0.003011	0.002122	1.0	0.005444
AQP9	0.124836	4.1e-05	0.0	3.4e-05	0.001607	0.003572	0.002097	1.0	0.005813
ARHGAP22	0.047211	1.0	0.913634	0.0	0.00552	0.007369	0.00811	0.004647	0.033648
ASGR1	1.0	0.132871	0.013339	0.01302	0.000675	0.0	0.016686	0.033866	0.013498
ATP8B2	0.000716	0.0	0.012541	0.123401	1.0	0.120855	0.321702	0.046326	0.005268
AXL	0.008946	0.753971	1.0	0.448586	0.0	0.003256	0.029936	0.003372	0.013936
B3GNT7	0.003203	0.046151	0.138279	0.015417	0.0	0.002735	1.0	0.014293	0.012497
BACE2	0.003438	0.0	0.000511	0.00122	0.001642	0.005901	0.001593	0.031088	0.234106
BANK1	0.007742	0.017973	0.034344	0.014743	0.002656	0.011328	0.0	0.012402	0.634359
BATF3	0.102798	0.330623	1.0	0.017901	0.023983	0.025914	0.023551	0.046056	0.04069
BCL11B	0.002919	0.0	0.000316	0.00068	1.0	0.44881	0.176355	0.02926	0.00403
BLK	0.000942	0.014404	0.024121	0.362484	0.003882	0.0	0.00507	0.001538	0.088357
BLNK	0.004823	0.101419	0.100025	1.0	0.002496	0.004332	0.0	0.000256	0.722026
BNC2	0.029426	0.002133	0.006787	0.0	0.023516	0.070763	1.0	0.013806	0.063603
BST1	1.0	0.149004	0.0211	0.110479	0.00375	0.008097	0.009839	0.951778	0.0
BTBD11	0.168098	0.298569	0.008784	0.0	0.371248	1.0	0.166804	0.138128	0.005368
BTBD3	0.158747	0.610507	1.0	0.99201	0.030741	0.000667	0.126488	0.005406	0.0
BTLA	0.003983	0.027443	0.353116	0.204275	0.048038	0.031734	0.0	0.007924	1.0
BTNL8	0.045077	0.020985	0.019187	0.016644	0.027175	0.042852	0.011931	1.0	0.037171
C10ORF128	0.029744	1.0	0.658694	0.0	0.093274	0.047786	0.044035	0.300821	0.130189
C12ORF57	0.039381	0.105366	0.204289	0.737855	0.982123	1.0	0.552358	0.0	0.34211
C1ORF54	0.061452	0.105891	1.0	0.007753	0.015957	0.028568	0.008519	0.0	0.007206
C5AR1	0.323177	0.00063	0.0	0.000227	0.002402	0.001428	0.002598	1.0	0.001194
CACNA2D3	0.327064	1.0	0.210542	0.129208	0.003941	0.0	0.008098	0.003224	0.004108
CADM1	0.01789	0.020141	0.999012	0.002021	0.013622	0.056575	0.043697	0.0	0.037163
CAMK2N1	0.035773	0.004209	0.009712	0.0	0.278355	1.0	0.257371	0.03587	0.074136
CAMK4	0.00427	0.002135	0.0	0.001334	0.98681	0.488169	0.010408	0.014358	0.025888
CAPZA1	0.002276	0.006199	0.005736	0.003417	0.0	0.06249	0.029703	0.052264	0.002918
CCDC50	0.045981	0.169615	0.168237	1.0	0.014151	0.003143	0.02644	0.0	0.082252
CCDC88A	0.245856	0.877889	1.0	0.963966	0.016259	0.002945	0.023426	0.0	0.003502
CCR2	1.0	0.181871	0.065782	0.875525	0.198015	0.079075	0.0	0.008973	0.042927
CCR3	0.016353	0.009235	0.010723	0.115742	0.0143	0.011816	0.003489	1.0	0.011236
CCR6	0.004028	0.100568	0.089317	0.015558	0.253264	0.071056	0.0	0.023614	0.664528
CCR7	0.0	0.093234	0.054253	0.024096	1.0	0.666699	0.002108	0.039065	0.676031
CD14	1.0	0.019903	0.002885	0.0	0.013885	0.00445	0.003144	0.470286	0.016834
CD160	0.005807	0.003088	0.002252	0.0	0.006926	0.140394	1.0	0.003577	0.016858
CD163	1.0	0.688804	0.008529	0.000729	0.0	0.001689	0.010423	0.01566	0.0102
CD1C	0.051559	1.0	0.122342	0.002606	0.004888	0.002294	0.013016	0.000854	0.130286
CD1D	1.0	0.860133	0.101033	0.0	0.002771	0.000244	0.017783	0.021847	0.072719
