Symbol	Monocytes_CD14+CD16-	Dendritic_cells_(BDCA1+)	Dendritic_cells_(BDCA3+)	Dendritic_cells_(plasmacytoid+)	T_cells_(CD4+)	T_cells_(CD8+)	NK_cells	Neutrophils	B_cells
ABLIM1	0.0	0.011353	0.005964	0.002683	1.0	0.665605	0.361728	0.019401	0.27205
ACER3	0.300956	0.970043	1.0	0.265875	0.034335	0.008921	0.097352	0.011792	0.0
ACSL1	0.097526	0.022852	0.021315	0.005071	0.000558	0.010602	0.009758	1.0	0.0
ADAM28	0.03767	0.821374	1.0	0.09456	0.0	0.005696	0.066086	0.111091	0.637543
ADM	0.137382	0.036082	0.015191	0.004205	0.0	0.002703	0.010383	1.0	0.000911
AGAP1	0.005522	0.003953	0.0	0.0	0.0212	0.046286	1.0	0.005069	0.013718
AHI1	0.0	0.018024	0.080756	1.0	0.017077	0.014133	0.018952	0.001006	0.005917
AIG1	0.03575	0.661833	1.0	0.0	0.068818	0.014462	0.1095	0.049	0.0075
AIM2	0.079712	0.019275	0.28538	0.0	0.019239	0.020519	0.002198	0.16243	1.0
AKR1C3	0.004378	0.0	0.012013	0.265544	0.065084	0.105516	1.0	0.016192	0.010659
ALCAM	0.121205	1.0	0.665863	0.868885	0.021233	0.017629	0.0	0.208971	0.076151
ALDH1A1	1.0	0.001804	0.015514	0.000992	0.001599	0.006723	0.0	0.014775	0.019483
ALDH2	0.484423	1.0	0.780836	0.512544	0.003542	0.0	0.027041	0.04167	0.012103
ALPL	0.011276	0.0043	0.003111	0.002562	0.001514	0.004631	0.0	1.0	0.008051
ANAPC10	0.278965	0.11458	0.096745	0.165014	0.284407	1.0	0.310906	0.0	0.404172
ANKRD9	0.030404	0.064558	0.047277	0.00576	0.008448	0.005543	1.0	0.086273	0.0
ANXA3	0.013661	0.027067	0.034513	0.002074	0.00911	0.016884	0.0	0.593747	0.000476
APOBEC3A	0.512936	0.002376	0.0	0.003022	0.00394	0.003011	0.002122	1.0	0.005444
AQP9	0.124836	4.1e-05	0.0	3.4e-05	0.001607	0.003572	0.002097	1.0	0.005813
ARHGAP22	0.047211	1.0	0.913634	0.0	0.00552	0.007369	0.00811	0.004647	0.033648
ASGR1	1.0	0.132871	0.013339	0.01302	0.000675	0.0	0.016686	0.033866	0.013498
ATP8B2	0.000716	0.0	0.012541	0.123401	1.0	0.120855	0.321702	0.046326	0.005268
AXL	0.008946	0.753971	1.0	0.448586	0.0	0.003256	0.029936	0.003372	0.013936
B3GNT7	0.003203	0.046151	0.138279	0.015417	0.0	0.002735	1.0	0.014293	0.012497
BACE2	0.011461	0.0	0.001705	0.004066	0.005473	0.019675	0.005312	0.103649	0.780517
BANK1	0.012204	0.028333	0.054139	0.023241	0.004187	0.017857	0.0	0.01955	1.0
BATF3	0.100936	0.329234	1.0	0.015862	0.021957	0.023892	0.021524	0.044075	0.038698
BCL11B	0.002919	0.0	0.000316	0.00068	1.0	0.44881	0.176355	0.02926	0.00403
BLK	0.002598	0.039737	0.066543	1.0	0.01071	0.0	0.013987	0.004242	0.243753
BLNK	0.004823	0.101419	0.100025	1.0	0.002496	0.004332	0.0	0.000256	0.722026
BST1	0.874583	0.130317	0.018454	0.096623	0.00328	0.007082	0.008605	0.832409	0.0
BTBD11	0.168098	0.298569	0.008784	0.0	0.371248	1.0	0.166804	0.138128	0.005368
BTBD3	0.158747	0.610507	1.0	0.99201	0.030741	0.000667	0.126488	0.005406	0.0
BTLA	0.003983	0.027443	0.353116	0.204275	0.048038	0.031734	0.0	0.007924	1.0
BTNL8	0.033546	0.009163	0.007343	0.00477	0.015428	0.031294	0.0	1.0	0.025544
C10ORF128	0.029744	1.0	0.658694	0.0	0.093274	0.047786	0.044035	0.300821	0.130189
C12ORF57	0.039381	0.105366	0.204289	0.737855	0.982123	1.0	0.552358	0.0	0.34211
C15ORF48	0.012277	1.0	0.816209	0.012588	0.0	0.004432	0.028266	0.107091	0.000402
C1ORF54	0.061452	0.105891	1.0	0.007753	0.015957	0.028568	0.008519	0.0	0.007206
C5AR1	0.323177	0.00063	0.0	0.000227	0.002402	0.001428	0.002598	1.0	0.001194
CACNA2D3	0.327064	1.0	0.210542	0.129208	0.003941	0.0	0.008098	0.003224	0.004108
CADM1	0.017907	0.020161	1.0	0.002023	0.013635	0.056631	0.04374	0.0	0.037199
CAMK2N1	0.035773	0.004209	0.009712	0.0	0.278355	1.0	0.257371	0.03587	0.074136
CAMK4	0.004327	0.002164	0.0	0.001352	1.0	0.494694	0.010548	0.01455	0.026234
CAPZA1	0.001109	0.00302	0.002794	0.001665	0.0	0.030443	0.01447	0.025461	0.001422
CCDC50	0.045981	0.169615	0.168237	1.0	0.014151	0.003143	0.02644	0.0	0.082252
CCDC88A	0.239798	0.856258	0.97536	0.940214	0.015858	0.002873	0.022849	0.0	0.003416
CCL20	0.0279	0.0256	0.0896	0.0036	0.053345	0.636646	0.0268	0.10776	0.0
CCL5	0.00388	0.003635	0.000274	0.0	0.081752	0.577327	1.0	0.030264	0.006114
CCR2	1.0	0.181871	0.065782	0.875525	0.198015	0.079075	0.0	0.008973	0.042927
CCR3	0.01291	0.005766	0.007259	0.112646	0.010849	0.008356	0.0	1.0	0.007774
CCR6	0.006062	0.151338	0.134406	0.023411	0.381119	0.106927	0.0	0.035535	1.0
CCR7	0.0	0.093234	0.054253	0.024096	1.0	0.666699	0.002108	0.039065	0.676031
CD14	1.0	0.019903	0.002885	0.0	0.013885	0.00445	0.003144	0.470286	0.016834
CD160	0.005807	0.003088	0.002252	0.0	0.006926	0.140394	1.0	0.003577	0.016858
CD163	0.326068	0.224597	0.002781	0.000238	0.0	0.000551	0.003399	0.005106	0.003326
