TissueNames	Epithelial Cell Airway	Canonical Epithelial Cell	Epithelial Cell Placental	placental.pericyte	pulmonary.artery.endothelial.cell	vein.endothelial.cell	Glomerular Endothelial Cell	articular.chondrocyte.of.knee.joint	Canonical Endothelial	hair.follicular.keratinocyte	Cardiac Fibroblast	mononuclear.cell	myometrial.cell	kidney.epithelial.cell	subcutaneous.preadipocyte	Osteoblast	epithelial.cell.of.umbilical.artery	bronchus.fibroblast.of.lung	Smooth Muscle	hair.follicle.dermal.papilla.cell	thoracic.aorta.endothelial.cell	epithelial.cell.of.proximal.tubule	Endometrial or Mammary Endothelial	Skeletal Muscle Myoblast	skeletal.muscle.satellite.cell	Melanocyte	mesenchymal.stem.cell.of.Whartons.jelly	fibroblast.of.villous.mesenchyme
AADACP1	0.021115	0.000645	0.0	0.007958	0.00855	0.289963	0.349059	0.0	0.082691	0.013848	0.06759	0.0	0.0	0.001077	0.0	0.0	1.0	0.0	0.498132	0.001263	0.038673	0.003324	0.377021	0.0	0.012379	0.002427	0.003098	0.0
AATK	0.010813	0.012658	0.00189	0.0	0.056985	0.072528	0.134656	0.000722	0.057166	0.019	0.005431	0.031285	0.0	0.006876	0.003581	0.0	0.099192	0.007793	0.010739	0.001434	0.043484	0.014697	0.062119	0.030625	0.004777	1.0	0.00341	0.001406
ABCA12	0.882567	1.0	0.401339	0.0	0.0	0.002369	0.018949	0.000974	0.002028	0.375778	0.004158	0.0	0.027375	0.395072	0.0	0.0	0.0	0.0	0.003473	0.002848	0.0	0.144788	0.004258	0.002818	0.006806	0.014617	0.010764	0.0
ABCA13	0.459393	0.464716	0.0	0.156322	0.0	0.0	0.137999	0.036481	0.002161	0.383377	0.0	0.031363	0.0	0.289369	0.0	1.0	0.0	0.0	0.383996	0.137174	0.007428	0.439749	0.110432	0.052245	0.037471	0.220865	0.0	0.0
ABCA4	0.005539	0.004437	0.002492	0.000578	0.017004	0.078989	0.021849	0.003303	1.0	0.05387	0.004162	0.0	0.0	0.0	0.0	0.002172	0.024718	0.0	0.002987	0.006056	0.008856	0.0	0.016062	0.016867	0.000734	0.0	0.000465	0.001978
ABCA6	0.000553	0.001345	0.003348	0.043682	0.492424	0.316316	0.034901	0.067458	0.130977	0.000347	0.722274	0.01004	0.138834	0.00019	1.0	0.234686	0.255929	0.01077	0.278852	0.201671	0.218935	0.0	0.019774	0.03792	0.166648	0.019762	0.046765	0.034981
ABCB1	0.0	1.0	0.0	0.007975	0.050597	0.004282	0.020046	0.000537	0.040482	0.001354	0.000719	0.123271	0.002517	0.024251	0.000436	0.0	0.026223	0.0	0.038618	0.0014	0.058919	0.096775	0.52529	0.0	0.0	0.019561	0.0	0.004965
ABCC2	0.005435	0.00523	0.022947	0.002251	0.010891	0.006912	0.002841	0.003974	0.007238	0.005274	0.008885	0.020603	0.0	0.000415	0.172851	0.002623	0.005423	0.002251	0.004795	0.002928	0.008607	0.008399	0.012428	0.00363	0.05809	1.0	0.011094	0.001938
ABCC6P1	0.0	0.343182	0.0	0.0	0.154645	0.0	0.082252	0.174105	0.158702	0.0	0.0	0.017125	1.0	0.089388	0.0	0.0	0.0	0.430981	0.410202	0.429683	0.023871	0.694603	0.0	0.298651	0.0	0.0	0.187597	0.158796
ABCC9	0.016217	0.053564	0.002869	0.016781	0.0	0.002024	0.047153	0.021239	0.001831	0.026683	0.137424	0.001691	0.269007	0.007071	0.483828	1.0	0.006328	0.041824	0.803476	0.351694	0.001153	0.009659	0.008365	0.067943	0.853712	0.004881	0.01632	0.438481
ABCG2	0.020906	0.018496	0.065797	0.825469	0.236262	1.0	0.268294	0.007379	0.621715	0.105544	0.021224	0.0	0.031977	0.001561	0.010104	0.004648	0.131189	0.031462	0.050548	0.013931	0.217567	0.014782	0.261733	0.088411	0.021665	0.036689	0.322156	0.043293
ABI3	0.0	0.00069	0.0	0.023684	0.31702	0.527953	0.297783	0.000516	0.234106	0.0	0.018319	0.098594	0.0	0.004756	0.00284	0.001128	0.34739	0.056947	0.001018	0.016326	0.380449	0.015327	1.0	0.0	0.023922	0.000404	0.0	0.010843
ABI3BP	0.002343	0.008667	0.039185	0.005348	0.017236	0.040111	0.004532	1.0	0.017152	0.005131	0.129003	0.0	0.023657	0.000806	0.140998	0.239804	0.043234	0.016855	0.054586	0.061524	0.043232	0.002398	0.030237	0.217583	0.219051	0.000847	0.005519	0.007179
ACAN	0.0	0.0	0.0	0.0	0.0	0.000134	0.000744	1.0	0.001212	0.0	0.000222	0.0	0.0	0.00012	0.0	0.005708	0.0	0.000152	0.020753	0.004126	0.000388	0.0	0.000666	0.000556	7.9e-05	8.5e-05	0.0	0.000414
ACKR2	0.016229	0.053663	1.0	0.000618	0.000257	0.0	0.003639	0.00111	0.227704	0.003247	0.021045	0.000458	0.0	0.065183	0.000715	0.0	0.0	0.006904	0.001739	0.0	0.000312	0.063903	0.00906	0.005051	0.007261	0.002619	0.001492	0.0
ACKR4	0.002201	0.001601	0.0	0.010302	0.04968	0.016105	0.004933	0.022498	0.004824	0.002359	0.006627	0.001221	0.008316	0.0	0.043309	0.001528	0.017652	0.0	0.386105	1.0	0.015359	0.0	0.010741	0.002359	0.002879	0.010088	0.0	0.038995
ACOT12	0.0	0.002046	0.0	0.286117	0.067015	0.0	0.0	0.0	0.021958	0.0	0.129609	0.091422	0.167889	0.0	0.0	0.02991	0.0	1.0	0.318543	0.015801	0.0	0.0	0.0	0.045993	0.077878	0.256631	0.220372	0.0
ACPP	0.091769	0.046733	0.001426	0.203951	0.0	0.0	0.001959	0.0	0.0	0.008039	0.044569	0.394174	0.211183	0.015021	0.559802	0.0	0.0	0.107163	0.023255	0.0	0.000869	0.005448	0.0	0.000963	0.261231	0.000769	0.011561	0.102211
ACSBG1	0.0	0.001209	0.035456	0.0	0.0	0.0	0.0	0.001899	0.000167	0.0	0.006792	0.036377	0.07615	0.0	0.0	0.0	0.0	0.0	0.002024	0.0	0.01226	0.037327	0.068121	0.041903	0.013066	0.02806	0.0	0.0
