Bleh	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
AATBC	0.021143	0.029429	14.345914	0.022857	0.1386	0.008429	0.008571	0.051429
ABCA13	0.0	0.0	0.1564	0.016071	6.073929	0.0	0.012796	0.0
ABCB4	69.449429	24.112	0.171371	0.185	0.009586	0.0	0.012571	0.034429
ACSS3	0.0	0.0	0.142029	0.009571	8.440243	0.0	0.001796	0.0
ADAM23	0.344	0.0	0.047857	0.0	0.026729	3.360286	0.323959	0.214
ADAMTS1	0.0	0.0	0.000343	7.532429	0.059114	0.0	0.06149	0.418786
ADGRE4P	0.0	0.0	0.3132	0.0	0.322657	1.210143	5.858184	0.011
ADGRG3	0.0	0.0	0.295314	0.800786	167.049257	0.0	0.025163	0.060429
ADRA2B	0.0	0.044286	9.682743	0.016071	0.1596	0.038	0.012449	0.057929
ADTRP	0.148571	0.105	0.326086	0.0	0.4365	12.173429	90.359204	0.184429
AIRE	0.044857	0.044286	0.003057	0.0	0.025586	1.2325	0.022367	0.038857
AK5	0.0	0.069	0.156314	3.750571	0.068443	3.4895	35.972653	1.066929
AKAP5	0.148571	0.538	0.009371	8.933071	0.046257	0.087571	0.097184	0.243286
AKAP6	45.098571	1.308429	0.004429	0.009571	0.009586	0.463929	1.650694	0.247786
AKR1C3	0.077714	0.0	0.340914	105.056	1.345329	2.749857	1.774041	1.257357
AKR1E2	0.141	0.0	0.420171	0.410429	0.138614	3.171857	10.643776	0.266429
ALDH1A1	0.333143	0.0	46.306857	0.0	0.822943	0.0	0.257041	0.0
ALPL	0.044857	1.722286	0.041029	0.0	140.434143	0.025357	0.0	0.0
ANKRD36BP2	0.372286	1.722286	0.036743	0.107	0.086371	0.455357	19.886327	0.258
ANKUB1	0.122143	0.0	0.027743	0.022857	4.716357	0.0	0.001224	0.0
ANXA3	0.044857	0.069	0.167571	0.0	66.245957	0.0	0.041694	0.0
AOC4P	0.0	0.081429	0.029914	0.0	3.385414	0.0	0.016163	0.0
AQP3	0.122143	0.505143	0.199886	0.606	0.087157	112.154714	30.618347	24.523929
ARG1	0.066	0.044286	0.029829	0.017143	18.860143	0.012643	0.101918	0.0
ASGR1	0.0	0.0	21.827886	0.017143	0.0622	0.062357	0.093959	0.0
B3GALT2	0.021143	0.0	0.004343	0.010714	0.167471	1.285143	0.035898	0.486286
B3GNT7	0.769143	2.384857	0.009343	29.998857	0.0849	0.018571	0.052796	0.527143
B4GALNT4	0.0	0.0	0.001886	0.099429	0.026729	0.473429	0.371735	2.066571
BANK1	258.465429	224.047714	1.267429	0.332429	0.070586	0.092071	0.072571	0.090857
BCL7A	36.872	7.375714	0.243943	0.056214	0.022229	0.844143	1.024878	0.508714
BCORP1	0.0	0.0	0.002743	0.931429	0.0191	0.0	6.044408	3.216643
BHLHE41	0.532571	3.988714	0.0046	0.010714	0.116871	0.0	0.03949	0.0
BICDL2	0.032857	0.0	0.001314	0.0	3.400329	0.018571	0.004735	0.009214
BIRC7	0.0	0.0	0.0	0.028429	0.009586	0.0	0.030082	0.132643
BLK	160.736	176.058	0.111514	0.187429	0.009586	0.347286	0.783143	1.009071
BLNK	70.106286	83.596857	0.531857	0.116929	0.049443	0.0	0.08002	0.0
BMX	0.0	0.0	0.046743	0.010714	9.464757	0.0	0.150633	0.0
BNC2	0.0	0.044286	0.001429	12.742857	0.059043	0.029714	0.031633	0.182929
BOK	0.0	0.069	0.004286	8.589	0.009586	0.0	0.025143	0.030857
BTNL9	3.666286	4.111	0.013314	0.040143	0.0582	0.0	0.003143	0.0
C12ORF74	0.179143	1.291429	0.0	0.0	0.009586	0.0	0.001388	0.0
C1ORF186	5.048571	54.537429	0.0772	0.0	0.028171	1.053286	0.229	0.0
CA6	0.0	0.0	0.002686	0.0	0.009586	0.120571	1.011184	0.289643
CACHD1	0.021143	0.0	0.018429	0.0	0.816543	0.010143	1.974918	0.0
CACNA1E	0.021143	0.029429	0.005886	0.0	8.147257	0.008429	0.0	0.0
CAMP	0.0	0.222714	0.483943	0.0	22.693214	0.0	0.002735	0.0
CASC15	0.0	0.0	0.082629	0.0	0.032443	0.008429	0.332959	0.011
CAV1	0.494286	0.056857	0.0038	0.0	0.009586	0.0	1.589286	0.015714
CBS	0.0	0.0	0.005029	0.120714	6.4884	0.0	0.062143	0.047143
CCL20	0.0	0.0	115.932114	0.0	0.556614	0.955286	0.005796	0.023143
CCL22	0.0	0.069	0.002686	0.0	0.009586	0.0	0.001918	0.0
CCL3	2.189143	0.211429	3555.674114	64.028857	11.084114	0.134643	0.034796	0.690429
CCL3L3	0.559143	0.0	497.866971	0.6635	18.686286	0.875286	0.0	0.178429
CCL5	0.848	1.440571	6.234514	505.947714	0.780871	65.625071	3.93398	521.668
CCR3	0.032857	0.132857	0.075286	0.050214	25.757171	0.012643	0.022816	0.213571
CCR4	0.044857	0.056857	0.439686	0.0	0.1104	78.831857	1.181224	18.294786
CCR5	0.0	0.056857	1.454971	0.756143	0.244743	2.031	0.084837	22.380857
CCR8	0.0	0.0	0.000457	0.0	0.009586	3.3305	0.108551	0.941857
CD160	0.111429	0.056857	0.122571	133.748714	0.079743	0.081429	0.051245	22.4255
CD163	0.111429	0.0	68.500543	0.032571	0.924114	0.010143	0.008408	0.0
CD19	111.746	102.522571	0.1016	0.130286	0.607857	0.028429	0.081449	0.0
CD1C	8.300286	130.655714	10.518571	0.084429	0.068471	0.0735	0.0	0.0
CD200	33.179429	1.533429	0.023286	0.032571	0.405729	0.218714	0.880184	0.015714
CD24	24.949571	93.692571	0.0832	0.249143	6.234343	0.0	0.088755	0.0
CD300E	0.044857	0.029429	127.736229	0.032	0.658086	0.010143	0.001918	0.0
CD34	0.0	0.0	0.036914	0.010714	0.009586	0.0	0.218571	0.0
CD36	0.166286	0.044286	329.527657	0.045	2.087486	0.142786	0.077388	0.013
CD40LG	0.032857	0.0	0.088971	0.049714	0.0818	20.512714	7.836816	1.163286
CD5	0.822571	0.465143	0.5262	0.291929	0.250757	77.698857	51.632776	36.383
CD70	0.0	13.969857	0.013486	0.079571	0.039157	1.851071	0.099286	1.69
CD79A	408.770286	359.480857	0.271343	1.036	0.773543	0.127714	1.054653	0.330643
CD8A	0.021143	0.0	0.627171	19.620286	0.179557	0.387143	0.014327	269.677714
CD8B	0.0	0.0	0.460286	1.126143	0.094757	0.506357	0.739449	276.696857
CDH2	0.0	0.0	0.005714	0.021286	3.506414	0.0	0.062143	0.019857
CFAP58	0.0	0.0	0.1072	0.113643	7.012686	0.0	0.007755	0.0
CFH	0.0	0.0	0.160543	1.172643	0.086714	15.002071	0.448633	4.906571
CHL1	4.106	2.247571	0.0012	0.0	0.021814	0.0	0.003143	0.0
CHN1	0.344	0.143429	0.166971	0.383429	0.780557	13.0165	0.743755	2.577357
CHSY3	0.0	0.0	0.001086	0.998	0.009586	0.0	0.004327	0.0
CLDN9	0.0	0.0	0.011829	0.0	4.1248	0.012643	0.001918	0.0
CLEC10A	0.032857	0.0	21.259429	0.009571	0.040671	0.056143	0.007061	0.0
CLECL1	1.352	57.329429	1.777486	0.034	0.009586	3.573	0.197959	4.928429
CLIC3	0.066	0.166	0.034743	150.315429	0.009586	0.891286	0.050306	7.594857
CMTM2	0.0	0.0	3.113686	0.193429	315.452571	0.135143	0.024469	0.124643
CNTNAP2	12.829429	0.849571	0.000286	0.016071	0.026729	0.0	0.021143	0.0
CNTNAP3	0.0	0.201286	0.0308	0.0	70.949671	0.012643	0.043122	0.023143
COBLL1	97.797429	86.175143	0.126457	0.107	0.2385	0.03	0.230388	0.0
COL19A1	71.560286	9.940714	0.004114	0.026786	0.009586	0.0	0.071571	0.0
COL4A3	1.198286	31.912714	0.008457	0.087714	0.009586	0.049286	0.071449	0.053857
COL4A4	0.344	5.981429	0.002114	0.123429	0.009586	0.018571	0.039082	0.027571
COL5A3	0.0	0.0	0.0076	0.162071	0.031971	2.477571	0.039061	2.614643
COL6A2	0.201286	0.029429	0.080514	24.016571	0.202514	6.019429	6.121469	39.153214
CORO2B	1.232571	0.044286	0.001486	0.0	0.009586	0.0	0.001878	0.0
CPA5	0.0	0.0	0.0	0.0	0.009586	1.682214	1.472878	2.273214
CPNE5	8.788571	33.461571	0.114743	0.089286	0.457757	0.104	0.148816	0.148143
CPNE7	0.0	0.0	0.0	0.078143	0.075057	1.763357	0.057082	1.213357
CPVL	0.111429	0.029429	236.351029	0.096143	0.923443	0.145357	0.347245	0.122
CRTAM	0.032857	0.0	1.591	5.157214	0.075443	0.387714	1.144939	16.162286
CSF3R	0.283429	0.081429	259.927714	0.100571	5078.124857	0.02	0.107837	0.0
CTAG2	0.0	0.0	0.955943	0.0	0.009586	0.0	0.00849	0.019929
CTGF	0.148571	0.0	0.0	0.0	0.009586	0.010143	1.624306	0.0
CTLA4	0.0	0.0	0.095143	0.186	0.041557	24.651571	18.320633	6.289714
CXCL10	0.0	0.044286	4.085314	0.016071	0.076357	0.0	0.00602	0.0
CXCL2	0.225714	0.0	99.444057	0.111857	3.522443	0.0	0.055347	0.0
CXCR1	0.021143	0.029429	0.428371	8.170214	461.277143	0.036786	0.00751	0.237429
CXCR2	0.0	0.0	2.715429	18.712429	1311.279543	0.0	0.005265	0.45
CXCR6	0.122143	0.0	0.028343	1.585286	0.076071	2.839429	0.160041	26.802929
CYP1B1	0.111429	0.0	47.790429	0.026643	2.0193	0.0	0.00898	0.0
CYP26B1	0.0	0.0	0.000286	0.034	2.288786	0.0	0.001837	0.009214
CYP4F22	0.0	0.0	0.140143	0.426571	0.009586	0.125071	0.027898	1.275786
CYP4F3	0.021143	0.0	1.1136	0.0	152.0894	0.0	0.007102	0.031571
DAB1	0.021143	0.0	0.000629	0.1005	0.082886	1.739714	0.287898	0.241571
DACT1	1.683143	0.344	0.049543	0.044143	0.388386	1.480643	19.24349	0.011
DBNDD1	7.786429	0.527571	0.001371	0.009571	0.0153	0.224357	1.047367	0.073571
DCLK2	0.750286	2.274	0.034057	0.020286	0.009586	0.010143	0.005143	0.009214
DDO	0.0	0.0	0.893943	0.0	0.009586	0.0	0.005755	0.016571
DENND5B	15.827	21.896714	0.222143	0.078429	0.266357	0.010143	0.090408	0.0
DGKK	0.0	0.029429	0.000857	2.416143	0.027529	0.0	0.0	0.178857
DKK3	0.032857	0.091714	0.0	0.044571	0.057743	0.062571	0.244347	1.530571
DLGAP1	0.0	1.088286	0.019514	0.0	0.093771	0.190071	0.004571	0.009214
DNAJC5B	0.539714	5.186	0.189029	0.028429	0.009586	0.0	0.003429	0.0
DPP4	0.032857	0.479429	0.262029	0.137214	0.083529	46.479857	38.427755	23.420286
DSC1	0.0	0.0	0.002629	0.068286	0.065529	0.324143	5.344306	0.0995
DSP	6.872286	0.344	0.0016	0.0	0.055929	0.010143	0.002571	0.0
DUSP4	0.044857	0.179143	0.037629	0.0445	0.193529	6.591	0.279694	1.343143
EBI3	0.283429	2.274	0.0402	0.028429	0.009586	0.0	0.007673	0.0
ECSCR	0.0	0.0	0.0116	0.0	0.009586	0.086214	0.46451	0.0
EDAR	0.0	0.0	0.002857	0.0	0.009586	0.811286	10.416061	0.111857
EDARADD	0.0	0.0	0.011343	0.792	0.0153	1.213429	0.092653	2.950286
ELOVL4	0.0	0.0	0.004343	0.055286	0.0153	1.841071	0.144714	0.905714
EML6	1.717429	19.338571	0.256743	0.285643	0.849486	0.206357	0.275082	0.273429
ENAH	2.257857	0.091714	0.012829	0.038	0.066386	0.0	0.081898	0.0
EPHB1	0.132	0.155714	0.271343	0.073429	219.8636	0.072	0.01498	0.089
EPHX2	0.516	0.706	0.211314	0.524571	0.162014	12.098786	46.560673	4.7515
EREG	0.077714	0.0	78.024171	0.039429	0.582671	0.0	0.055673	0.0
ESPN	0.0	0.0	0.0	0.134714	0.009586	1.276214	0.080245	0.592429
ESPNL	0.055429	2.327286	0.001029	0.020286	0.047529	0.023714	0.009204	0.009214
FAM111B	50.668429	16.792571	0.007571	0.701929	0.009586	0.157714	0.028041	0.42
FAM129C	204.608571	199.463429	0.375343	0.257143	2.402657	0.072429	0.083449	0.085786
FAM153A	1.410571	0.283429	0.139657	0.061643	0.009586	11.898786	40.288673	0.997929
FAM177B	14.816286	3.253714	0.008914	0.026643	0.909114	0.026143	0.048776	0.023143
FAM198B	0.0	0.0	52.3208	0.009571	0.717271	0.0	0.454816	0.0
FAM69B	12.272857	0.812	0.012771	0.062286	0.022229	0.054	0.111204	0.044571
FASLG	0.032857	0.029429	0.005829	16.910214	0.022829	0.190786	0.026061	2.606571
FAT4	0.021143	0.0	0.0	3.615357	0.009586	0.0	0.07349	0.024
FBLN2	1.728857	7.637714	0.0668	0.242	0.009586	0.0	0.041653	0.199286
FBLN7	0.032857	0.132857	0.0278	0.055429	0.046043	5.811286	3.046449	0.216214
FCER2	219.43	33.515714	1.468371	0.145857	1.0552	0.0	0.018204	0.013
FCGR3B	0.0	0.056857	1.238943	6.0125	4233.4892	0.0	0.015	0.254643
