Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB9	0.0	0.010178	1.0	0.013516	0.031465	0.022648	0.03583	0.003138	0.047775	0.006448	0.009815	0.001243	0.007378	0.063733	0.021602	0.038864	0.169946	0.0122	0.059366	0.012562	0.022238	0.028341
ACAP1	0.026203	0.040693	0.002121	0.140732	0.240838	0.122542	0.043318	0.147844	0.26883	0.03503	0.066727	0.049683	0.022873	0.003532	0.001079	0.0	0.005224	0.000458	0.01106	0.00689	0.091779	0.078093
ACHE	0.005813	0.006933	0.010942	0.004576	0.014649	0.008248	0.004585	0.005584	0.012793	0.019387	0.006937	0.004585	0.006733	0.004769	1.0	0.030315	0.006982	0.136161	0.004957	0.009754	0.024333	0.011412
ACP5	0.027077	0.124913	0.064923	0.005028	0.03729	0.023539	0.000777	0.034883	0.053059	0.018839	0.007568	9.4e-05	0.020235	0.986687	0.060681	0.544339	1.0	0.276136	0.001877	0.006284	0.045821	0.005089
ADAM28	1.0	0.587447	0.160522	0.003879	0.012887	0.003123	0.0	0.004704	0.030882	0.00475	0.092505	0.041066	0.022349	0.020615	0.134522	0.179137	0.01145	0.019709	0.063594	0.052719	0.275233	0.058841
ADAMDEC1	0.040814	0.034631	0.012218	0.002412	0.006688	0.002743	0.000757	0.005249	0.015599	0.024437	0.005195	0.002857	0.009669	0.522376	1.0	0.585989	0.016556	0.20712	0.083068	0.181842	0.017771	0.018987
ADAMTS3	0.214896	0.152361	0.102959	0.053189	0.110596	0.076549	0.07036	0.042317	0.105983	0.088828	0.036123	0.06632	0.072516	0.058127	0.037533	0.039108	0.063015	0.05605	1.0	0.619979	0.144079	0.180876
ADRB2	0.089902	0.095117	0.046719	0.180707	0.0	0.11382	0.01443	0.004399	0.030739	0.50561	0.413133	0.50166	0.129128	0.014471	0.156095	0.062843	0.021637	0.001265	1.0	0.617533	0.415657	0.144679
AIF1	0.000377	9.4e-05	0.000218	0.054678	0.05285	0.001216	0.001544	0.0	0.000777	0.080679	0.006547	0.000309	0.652496	0.137667	0.120287	0.875717	0.246789	0.000593	0.138411	0.124926	0.002425	0.471551
AIM2	0.060438	1.0	0.306252	0.052969	0.0	0.043111	0.72623	0.236194	0.057691	0.078206	0.006726	0.017273	0.106881	0.027862	0.649011	0.020349	0.026748	0.189642	0.008119	0.001126	0.013482	0.164469
ALOX15	0.00241	0.002934	0.001321	0.001563	0.004589	0.002333	0.0	0.002727	0.005907	0.003175	0.008593	0.001563	0.001572	0.000476	6e-05	0.146479	1.0	0.00865	0.002033	0.001866	0.120607	0.008556
ALOX5	0.363827	0.49289	0.032025	0.009006	0.008232	0.020001	0.004966	0.0	0.022269	0.08382	0.02516	0.017936	0.400859	0.155358	0.009958	0.043991	0.017212	0.007856	0.124969	0.114616	0.293951	0.594242
AMPD1	0.085067	0.069763	1.0	0.019289	0.020139	0.025683	0.020072	0.015244	0.023668	0.035245	0.01697	0.017482	0.029981	0.022763	0.018054	0.017241	0.026978	0.01747	0.015994	0.022395	0.036726	0.055124
ANGPT4	0.062094	0.053917	1.0	0.15953	0.057295	0.158583	0.407651	0.416018	0.090756	0.089823	0.0	0.075896	0.034062	0.135345	0.05349	0.010976	0.038471	0.01192	0.108589	0.099181	0.024544	0.114496
ANKRD55	0.130685	0.094395	0.038036	0.05161	1.0	0.21491	0.017299	0.570028	0.041737	0.070751	0.019299	0.022111	0.042971	0.041582	0.026402	0.0	0.032953	0.0471	0.057999	0.030888	0.565022	0.203176
APOBEC3A	0.012444	0.010133	0.011933	0.005585	0.013309	0.003492	0.004401	0.00685	0.000547	0.124264	0.039624	0.01781	0.429085	0.009347	0.804865	0.020797	0.013432	0.469093	0.006948	0.0	0.198907	1.0
