Sample	Cell Type	Value
Sample 1A	NK	0.023
Sample 1A	T Cells	0.10014
Sample 1A	Monocytes	0.678
Sample 1A	Neutrophils	0.051
Sample 1A	B Cells	0.002
Sample 1A	Dendritic	0.033
Sample 1A	Unknown	0.11286
Sample 1B	NK	0.023
Sample 1B	T Cells	0.10014
Sample 1B	Monocytes	0.678
Sample 1B	Neutrophils	0.051
Sample 1B	B Cells	0.002
Sample 1B	Dendritic	0.033
Sample 1B	Unknown	0.11286
Sample 2A	NK	0.033
Sample 2A	T Cells	0.20138
Sample 2A	Monocytes	0.329
Sample 2A	Neutrophils	0.19
Sample 2A	B Cells	0
Sample 2A	Dendritic	0.026
Sample 2A	Unknown	0.22062
Sample 2B	NK	0.033
Sample 2B	T Cells	0.20138
Sample 2B	Monocytes	0.329
Sample 2B	Neutrophils	0.19
Sample 2B	B Cells	0
Sample 2B	Dendritic	0.026
Sample 2B	Unknown	0.22062
Sample 3A	NK	0
Sample 3A	T Cells	0.14789
Sample 3A	Monocytes	0.001
Sample 3A	Neutrophils	0.213
Sample 3A	B Cells	0
Sample 3A	Dendritic	0.017
Sample 3A	Unknown	0.62111
Sample 3B	NK	0
Sample 3B	T Cells	0.14789
Sample 3B	Monocytes	0.001
Sample 3B	Neutrophils	0.213
Sample 3B	B Cells	0
Sample 3B	Dendritic	0.017
Sample 3B	Unknown	0.62111
