0.12	0.01	0.86	0.0	0.0	0.01
0.67	0.1	0.01	0.1	0.12	0.0
0.08	0.05	0.21	0.0	0.01	0.65
0.2	0.47	0.01	0.09	0.11	0.12
0.01	0.05	0.0	0.64	0.3	0.0
0.14	0.01	0.17	0.04	0.16	0.48
0.02	0.42	0.0	0.02	0.52	0.02
0.8	0.02	0.01	0.11	0.01	0.05
0.24	0.16	0.0	0.27	0.04	0.29
0.51	0.02	0.06	0.34	0.04	0.03
0.03	0.92	0.02	0.01	0.02	0.0
0.02	0.02	0.05	0.01	0.01	0.89
0.05	0.56	0.35	0.02	0.01	0.01
0.07	0.02	0.02	0.87	0.01	0.01
0.54	0.06	0.0	0.12	0.22	0.06
0.03	0.01	0.01	0.41	0.37	0.17
0.03	0.03	0.15	0.0	0.0	0.79
0.86	0.12	0.01	0.01	0.0	0.0
0.67	0.03	0.19	0.0	0.1	0.01
0.69	0.04	0.09	0.11	0.01	0.06
0.04	0.03	0.01	0.01	0.05	0.86
0.21	0.05	0.01	0.07	0.61	0.05
0.08	0.01	0.36	0.01	0.54	0.0
0.17	0.01	0.0	0.12	0.64	0.06
0.51	0.28	0.0	0.14	0.05	0.02
0.34	0.01	0.01	0.0	0.64	0.0
0.0	0.01	0.18	0.01	0.01	0.79
0.05	0.26	0.18	0.24	0.04	0.23
0.0	0.64	0.12	0.08	0.0	0.16
0.19	0.2	0.12	0.0	0.24	0.25
0.72	0.0	0.19	0.02	0.0	0.07
0.0	0.02	0.38	0.54	0.0	0.06
0.24	0.42	0.26	0.02	0.0	0.06
0.0	0.0	0.54	0.02	0.42	0.02
0.0	0.06	0.21	0.54	0.14	0.05
0.07	0.52	0.14	0.01	0.23	0.03
0.02	0.01	0.79	0.01	0.0	0.17
0.01	0.0	0.14	0.0	0.0	0.85
0.65	0.02	0.01	0.28	0.01	0.03
0.01	0.53	0.02	0.17	0.14	0.13
0.71	0.0	0.02	0.0	0.01	0.26
0.26	0.01	0.55	0.0	0.05	0.13
0.19	0.42	0.01	0.03	0.26	0.09
0.03	0.94	0.01	0.0	0.0	0.02
0.41	0.32	0.05	0.02	0.02	0.18
0.01	0.01	0.02	0.28	0.36	0.32
0.03	0.44	0.01	0.16	0.27	0.09
0.01	0.66	0.23	0.0	0.1	0.0
0.03	0.87	0.01	0.0	0.09	0.0
0.0	0.0	0.29	0.01	0.61	0.09
0.0	0.0	0.0	0.01	0.98	0.01
0.02	0.58	0.3	0.04	0.04	0.02
0.18	0.0	0.1	0.03	0.69	0.0
0.05	0.12	0.59	0.05	0.09	0.1
0.0	0.04	0.13	0.03	0.79	0.01
0.0	0.04	0.8	0.12	0.04	0.0
0.09	0.36	0.05	0.0	0.15	0.35
0.01	0.01	0.9	0.02	0.0	0.06
0.05	0.01	0.0	0.9	0.04	0.0
0.56	0.0	0.01	0.42	0.01	0.0
0.26	0.12	0.01	0.17	0.07	0.37
0.52	0.02	0.08	0.12	0.1	0.16
0.01	0.52	0.02	0.09	0.02	0.34
0.0	0.11	0.0	0.0	0.88	0.01
0.51	0.12	0.03	0.02	0.05	0.27
0.53	0.02	0.13	0.02	0.29	0.01
0.01	0.15	0.33	0.25	0.01	0.25
0.95	0.0	0.01	0.04	0.0	0.0
0.52	0.02	0.0	0.0	0.03	0.43
0.04	0.01	0.25	0.61	0.08	0.01
0.01	0.26	0.04	0.11	0.38	0.2
0.6	0.11	0.08	0.02	0.07	0.12
0.06	0.0	0.11	0.78	0.04	0.01
0.0	0.16	0.02	0.8	0.02	0.0
0.0	0.93	0.0	0.03	0.04	0.0
0.02	0.0	0.75	0.03	0.19	0.01
0.09	0.14	0.12	0.55	0.01	0.09
0.5	0.11	0.06	0.13	0.02	0.18
0.01	0.55	0.02	0.0	0.0	0.42
0.01	0.58	0.01	0.01	0.02	0.37
0.77	0.09	0.08	0.01	0.02	0.03
0.0	0.81	0.01	0.05	0.11	0.02
0.13	0.15	0.03	0.41	0.17	0.11
0.37	0.01	0.1	0.43	0.04	0.05
0.9	0.0	0.09	0.01	0.0	0.0
0.21	0.03	0.14	0.3	0.02	0.3
0.0	0.02	0.03	0.92	0.01	0.02
0.04	0.03	0.01	0.52	0.07	0.33
0.02	0.16	0.46	0.01	0.0	0.35
0.05	0.67	0.15	0.01	0.08	0.04
0.04	0.01	0.05	0.11	0.76	0.03
0.0	0.07	0.01	0.01	0.88	0.03
0.14	0.06	0.01	0.1	0.28	0.41
0.0	0.01	0.3	0.69	0.0	0.0
0.0	0.01	0.34	0.12	0.53	0.0
0.02	0.37	0.02	0.05	0.33	0.21
0.0	0.01	0.01	0.07	0.91	0.0
0.03	0.08	0.01	0.76	0.11	0.01
0.0	0.02	0.01	0.95	0.02	0.0
0.0	0.01	0.5	0.27	0.16	0.06
