Fill	Fill	Fill	Fill	Fill
Fill	0.5	0.01	0.2	0.29
Fill	0.14	0.09	0.06	0.71
Fill	0.06	0.6	0.02	0.32
Fill	0.84	0.13	0	0.03
Fill	0.11	0.45	0.27	0.17
Fill	0.08	0.86	0.03	0.03
Fill	0.14	0.35	0.1	0.41
Fill	0.13	0	0.83	0.04
Fill	0.22	0.24	0.05	0.49
Fill	0.02	0	0.92	0.06
Fill	0.2	0.34	0.45	0.01
Fill	0.03	0.56	0.39	0.02
Fill	0.26	0.7	0.01	0.03
Fill	0.07	0.91	0.01	0.01
Fill	0.12	0.57	0.14	0.17
Fill	0.88	0.05	0.03	0.04
Fill	0.09	0.86	0.02	0.03
Fill	0.53	0.36	0.06	0.05
Fill	0.16	0.81	0.01	0.02
Fill	0.16	0.45	0.03	0.36
Fill	0.13	0.04	0.79	0.04
Fill	0.02	0.09	0.22	0.67
Fill	0.36	0.03	0.6	0.01
Fill	0.93	0.03	0.04	0
Fill	0.31	0.24	0.15	0.3
Fill	0.36	0.39	0.03	0.22
Fill	0.09	0.05	0.02	0.84
Fill	0	0.01	0.99	0
Fill	0.41	0.02	0.53	0.04
Fill	0.1	0.21	0.29	0.4
Fill	0.19	0.19	0.31	0.31
Fill	0.07	0.02	0.03	0.88
Fill	0.05	0.47	0.37	0.11
Fill	0.13	0.02	0.81	0.04
Fill	0.16	0.7	0.1	0.04
Fill	0.01	0.03	0.49	0.47
Fill	0.49	0.08	0.12	0.31
Fill	0.39	0	0.2	0.41
Fill	0.16	0.54	0.15	0.15
Fill	0.1	0.81	0.09	0
Fill	0.01	0.65	0.06	0.28
Fill	0.21	0.03	0.23	0.53
Fill	0.13	0.32	0.51	0.04
Fill	0.02	0.06	0.74	0.18
Fill	0.1	0.56	0.24	0.1
Fill	0.76	0.08	0.15	0.01
Fill	0.41	0.19	0.34	0.06
Fill	0.77	0.19	0.01	0.03
Fill	0.69	0.21	0	0.1
Fill	0.07	0.82	0.1	0.01
Fill	0.29	0.39	0.28	0.04
Fill	0.03	0.09	0.84	0.04
Fill	0.69	0.13	0.18	0
Fill	0.39	0.19	0.39	0.03
Fill	0.2	0.13	0.26	0.41
Fill	0.04	0.01	0.09	0.86
Fill	0.1	0.85	0.03	0.02
Fill	0.59	0.01	0.06	0.34
Fill	0.4	0.41	0.13	0.06
Fill	0.13	0.15	0.34	0.38
Fill	0.76	0.12	0.02	0.1
Fill	0.85	0.04	0.09	0.02
Fill	0.02	0.81	0.14	0.03
Fill	0.01	0.84	0	0.15
Fill	0.01	0	0.1	0.89
Fill	0.21	0.68	0.03	0.08
Fill	0.15	0.31	0.52	0.02
Fill	0.15	0.15	0.03	0.67
Fill	0.03	0.29	0.62	0.06
Fill	0.49	0.16	0.21	0.14
Fill	0.16	0.07	0.39	0.38
Fill	0.52	0.17	0.12	0.19
Fill	0.15	0.59	0.16	0.1
Fill	0.06	0.2	0.74	0
Fill	0.66	0	0.23	0.11
Fill	0	0.17	0.2	0.63
Fill	0.04	0.29	0.01	0.66
Fill	0.28	0.12	0.21	0.39
Fill	0.01	0.08	0.81	0.1
Fill	0.33	0.01	0.56	0.1
Fill	0.06	0.14	0.79	0.01
Fill	0	0.04	0.95	0.01
Fill	0.13	0.18	0.09	0.6
Fill	0.36	0.05	0.19	0.4
Fill	0.11	0.3	0.41	0.18
Fill	0.05	0.03	0.87	0.05
Fill	0.04	0.81	0.07	0.08
Fill	0.16	0.06	0.29	0.49
Fill	0.02	0.01	0.22	0.75
Fill	0.03	0.88	0.07	0.02
Fill	0.04	0.71	0.21	0.04
Fill	0.42	0.02	0.41	0.15
Fill	0.86	0.02	0	0.12
Fill	0.02	0.44	0.03	0.51
Fill	0.24	0.42	0.18	0.16
Fill	0.07	0.1	0.03	0.8
Fill	0.64	0.11	0.24	0.01
Fill	0.66	0.32	0	0.02
Fill	0.76	0.05	0.18	0.01
Fill	0.08	0.01	0.88	0.03
Fill	0.01	0.02	0	0.97
Fill	0.91	0.06	0.01	0.02
Fill	0.01	0.04	0.1	0.85
Fill	0.03	0.95	0.01	0.01
Fill	0.06	0.91	0.02	0.01
Fill	0.12	0.49	0.34	0.05
Fill	0.18	0.19	0.57	0.06
Fill	0.15	0.74	0.11	0
Fill	0.02	0.15	0.59	0.24
Fill	0.06	0.86	0.05	0.03
Fill	0.9	0	0.09	0.01
Fill	0.13	0.06	0.44	0.37
Fill	0.18	0.11	0.2	0.51
Fill	0.23	0.05	0.1	0.62
Fill	0.01	0.73	0.25	0.01
Fill	0.14	0.3	0.38	0.18
Fill	0.63	0.27	0.05	0.05
Fill	0.16	0.56	0.05	0.23
Fill	0.11	0.08	0.06	0.75
Fill	0.08	0.05	0.85	0.02
Fill	0.54	0.14	0.12	0.2
Fill	0.95	0.01	0.02	0.02
Fill	0.01	0.5	0.06	0.43
Fill	0.62	0.31	0	0.07
Fill	0.36	0.41	0.2	0.03
Fill	0.04	0.15	0.06	0.75
Fill	0.16	0.05	0.28	0.51
Fill	0.03	0.01	0.12	0.84
Fill	0.53	0.24	0.19	0.04
Fill	0.01	0.63	0.35	0.01
Fill	0.03	0.88	0	0.09
Fill	0.92	0.01	0.04	0.03
Fill	0.89	0.02	0.07	0.02
Fill	0.11	0.38	0.15	0.36
Fill	0.08	0.02	0.2	0.7
Fill	0.23	0.4	0.02	0.35
Fill	0.6	0.04	0.28	0.08
Fill	0.2	0.39	0.2	0.21
Fill	0.32	0.21	0.22	0.25
Fill	0.03	0.09	0.06	0.82
Fill	0.07	0.15	0.54	0.24
Fill	0.76	0	0.24	0
Fill	0.39	0.27	0.09	0.25
Fill	0.16	0.16	0.19	0.49
Fill	0	0.74	0.25	0.01
Fill	0.05	0.01	0.03	0.91
Fill	0.89	0.03	0.03	0.05
Fill	0.13	0.07	0.58	0.22
Fill	0.25	0.5	0.24	0.01
Fill	0.09	0.23	0.59	0.09
Fill	0.2	0.61	0.05	0.14
Fill	0.22	0.43	0.24	0.11
Fill	0.11	0.73	0.03	0.13
Fill	0.23	0.44	0.29	0.04
Fill	0.43	0.15	0.31	0.11
Fill	0.04	0.13	0.69	0.14
Fill	0.28	0.16	0.33	0.23
Fill	0.01	0	0.02	0.97
Fill	0.86	0.08	0	0.06
Fill	0.64	0.01	0.09	0.26
Fill	0.2	0.01	0.04	0.75
Fill	0.07	0.3	0.1	0.53
Fill	0.1	0.47	0.19	0.24
Fill	0.31	0.31	0.13	0.25
Fill	0.01	0.27	0	0.72
Fill	0.01	0.1	0.08	0.81
Fill	0.33	0	0.01	0.66
Fill	0.27	0.56	0.1	0.07
Fill	0.18	0.06	0.05	0.71
Fill	0.11	0.02	0.53	0.34
Fill	0.13	0.23	0.59	0.05
Fill	0.68	0	0.31	0.01
Fill	0.03	0.15	0.05	0.77
Fill	0.02	0.17	0.09	0.72
Fill	0.07	0	0.79	0.14
Fill	0.01	0.79	0.19	0.01
Fill	0.01	0.97	0	0.02
Fill	0.01	0.75	0.01	0.23
Fill	0.16	0.01	0.4	0.43
Fill	0.03	0.88	0.09	0
Fill	0.16	0.13	0.54	0.17
