Row	ascites7873R1	ascites7873R2	ascites7882R1	ascites7882R2	ascites7892R1	ascites7892R2
SPP1	30925.8	31327	12933.6	13096.2	6119.52	9910.1
FTL	10287	15561.3	10036.5	11298.3	8222.36	10596.9
TMSB4X	13105	13143.2	9054.8	9046.89	7052.26	9040.73
EEF1A1	9286.71	8678.06	7867.36	8469.67	8198.05	8984.84
RPS27	7531.88	8001.23	7115.27	7791.91	7447.93	9030.07
RPL41	5511.31	6117.27	4955.24	6241.75	5325.79	6170.16
B2M	7218.65	7713.55	3939.37	4760.39	4698.67	5960.55
TMSB10	4293.78	5384.84	5477.75	6825.46	5608.36	6325.77
ACTB	7157.74	7099.36	4152.22	4450.97	4062.27	4330.74
TPT1	4534.57	4477.93	3483.91	4261.83	4374.38	5072.2
FTH1	2984.62	2722.63	3957.66	4434.34	6785.23	4640.56
RPS24	4402.79	4227.47	3555.44	4391.16	3623.26	4217.14
RPL37A	3228.57	3740.09	3673.38	3975.45	3198.99	3507.34
RPL30	3568.58	3337.21	3330.2	3747.13	3314.84	3783.01
RPS29	3369.67	3542.62	2860.12	3183.46	2902.55	3504.81
ACTG1	2153.23	2143.25	3651.83	3981.93	3772.22	3611.54
ENO1	2288.73	2453.34	3467.17	4051.61	3255.23	3214.73
RPS20	2911.07	2715.29	2807.89	3334.76	2980.98	3402.18
MYL6	2798.26	3293.24	3008.9	3175.54	2758.63	3072.73
RPL39	4096.03	3714.54	2285.7	2587.62	2331.61	3037.52
RPL26	3096.75	3012.45	2689.94	3160.7	2700.27	3263.47
RPS15A	2951.42	2866.01	2538.48	3140.48	2695.21	3222.61
RPL37	2467.41	2663.87	2834.54	3449.25	2814.56	3136.48
RPL7	3176.05	2741	2578.32	3101.97	2734.79	3033.14
CTSB	3791.48	4311.17	2106.19	2160.61	1576.38	1934.73
PPIA	2593.05	2693.8	2256.99	2950.82	2489.06	2865.57
GAPDH	1901.4	2591.24	2796.89	3254.98	2534.47	2734.97
RPL10	2013.67	2645.87	2537.16	2868.67	2784.42	2940.53
RPS11	2098.93	2460.78	2625.86	3070.19	2586.68	2780.93
RPS3A	2964.84	2694.66	2195.51	2489.41	2279.29	2611.67
RPL11	2268.48	2381.66	2394.44	2688.59	2176.22	2647.28
RPS23	2763.03	2647.32	2066.96	2399.21	2034.15	2439.51
RPL4	2382.41	2536.14	2140.01	2526.04	2286.21	2462.86
S100A9	2607.19	3077.28	1640.63	2012.33	1980.5	2631.93
RPL31	2251.57	2335.61	2183.85	2310.13	2153.38	2342.89
UBC	2110.7	2289.65	1995.75	2329.77	2365.1	2435.92
MT-ND3	2278	1920.48	2740.76	2780.51	1685.29	2111.52
RPS19	1361.6	1911.1	2662.36	2630.78	2351.04	2473.64
RPS6	2182.29	2140.12	1888.99	2421.03	2184.93	2405.99
RPL13A	1619.31	1875.13	2129.15	2501.58	2343.14	2337.12
RPS8	1943.36	2086.97	2196.34	2239.92	2016.48	2149.85
MT-CO3	1928.68	1753.69	1972.78	1752.23	3067.9	2145.55
RPL35A	2144.92	1987.59	1900.91	2300.65	1915.93	2289.79
RPL27A	1888.86	1937.13	2263.85	2216.11	1991.33	2139.05
RPL32	1886.99	2137.66	1908.14	2255.55	1964.38	2278.41
SRGN	2811.25	2768.68	1328.09	1587.88	1656.19	2242.17
RPL34	2328.9	2120.64	1653.75	1987.77	1903.43	2271.25
RPL17	2153.96	2105.33	1707.25	2149.23	1833.58	2242.95
MT-CO1	1624.91	1438.19	1881.09	1704.63	3498.67	1958.65
RPS3	1899.76	1987.23	2157.41	2099.44	1686.66	2046.69
GLUL	2451.58	3178.06	1740.18	1819.85	1167.38	1503.08
PTMA	2003.18	1955.28	1999.56	2013.7	1784.94	2004.03
RPS27A	2039.23	1927.73	1748.03	1918.87	1803.17	2108.59
S100A8	2982.35	3036.74	1130.93	1324.19	1317.54	1735.63
HSPA8	1879.17	1746.35	1925.12	1951.46	1926.97	2067.83
RPL6	1959.75	1918.26	1638.32	2001.74	1815.38	2050.69
RPS12	1756.44	1956.55	1791.74	1938.65	1740.1	2108.66
RPL23	2198.85	2154.79	1498.21	1790.25	1563.55	1824.18
RPL21	2171.26	1984.95	1958.82	1631.6	1486.95	1754.91
CTSL	2911.95	2898.88	1346.11	1418.32	883.103	1435.33
RPS7	1448.71	1525.92	1841.38	2055.89	1733.02	1940.41
RPL19	1204.81	1557.6	1752.65	1979.98	1827.29	1962.66
HIST1H4E	722.965	1092.31	1987.01	2277.51	1831.84	2030.26
RPS10	1131.84	1407.05	1754.7	1992.99	1744.96	1885.64
RPL12	1437.97	1651.91	1427.35	1777.71	1544.31	1711.75
ALDOA	610.795	895.536	2042.73	2240.03	2008.01	1749.13
RPLP0	1136.22	1408.37	2065.72	1683.62	1553.99	1644.53
PSAP	1910.19	2163.4	1321.5	1391.55	1172.12	1336.88
RPL8	668.378	953.091	1903.3	2135.74	1885	1749.95
