Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB4	555.713449	10.744235	7.225819	4.31128	4.60586	7.406442	8.043976	6.469993	7.833082	9.312295	13.682839	4.556713	6.202496	7.95136	27.55771	121.432277	114.636747	4.872184	4.727985	34.113659	15.03053	14.906888
ABCB9	15.603544	22.094787	653.392328	24.223723	35.671507	30.048192	38.455423	17.604795	46.073657	19.715722	21.863723	16.396143	20.309426	56.251887	29.380878	40.39026	123.993306	23.384603	53.466757	23.615746	29.786442	33.679147
ACAP1	215.305951	321.621021	38.616872	1055.613378	1790.09717	922.152747	340.883424	1107.798265	1995.482601	280.075719	512.636909	387.581742	190.879024	48.972217	30.974254	23.05515	61.38655	26.412923	104.200198	73.607932	696.442802	596.025961
ACHE	15.117949	16.648847	22.123737	13.428288	27.187732	18.444927	13.441268	14.805542	24.652712	33.658448	16.653738	13.441268	16.375268	13.692963	1373.06962	48.585761	16.715474	193.159977	13.948778	20.501249	40.414927	22.766494
ACP5	605.897384	1935.201479	1120.104684	306.312519	744.656599	557.81982	248.546932	711.949744	958.916018	493.96912	340.820137	239.277068	512.931382	13644.1723	1062.475909	7633.960182	13825.05363	3989.865169	263.49793	323.381277	860.563374	307.142798
ADAM28	1943.742699	1148.120138	324.7808	22.689718	40.061713	21.233311	15.20962	24.281406	74.766335	24.370752	193.609392	94.405818	58.311203	54.966487	274.639997	360.682044	37.291726	53.219649	137.853628	116.879504	546.006157	128.686066
ADAMDEC1	371.033593	318.478799	127.967448	44.616287	80.9645	47.433514	30.552976	68.737893	156.707655	231.827254	68.277586	48.399246	106.301336	4464.262133	8524.022801	5004.969419	164.841249	1784.613941	730.192171	1569.761722	175.169911	185.505923
ADAMTS3	146.195568	106.052311	74.339169	42.390416	79.241795	57.385906	53.413024	35.411076	76.280618	65.267988	31.435269	50.819674	54.797071	45.560491	32.340167	33.351428	48.69797	44.226935	650.182586	406.233488	100.736021	124.357143
ADRB2	486.343816	510.08134	289.79845	899.648501	77.153955	595.210549	142.831911	97.174226	217.06277	2378.452129	1957.53925	2360.471299	664.88395	143.017878	787.623974	363.185006	175.633473	82.911661	4628.681578	2887.874236	1969.028818	735.663486
AIF1	24.074298	20.321859	21.969573	742.815819	718.614787	35.172248	39.50876	19.077684	29.367035	1086.959659	105.734553	23.170426	8655.680002	1841.269508	1611.228571	11610.29035	3285.640815	26.923859	1851.124125	1672.630327	51.176463	6260.640469
AIM2	327.958056	4538.991046	1429.674088	294.484614	57.080797	250.29958	3311.978393	1115.681612	315.645875	407.592905	87.227424	134.495865	536.1119	181.9571	2965.888162	148.284522	176.961588	907.039962	93.471449	62.125454	117.507706	794.214557
ALOX15	12.233595	13.753238	9.073509	9.774972	18.556562	12.009663	5.239541	13.152253	22.381425	14.452759	30.176854	9.776318	9.800855	6.621227	5.412216	430.335305	2907.327994	30.342266	11.139471	10.65485	355.252282	30.068546
ALOX5	1799.683549	2425.680554	190.331467	78.68444	74.930904	132.010122	59.087359	35.000875	143.013433	441.555623	157.036504	121.997795	1979.301155	788.539775	83.300898	248.372472	118.483495	73.105962	641.139691	590.925738	1460.758519	2917.27138
AMPD1	263.745062	217.761727	3012.768061	66.10749	68.661945	85.318367	68.461406	53.955137	79.264212	114.049538	59.140436	60.67685	98.232607	76.544567	62.397644	59.952694	89.210998	60.643496	56.208577	75.441099	118.498452	173.77664
ANGPT4	23.122173	21.312557	230.680671	44.684659	22.060148	44.475134	99.593996	101.445586	29.465078	29.258585	9.380756	26.176643	16.9187	39.33257	21.218127	11.809701	17.894285	12.018704	33.411414	31.32956	14.812344	34.718671
ANKRD55	284.412654	218.915803	117.200367	141.698111	1853.335599	436.420348	79.774972	1077.33032	123.880611	176.243881	83.38528	88.459571	126.10782	123.600429	96.203924	48.554174	108.027128	133.559628	153.228933	104.300996	1068.295022	415.242519
APOBEC3A	102.429174	89.600686	99.593996	64.355337	107.235513	52.737214	57.782316	71.37789	36.390068	723.14376	253.306815	132.219362	2415.197908	85.240085	4501.140479	148.79934	107.913789	2637.278954	71.920786	33.354855	1137.484256	5584.333309
APOBEC3G	1283.451966	1135.293933	2034.562362	2090.85254	336.6457	2340.674986	1540.772502	386.053587	979.720376	5415.054458	6314.770723	8895.302228	865.740525	278.768141	1036.993881	258.300428	203.447782	1393.358139	627.131404	327.19438	306.306215	464.441254
APOL3	222.627511	530.398133	754.868035	1209.122376	950.790272	1615.032254	1119.486881	351.129048	993.462497	1173.270474	1172.693097	1002.837652	1000.826958	238.598096	11009.29392	437.527208	219.600485	861.458739	264.675663	98.216064	107.805143	106.424509
APOL6	17.311822	11.606508	7.83161	8.448971	11.962279	8.439383	57.517186	7.177587	13.367642	9.71819	12.855272	370.396628	11.820687	13.109437	967.645146	7.784612	9.135536	159.534636	23.129925	8.195434	5.952127	19.071171
AQP9	21.342807	15.114593	15.664335	13.675483	14.192101	14.894125	13.115968	18.666706	64.26406	188.872749	93.469259	12.577756	2044.034835	4583.500675	4309.341662	399.474619	1132.650087	1454.899429	576.553304	1876.266127	128.819642	13705.68672
ARHGAP22	34.635565	48.312899	23.833518	45.014099	71.860553	22.631236	15.452661	25.409667	32.567808	12.494566	82.427535	27.398641	54.808002	175.457435	351.592206	272.989057	319.774413	2985.731104	46.747822	52.545472	81.640092	20.41036
ARRB1	15.931154	15.198158	18.992505	19.091304	18.712198	25.184219	23.05515	18.444927	7.89658	15.114267	57.396707	138.98934	440.237005	333.396272	946.013818	395.55623	43.107585	32.664494	44.466076	31.290327	26.074193	32.749621
ASGR1	40.870134	42.497827	42.612905	12.188809	10.826244	13.274209	8.195551	5.122171	19.556629	304.79346	10.823905	15.247755	976.707179	108.721892	25.236261	155.491339	76.176169	33.718623	55.016984	65.875975	40.394407	75.072678
ASGR2	30.260956	33.908542	33.913635	29.780238	36.871407	41.822495	34.463816	31.382735	113.230135	167.104238	29.553982	29.874613	1484.961048	36.119787	26.373869	760.725771	48.759093	23.496231	23.986292	20.529676	51.181962	49.902649
ATHL1	367.959991	535.782761	782.067573	806.099928	5333.944658	794.948022	231.178819	1765.552386	250.515166	216.982377	570.547141	277.084666	183.28087	52.25821	167.50326	132.631945	31.123549	26.360968	72.349403	60.489325	329.502398	1241.008114
ATP8B4	123.614986	86.805944	83.725657	69.793602	59.889263	51.014178	77.34829	29.053403	58.631073	106.471542	612.758012	1035.862627	219.344017	106.070644	33.351428	1163.254876	641.207958	109.356765	1798.044318	2105.047172	386.194681	95.696912
ATXN8OS	19.03487	17.581477	131.451958	12.108509	11.610802	12.659874	12.988397	12.423604	16.781354	24.886738	10.346931	9.398323	10.415444	10.99878	13.344003	11.402812	10.348582	12.373314	22.208495	8.571376	19.43851	15.560084
AZU1	26.084488	37.315887	54.5057	75.494184	9.996683	45.141594	20.303593	12.101873	11.811312	32.590507	411.64519	118.870656	96.504509	51.601653	163.901045	315.832824	63.667765	58.984755	600.002664	1034.586818	114.300362	82.371255
BACH2	4442.146224	1237.156184	145.924869	716.576217	1423.65694	449.178786	442.475749	245.058367	444.685032	597.15057	478.098881	511.120036	52.109152	60.730691	78.333848	56.2809	58.864334	82.814419	78.946869	68.300059	187.934603	132.764884
BANK1	7633.960182	9177.359918	108.774897	27.088701	39.564497	35.512763	4.929861	18.992505	33.465269	55.759421	33.004825	37.194858	86.587248	7.014183	16.020271	29.192635	49.229378	19.411373	79.815488	92.539396	993.03143	39.185105
BARX2	16.256213	22.625091	15.031858	14.680737	13.898946	10.899275	17.902009	19.743473	400.092078	134.586927	19.024449	26.101938	18.156228	17.141879	15.566083	28.072834	22.650171	21.759346	48.176556	26.332236	65.612411	61.558548
BCL11B	166.581299	133.713626	149.82102	4183.738789	7177.230404	4962.937555	842.214219	3186.537019	2748.114787	2581.692496	818.2108	512.27635	88.026751	78.008381	68.039032	51.078573	95.818193	76.460434	53.864809	52.158234	306.98802	166.892747
BCL2A1	112.641738	314.019133	76.39326	575.035202	452.91449	755.858403	1206.5058	698.651395	171.062582	431.974914	539.959288	526.577471	2261.391134	5560.455558	7038.536622	195.959802	135.592478	5551.253657	869.147125	3291.227822	13257.93204	8790.33201
BCL7A	1097.312303	437.914674	201.808958	119.268025	118.183842	78.521606	52.256796	70.538163	182.583469	53.792983	31.501749	60.228935	53.336481	55.798001	131.353843	185.737523	281.321708	211.804747	156.316076	190.530536	79.745705	121.286191
BEND5	571.200941	267.740789	197.854542	159.675073	219.568345	64.984565	51.466051	54.246204	28.022422	56.17743	74.643544	37.219545	57.984121	67.047186	57.113832	51.614924	66.090743	79.336885	54.238826	63.184389	82.16728	102.156982
BFSP1	8.615517	12.092517	9.834897	19.663581	130.382871	8.910363	12.089508	59.326843	14.532621	111.388406	34.614508	19.451686	21.37856	15.682064	36.951075	30.802449	19.396331	12.200579	34.022911	49.684967	13.217963	19.086522
BIRC3	1762.323129	1072.239215	363.816444	370.930725	677.980709	1121.424012	2888.707681	402.562324	2449.370773	238.924626	283.687192	1173.96483	159.952492	230.765013	1971.112539	237.501784	442.729827	10553.57544	71.256172	1951.560424	1582.230325	132.85426
BLK	1788.424777	3284.235489	42.039489	136.393648	67.999459	19.165285	10.421282	89.856028	9.580066	20.714814	10.056649	12.257574	34.134085	15.524094	11.820499	14.416667	15.285787	16.743979	10.556969	8.164953	38.700173	9.863599
BMP2K	282.309523	216.433712	104.853133	117.76525	109.308105	42.068878	146.677884	224.312525	77.320986	118.81777	107.042587	117.200367	350.591058	323.587386	655.431929	971.803651	427.676157	620.46193	2822.782124	2472.95602	900.238207	588.903794
BPI	10.469715	14.031679	15.247755	64.138905	41.299483	12.507723	6.38254	15.195843	10.779597	19.437438	837.200829	166.062104	280.001708	15.021821	16.533686	25.96026	13.482469	14.91304	973.600158	829.760687	390.588227	60.800532
BRAF	2571.803933	974.313187	492.069202	178.693105	101.026721	155.551421	178.352303	102.126026	593.32329	441.028054	298.71946	257.179905	264.878258	312.931116	369.770593	191.008753	230.094979	360.063401	153.480663	301.84377	925.522491	721.27995
BRSK2	10.445855	4.456869	34.322446	10.4622	7.924164	16.190415	40.503674	54.730544	14.764239	61.616111	18.270295	17.220131	11.758644	9.848571	10.526179	8.88663	7.498549	28.809953	46.23598	15.481934	8.252302	11.861715
