gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
ABCA12	0.06182	0.062573	0.05408	0.0	0.053584	2.349666	0.081091	0.039055	0.043951	0.04863	0.049371	0.044688	0.084687	0.104718	0.053335	0.053335	0.04715	0.04715	0.068366	0.044197	0.047396
ABCB1	0.723809	1.129583	0.134007	0.134495	0.0	0.021078	0.300287	0.159051	0.191905	2.225414	0.183395	0.120869	0.348606	0.238534	0.799856	0.914917	0.841376	1.526381	0.806741	0.255496	0.075307
ABCB4	2.290143	0.149751	0.512382	0.134138	0.262322	0.010508	0.042857	0.260976	0.167207	0.030946	0.138766	0.083192	0.318268	0.098774	0.270417	0.131199	0.088098	0.160802	0.078301	0.392294	0.0
ABCC13	0.166345	0.212726	0.240648	0.258853	0.085627	0.080715	0.182273	0.212726	0.20522	0.105942	0.314886	0.358647	0.504628	2.131879	0.037018	0.229557	0.190852	0.248853	0.118113	0.359873	0.157857
ACP5	0.985803	0.301811	2.193743	0.44514	0.0	0.605881	0.381197	2.623298	1.061529	0.40803	0.413871	0.471938	0.167905	0.764329	0.451442	0.495998	0.506216	0.327026	0.207132	0.600379	0.024211
ACSL6	0.221947	0.225382	0.396919	0.642974	0.158316	0.216228	0.224237	0.421942	0.450698	0.511148	0.457913	0.348438	0.973318	1.836448	0.0	1.698008	1.93167	1.617329	0.85543	0.61932	0.185474
ADAM28	2.288411	1.008946	0.27233	1.363519	0.043293	0.008916	0.055477	0.527095	0.719341	0.563697	0.649434	0.504722	0.582719	0.443337	0.132974	0.205998	0.083183	0.183081	0.344107	0.073462	0.0
ADAMDEC1	0.212727	0.14105	0.435927	0.546442	0.029711	0.023109	0.006774	1.908253	0.825005	0.11925	0.125556	0.073353	0.065521	0.061319	0.030515	0.080832	0.091417	0.069745	0.046171	0.04535	0.0
ADAMTS5	0.042769	0.041111	0.075043	0.202686	1.910572	0.025497	0.318039	0.082473	0.225937	0.067944	0.085632	0.056962	0.096611	0.183244	2.395437	0.056122	0.071062	0.109748	0.0	0.142183	0.008248
ADH1B	0.01829	0.011932	0.017226	0.07154	0.228946	0.011299	0.033116	0.030301	0.022772	0.027065	0.048669	0.029653	0.065877	0.118186	2.114251	0.006465	0.01341	0.024272	0.010035	0.017651	0.0
ADIPOQ	0.025033	0.02264	0.020957	0.353206	0.007427	0.0	0.000402	0.026164	0.023906	0.035297	0.052264	0.025881	0.049005	0.035009	2.722517	0.020258	0.008381	0.025316	0.022078	0.014007	0.001476
AGTR1	0.029855	0.072844	0.041183	0.200495	0.779464	0.003388	0.010464	0.040099	0.047713	0.046349	0.082948	0.05072	0.056483	0.236641	2.408546	0.031735	0.032272	0.055383	0.021574	0.055933	0.0
