gene_symbol	ACD	ACN	ALO	ATD	BCC	BU	CHA	DLE	ENL	ICD	LL	MEL	MF	NS	PS	RR	SAR	SCC	SJS	WA	WPO
ABCA12	0.950596	1.515992	1.348556	1.196053	1.682454	1.284643	1.121992	1.226276	0.281423	2.374258	0.305981	0.865635	0.35321	1.584185	2.367942	0.409764	1.241254	2.345264	0.070136	0.748122	1.324136
ABCB1	0.313467	0.27987	0.316641	0.419281	0.028003	0.122325	0.218141	0.19341	0.160039	0.027078	0.245201	0.073411	0.432541	0.301865	0.223222	0.391324	0.548493	0.07673	0.414876	0.597984	0.394598
ABCB4	0.328893	0.248008	0.225842	0.234679	0.108274	0.224519	0.2556	0.256942	0.040866	0.068155	0.100423	0.28852	0.135399	0.267715	0.254258	0.19652	0.593647	0.044851	0.122411	0.356852	0.277188
ABCC13	0.120333	0.018422	0.109807	0.090551	0.144904	0.068213	0.200037	0.09384	0.214462	0.153343	0.201763	0.196588	0.113679	0.073096	0.075814	0.157292	0.0	0.156163	0.114233	0.028496	0.02584
ACP5	0.454041	0.852694	0.695386	0.650288	0.178049	1.080138	0.506216	0.785148	1.221002	0.44551	2.115026	0.517998	1.287107	0.60903	0.848431	1.685118	0.756454	0.480934	2.219638	0.536344	1.321283
ACSL6	0.48688	0.583421	0.606913	0.539201	0.34256	0.271431	0.353147	0.868411	0.426723	0.673003	0.542871	0.370844	1.290944	0.340211	0.293469	0.644222	0.555125	0.438696	0.815374	0.500212	0.589593
ADAM28	0.256405	0.26556	0.113987	0.132974	0.171945	0.26363	0.40012	0.385365	0.321259	0.20271	0.77511	0.268943	0.558285	0.185409	0.219676	0.555583	0.92384	0.257367	0.898508	0.100088	0.253522
ADAMDEC1	0.063837	1.213611	0.14151	0.45181	0.472939	0.570386	0.236901	1.191281	1.968605	0.053604	1.992462	1.22817	2.065286	0.096651	1.041086	2.525065	2.312704	0.620217	0.864113	0.239928	0.89461
ADAMTS5	1.758888	1.980781	0.647561	1.311081	0.574133	1.795623	1.327481	0.530263	2.20438	0.180756	1.202833	1.111424	0.782432	1.319272	1.283069	1.586831	1.639339	0.641078	0.024953	1.668919	1.911754
ADH1B	1.449661	1.483289	1.382876	1.084341	0.022772	0.798506	1.858153	0.930807	0.610383	0.07336	1.021893	0.693476	0.334395	2.064495	1.264504	1.086003	1.022706	0.038122	0.022986	2.488921	1.063234
ADIPOQ	0.874263	1.328111	0.915323	0.934015	0.003496	0.373499	1.368303	0.461184	0.53166	0.012904	0.478068	0.45653	0.058087	1.42305	0.661331	0.813795	0.806356	0.007291	0.033572	1.89408	1.095461
AGTR1	1.144203	1.113143	0.527313	0.637883	0.141356	0.643862	0.81008	0.406861	0.451355	0.017327	0.797411	0.55815	0.207026	1.520072	0.838469	0.972776	1.12219	0.046895	0.069496	2.087413	0.854519
AHSP	0.168209	0.248019	0.029689	0.118486	0.139785	0.234591	0.185948	0.0	0.236583	0.21847	0.224953	0.164959	0.144834	0.15124	0.165771	0.271741	0.015805	0.177458	0.315805	0.317905	0.180738
ALAS2	0.121522	0.12762	0.092486	0.05372	0.038482	0.311592	0.165845	0.0	0.07243	0.124568	0.122283	0.06213	0.0658	0.062496	0.141036	0.233873	0.06948	0.05591	0.225785	0.323853	0.154172
ALDH1A1	0.541266	0.728067	1.163478	0.38252	0.591749	0.495732	0.473428	1.13047	0.533776	0.282622	1.502625	0.803271	0.877797	0.880421	0.689785	1.05466	1.430581	0.629313	0.502511	1.190961	0.800099
ALDH8A1	0.164387	0.293129	0.053524	0.632189	0.526381	0.373892	1.180311	0.125603	0.328996	0.461267	0.488504	0.161379	0.106762	0.277282	0.1807	0.351672	0.79326	0.07997	0.866332	0.264678	0.229734
ALOX12	0.152984	0.389113	0.134523	0.415106	0.416743	0.31087	0.260468	0.124167	0.040752	0.740414	0.092537	0.168332	0.041258	0.58339	0.589085	0.245005	0.284561	0.564629	0.060675	0.072589	0.152984
ALOX15	0.55544	0.092832	0.263747	0.137981	0.09625	0.094696	0.039693	0.0	0.072518	0.131573	0.062485	0.035542	0.652147	0.077719	0.072213	0.046843	0.114739	0.064606	0.103739	0.103426	0.122971
ALPK2	0.133566	0.311525	0.043552	0.215076	0.380055	0.338825	0.105572	0.086469	0.485028	0.02184	0.121413	0.303185	0.590617	0.116993	0.162148	0.116699	0.413006	0.166715	0.100624	0.134758	0.413714
AMPD1	0.071475	0.119418	0.030214	0.07762	0.042944	0.017078	0.021532	0.015136	0.200883	0.095654	0.27439	0.045507	0.048077	0.035571	0.039535	0.104924	0.20056	0.070599	0.082618	0.0	0.04209
ANGPT2	0.248501	0.325664	0.278451	0.23517	0.059358	0.363281	0.18367	0.558761	0.714612	0.007823	0.234222	0.22635	0.270018	0.244044	0.291515	0.193757	0.581681	0.127342	0.015708	0.412641	0.574396
ANKRD1	0.064294	0.071054	0.0	0.140528	0.082016	0.040905	0.083155	0.011807	0.139738	0.109229	0.155632	0.117769	0.075579	0.10305	0.094982	0.158831	0.148061	0.093833	0.132247	0.072561	0.132247
ANKRD36BP2	0.359509	0.144253	0.106151	0.544701	0.499435	0.227907	0.133913	0.388046	0.484946	0.450035	1.493465	0.637135	0.393386	0.348304	0.151578	0.671178	0.7738	0.533499	0.231688	0.123012	0.109153
AOC3	0.718093	0.864728	1.488171	1.003591	0.180905	0.646216	1.135631	1.28113	0.994495	0.10437	0.666149	0.578009	0.376102	1.134897	0.65103	0.583819	0.469995	0.17675	0.120722	1.768557	1.137835
APBA2	0.25352	0.20362	0.507659	0.206757	0.558338	0.282906	0.542519	0.750753	0.576294	0.449553	0.297046	0.33199	0.721309	0.149498	0.202366	0.48797	0.457609	0.243355	1.065061	0.0	0.010612
APOBEC3A	0.42861	0.423021	0.108684	0.366797	0.569636	1.07503	1.226971	0.791971	1.501852	0.081792	1.420152	0.21338	0.758748	0.070395	0.465616	1.259343	0.695644	0.872004	1.596697	0.161289	1.424687
APOC1	0.632092	1.416153	2.509316	0.090934	0.388546	0.354349	0.0	1.211212	2.063153	0.678414	2.535283	1.284922	1.605071	0.711085	0.084903	1.263193	2.333413	0.4123	1.537264	1.169045	0.599631
APOD	1.73697	1.661742	2.4914	1.420888	0.655645	1.190618	0.799339	2.103799	0.811614	1.047761	0.993012	2.038933	1.080659	1.928756	1.425596	1.106008	2.011944	0.393374	0.039183	2.071057	1.317233
APOLD1	0.975567	0.556519	1.012691	0.669794	0.500858	0.810331	1.035791	0.575635	1.542602	0.459168	1.020082	1.456654	0.265104	0.974709	0.543017	0.739904	0.767294	0.453579	0.204243	0.935071	1.034916
AQP9	0.290713	0.76781	0.350058	0.187776	0.371851	1.043669	0.473537	0.14407	0.998784	0.98898	0.601491	0.404777	0.230427	0.636289	0.214036	0.448772	0.493717	0.465839	1.282528	0.337515	0.900748
AQPEP	0.444683	0.609203	0.3157	0.491189	0.038926	0.547803	0.358218	0.136121	0.123066	0.030769	0.366023	0.198151	0.163708	0.864175	0.368083	0.446832	0.795125	0.030444	0.000632	1.267244	1.204144
ARRDC4	1.585613	1.773758	1.094918	1.404627	1.357237	1.37866	1.566205	0.977068	1.438351	1.767947	1.827881	1.210059	0.931504	1.735643	1.620558	1.658533	1.537728	1.728923	1.332479	1.531784	1.688352
ASGR1	0.191587	0.430243	0.92603	0.214956	0.108023	0.185772	0.290776	1.174185	0.343217	0.374527	0.260895	0.06928	0.213653	0.229323	0.250995	0.277462	0.679519	0.189001	1.408279	0.139009	0.458249
ASPM	0.57164	0.721738	0.507869	0.983271	0.888146	0.953237	0.417306	0.538011	0.430212	0.905523	0.392162	0.730573	1.373497	0.482745	0.989418	0.485243	0.819724	1.006903	1.040614	0.378738	1.074173
ATG16L1	0.991641	0.147736	0.595522	0.174612	0.113105	0.615991	0.959693	0.960832	0.191605	0.204637	0.224749	0.079688	0.202629	0.405028	0.423799	0.066969	0.972227	0.156679	1.072165	0.0	0.051359
ATHL1	0.386899	0.071127	0.958038	0.51145	0.11599	0.266785	0.155091	1.736279	0.400339	0.019857	0.247197	0.141667	0.877449	0.068709	0.096884	0.194724	0.472188	0.0	1.318387	0.150609	0.20079
ATM	1.072955	0.226114	0.610586	0.6407	0.421027	0.68084	0.480786	1.265713	0.712283	0.201865	0.937845	0.722205	1.525435	0.598239	0.571012	0.557019	0.911583	0.257036	0.927513	0.302198	0.553527
ATP6V0D2	0.259126	0.360638	0.0	0.44723	0.505514	0.316586	0.287433	0.094954	0.640553	0.572651	1.672817	0.761822	0.534698	0.326843	0.199522	0.790128	1.102569	0.507933	0.407922	0.180344	0.509385
ATP8A1	0.882183	0.820428	1.096143	0.885047	0.420394	0.42351	1.073558	1.160023	1.528338	0.683002	2.156814	0.947867	1.391082	0.88863	0.490358	1.787227	1.105967	0.547653	2.162832	1.066057	0.82818
ATP8B4	0.378072	0.344859	0.121248	0.272669	0.081983	0.403625	0.364196	0.193399	0.204493	0.091464	0.266212	0.138182	0.19644	0.338058	0.201988	0.176137	0.673584	0.095736	0.90824	0.617304	0.621663
BAALC	0.2188	0.390986	0.063118	0.26966	0.41651	0.400457	0.242145	0.0	0.573886	0.193485	0.501215	1.078262	0.249976	0.291775	0.184197	0.255585	0.413531	0.402829	0.097498	0.833922	0.718455
BACE2	0.905732	1.036522	0.832619	0.739133	0.779109	1.010465	1.028208	0.854915	1.209477	0.70047	0.941649	1.803631	0.565618	0.744141	0.682581	1.068796	0.808299	0.67595	0.029115	1.003004	1.063195
BACH2	0.469219	0.17571	0.149923	0.253123	1.01121	0.104603	0.468809	0.149923	0.222938	0.187133	0.136303	0.153433	0.287183	0.295506	0.06816	0.281528	0.233558	0.117967	0.543842	0.274388	0.183556
BANK1	0.125113	0.122127	0.01658	0.125412	0.177814	0.109069	0.279521	0.129304	0.337146	0.096431	0.329624	0.200646	0.424517	0.156251	0.147413	0.421646	0.350215	0.205698	0.205065	0.326216	0.163301
BCHE	0.777098	1.08153	0.389366	0.84736	0.545823	0.619547	0.819209	0.183056	0.527286	1.368271	0.67512	2.305302	0.49516	1.542335	1.195737	0.671606	0.781691	1.318418	0.024694	1.838535	0.722643
BCL11A	1.34308	1.331779	1.136754	1.445084	1.592151	1.000339	1.555779	0.825022	0.810143	1.724077	0.742723	0.635055	0.43494	1.418666	1.344697	1.087507	1.02651	1.267801	0.470242	0.850763	0.825488
BCL11B	1.915809	1.660371	1.352573	1.52054	2.384833	1.368561	1.923308	1.285486	0.959745	1.567814	1.211082	0.785397	1.419712	1.69901	1.63146	1.622647	1.650911	1.719951	1.551613	1.000333	1.178902
BCL2A1	0.195729	0.653924	0.310088	0.104928	0.423324	1.179446	0.486939	0.325654	0.771852	0.129759	0.897406	1.171785	0.783776	0.043988	0.309876	0.631392	1.584879	0.342294	1.415088	0.139875	1.07017
BEND2	0.014333	0.026263	0.027724	0.0	0.005975	0.02208	0.004212	0.025898	0.030289	0.00739	0.026993	0.009696	0.006505	0.008453	0.014154	0.030106	0.031024	0.014871	0.011475	0.024805	0.009873
BET3L	0.024925	0.013571	0.115191	0.006467	0.027934	0.047407	0.111281	0.149282	0.067874	0.075414	0.09963	0.050483	0.037929	0.026128	0.024925	0.0	0.165834	0.025827	0.058523	0.061008	0.061942
BEX1	0.374509	0.383844	0.166855	0.404413	0.772139	0.33664	0.494515	0.165044	0.756016	0.57084	0.607718	0.587666	0.52002	0.435524	0.347813	0.49672	0.0	0.436594	0.652705	0.572364	0.459557
BLK	0.159068	0.119024	0.358214	0.0	0.040166	0.091763	0.129829	0.515765	0.123929	0.119024	0.129336	0.04111	1.08632	0.01858	0.112177	0.250126	0.202884	0.077302	0.301478	0.051995	0.081148
BLNK	0.790867	1.08279	0.928674	1.009908	0.879839	0.968423	1.449116	1.070063	1.189451	0.754579	1.234646	0.713203	0.754919	0.884141	1.267327	0.965828	1.211967	1.282554	0.984045	0.973992	1.085884
BMP2	0.624279	0.830372	0.698033	0.739494	0.701498	0.845897	1.073391	0.364757	1.102168	0.863812	0.853233	0.340852	0.311508	1.13774	0.880452	0.775829	0.787456	0.806345	0.082843	0.813124	0.960346
BMX	0.078776	0.115924	0.01929	0.21547	0.105295	0.147335	0.089663	0.013603	0.138276	0.063517	0.136949	0.172462	0.062772	0.203118	0.105811	0.170553	0.142264	0.122192	0.097324	0.27217	0.231641
BTLA	0.229524	0.187828	0.012902	0.061377	0.038003	0.088816	0.264819	0.284168	0.299121	0.039787	0.486225	0.102165	1.074457	0.03622	0.164056	0.787718	0.580018	0.060652	0.73656	0.123538	0.270151
BTN3A2	1.02562	0.707999	0.378215	0.951921	0.577842	0.685364	1.229015	0.831188	0.903569	0.359287	1.029395	1.019783	1.521976	0.694202	0.728306	1.203045	1.550409	0.827096	1.729745	0.746239	0.844521
BTN3A3	0.927128	0.709723	0.553818	0.976516	0.670449	0.735801	1.672739	1.186192	0.982806	0.397664	1.115326	0.775185	1.392807	0.782861	0.873398	1.534106	2.260985	0.907218	1.627573	0.899669	0.95436
C10ORF116	1.47714	1.260132	1.33095	1.270409	0.410625	1.061749	0.283962	1.033062	0.099349	0.64849	0.057323	0.776184	0.422125	1.449735	1.125391	0.174829	1.317601	0.692771	0.205652	2.022429	1.346167
C11ORF45	0.555827	0.426142	0.612432	0.651192	0.369738	0.604186	0.59254	0.383733	0.134513	0.976204	0.450194	0.185938	0.175327	0.751524	0.769492	0.413868	1.366715	0.606933	0.476422	0.292176	0.563949
C11ORF96	2.041409	1.820637	1.750288	1.808487	0.746737	1.76856	1.61178	0.835198	2.526492	0.539407	2.009971	2.187827	1.176875	1.886688	1.557591	1.728976	1.65033	0.473328	0.152291	2.331288	2.210053
C12ORF59	0.083331	0.159548	0.049561	0.053151	0.064565	0.159548	0.211922	0.135701	0.70367	0.057349	1.243937	0.049561	0.109656	0.044785	0.084547	0.284808	1.521796	0.063962	0.823604	0.082722	0.355176
C13ORF18	0.496138	0.521467	0.2641	0.293265	0.24738	1.009155	0.663624	0.717097	0.870822	0.101582	0.792645	0.663624	0.5748	0.207931	0.288467	0.830137	0.733071	0.178957	0.706013	0.319603	0.863764
C14ORF64	0.495861	0.184588	0.408059	0.569301	0.290503	0.471991	0.882873	0.519834	0.266392	1.21821	0.167714	0.099691	0.112997	0.782807	0.039183	0.351863	0.689298	0.240115	0.379887	0.182335	0.123
C15ORF26	0.05302	0.07769	0.0904	0.028932	0.054526	0.087287	0.074613	0.138825	0.149938	0.042242	0.114675	0.100424	0.084492	0.040457	0.041052	0.097282	0.055981	0.082942	0.089777	0.0	0.037193
