Gene	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
AARS	42.309523	12.65454	14.116523	6.378447	17.147201	37.253808	40.797897	47.482831	94.283329	49.376539	173.973043	54.709873	56.144913	254.798426	69.994776	61.132354	58.403233	69.623794	1.631657	28.706502	75.097379	88.767842	42.45362	80.380311	49.26279	77.758258	97.234427	89.535812	98.3685	88.155472	172.9071	12.333436	13.930626	15.200801
AASS	7.796248	4.716363	2.867441	0.136039	1.2118	13.024018	5.154626	10.627299	0.901859	4.085093	3.8913	6.150776	2.211273	16.086955	13.262052	10.75129	6.362423	0.011679	0.036718	11.890601	8.908877	8.746448	8.271691	10.369256	14.554733	13.343083	22.123804	13.634454	14.236874	11.047676	11.883434	3.156075	0.722918	1.888593
ABCA1	22.37068	16.344927	7.3451	11.472536	0.172778	3.798493	1.584776	6.007003	19.641178	11.189079	20.24985	18.122716	4.339909	29.711909	15.244343	19.925277	4.141323	40.197533	32.519187	8.542252	3.856428	24.075224	24.055707	36.069498	20.082724	77.253047	98.3685	64.245259	63.272194	60.217522	43.872893	2.285135	0.968625	0.21545
ABCA3	0.513425	0.566159	0.706548	0.187589	2.500738	9.324636	13.03577	12.14574	1.309665	4.165508	0.386808	0.401991	0.404163	1.153809	0.553951	0.476132	0.101468	0.855809	0.043887	0.136839	0.099471	0.353576	0.22666	0.845795	3.707633	0.183435	0.220945	0.548866	4.949244	0.475402	0.419037	1.610155	1.921765	1.885442
ABCA6	3.081193	0.605588	0.737948	1.680999	0.286261	13.934347	0.70893	5.187647	1.63421	0.051233	0.127501	54.438424	1.429279	7.064124	111.050578	15.976912	0.053611	1.214673	0.611197	1.371701	6.112631	10.938397	28.661264	13.040083	39.287298	20.985342	6.898176	25.757551	9.976072	9.604196	2.657338	0.339516	0.135918	0.125422
ABCB1	0.042826	14.003119	2.053828	0.129519	35.083282	1.619072	24.690225	1.268825	0.590508	183.43405	0.931192	0.106721	0.094947	0.838799	0.086218	0.200647	0.063544	0.097639	0.066543	0.943899	0.134099	0.00062	0.044208	0.552705	0.90405	6.931226	0.528274	0.177884	0.35444	3.375712	0.344026	2.320485	9.392225	15.151558
ABCB4	0.508017	66.92189	24.789164	0.150623	0.206956	0.017687	0.68679	0.048777	0.001631	1.918638	0.068906	0.002248	0.291958	0.167782	0.122099	5.713488	0.002444	2.123953	0.000284	7.689827	0.136839	0.098792	0.11455	0.040267	0.980247	3.092557	2.028554	0.030333	0.316172	1.232808	0.137697	0.003529	0.000472	0.029976
ABCC2	0.212989	1.379571	0.481267	0.452774	0.387499	0.32317	0.321148	0.232691	0.256124	0.097869	0.192035	0.276927	0.099009	0.113328	0.225849	0.156686	0.148814	0.035211	5.336735	37.798292	0.157921	0.206956	3.903203	0.068801	0.078141	0.128741	0.462302	0.071675	0.192896	0.088878	0.163939	1.412916	0.482969	0.20341
ABCD2	0.014005	0.289407	0.772028	0.022723	0.92103	0.00031	0.093765	0.000333	0.025567	0.007386	0.001126	0.002248	0.030078	0.052151	0.055978	0.081539	0.002444	0.018469	0.006036	0.068696	0.21403	0.02078	0.043188	0.023187	0.007406	0.038316	0.019328	0.025567	0.008118	0.022137	0.0989	13.215823	8.865877	12.752677
ABCG2	0.181664	0.210536	0.001565	0.000602	0.726148	5.877519	3.475884	4.375031	0.926288	0.703778	0.115842	0.715736	0.137275	0.374797	1.069217	0.35444	1.421843	5.160426	0.029746	0.382797	0.402935	0.149622	0.282535	5.562519	0.637464	0.590508	0.39387	0.744089	1.384337	0.468384	1.199521	0.160188	1.147323	0.107516
ABLIM3	0.938002	0.001096	0.001565	0.038284	0.000407	11.249674	23.509508	11.819147	6.682767	8.175137	3.157282	31.466481	4.378108	17.29556	6.491193	11.512412	3.054223	2.796564	0.00167	2.190439	19.803843	1.985748	36.010942	9.532783	6.159286	11.691706	3.85353	4.824744	14.416221	10.995793	5.713488	0.017952	0.020599	0.000604
ABO	0.000507	0.001096	0.001565	0.018523	0.056637	0.028406	0.002251	0.155986	0.021186	0.531568	0.188986	0.03314	0.000529	0.000465	0.001095	0.000455	0.002444	0.000718	0.009584	0.001126	0.006073	0.00062	0.000642	0.00062	0.000464	0.000485	0.005056	0.000529	0.000418	0.000701	0.007955	0.127501	0.026568	0.000604
ACE	0.240015	0.137697	2.555985	0.055887	0.05573	18.266725	7.458585	35.083282	0.984889	0.150212	0.107707	64.120923	1.029941	0.843452	7.020909	5.402529	0.331225	2.753554	0.027688	0.183193	1.756755	4.720377	17.159813	0.677716	1.016507	7.632507	2.428288	3.59447	1.14278	4.563277	1.907973	0.299025	2.891738	3.050102
ACER1	0.01536	0.001096	0.001565	0.000376	0.000407	0.002158	0.002251	0.000333	0.025567	0.000537	0.002224	0.002248	0.180248	0.000465	0.016602	0.000455	0.002444	0.000254	0.000284	0.001126	0.006073	0.017853	0.000642	0.00062	0.011406	0.02094	0.000446	0.000529	0.010632	0.000701	0.000639	0.709816	0.355782	0.104638
ACOX2	2.627953	0.001096	0.001565	0.557113	0.000407	0.925828	1.183563	0.561804	0.354202	0.074446	0.044505	10.895171	7.282605	7.210261	8.183451	8.612932	0.461727	6.517029	0.037343	0.405387	2.796564	10.051887	7.116956	4.112191	10.567426	14.151404	10.899026	9.633256	7.228287	8.731	2.743938	0.002276	0.000472	0.000604
ACP5	0.131189	12.891362	97.234427	14.049134	10.736852	0.067778	0.215783	0.127596	4.070562	0.478775	14.084676	0.044426	0.157199	0.645257	0.224411	4.842005	11.454574	935.723665	6.133364	56.398075	0.006073	0.518089	0.141914	0.561312	0.143713	0.274275	0.677716	2.048245	0.713647	0.204856	1.883004	11.293215	10.998295	10.281884
ACSF2	5.229072	9.312772	20.304098	6.682767	4.230628	3.700078	6.327899	3.588561	14.777596	12.119105	8.370013	15.137728	2.654911	8.65596	59.056495	7.175161	10.643295	19.868156	4.714596	7.921671	6.261197	24.046755	4.047108	10.998295	4.784751	25.466034	13.485126	21.752619	9.721465	15.593581	8.773135	5.295838	5.302428	5.602282
ACSL4	51.672384	8.505937	9.966348	38.520365	10.297146	49.83263	39.671379	24.905339	67.864858	81.794539	25.25698	37.70887	19.373398	249.171809	71.285655	58.893404	30.933587	61.995741	48.22073	32.269153	41.477567	44.261895	73.921917	92.674409	51.579375	52.418186	82.863223	40.864862	59.160815	86.597994	70.074911	7.502847	10.247639	11.792393
ACSL6	0.046881	0.029391	0.02704	0.064792	0.193288	0.022782	0.043807	0.356722	0.097023	0.012127	0.03062	0.055758	0.024672	0.112735	0.001095	0.709816	0.163804	0.975331	0.055241	0.3573	0.083693	0.022247	0.000642	0.016693	0.062271	0.051297	0.027688	0.044342	0.024968	0.100159	0.036718	21.875807	14.546195	16.939365
ACSM5	0.166387	0.001096	0.056757	0.022324	0.000407	0.028952	0.081341	0.93409	0.001631	1.705598	0.095305	24.106653	0.000529	0.000465	0.001095	0.081341	0.002444	1.274909	0.000284	0.175919	0.006073	4.309405	0.927598	0.046774	0.062736	0.000485	0.028688	0.022247	0.025465	0.018469	0.215783	0.000254	0.000472	0.000604
ACSS3	4.160502	0.001096	0.001565	0.117548	0.004451	0.063957	0.29026	0.075188	4.908623	3.783623	0.419037	4.941409	0.778517	16.84384	8.553446	7.637109	1.506302	0.048392	9.504655	0.063544	6.599982	10.325539	2.516402	4.697987	12.615404	6.971543	8.252038	4.341577	3.565592	5.671897	4.028912	0.000372	0.000472	0.000604
ACTA2	14.013282	0.196142	0.648305	1.841367	1.778551	11.111465	16.300216	7.032499	166.606486	12.535502	3.480305	123.460191	76.587985	31.433094	63.584993	87.495173	7.900408	9.107819	5.396356	13.371108	83.052015	371.177892	27.216426	222.193075	74.42797	33.82286	94.696045	126.740539	657.765033	39.835945	99.191917	0.267888	0.997563	1.982193
ACTB	4105.668065	402.069801	380.334101	1506.076455	1220.160182	6042.170239	3713.371594	1596.255313	8093.761543	3713.371594	1276.057697	761.77965	53341.375094	1111.550674	6042.170239	8684.671249	2436.181819	1721.590651	1765.480341	10445.566477	2910.530875	4502.140363	5119.054308	2436.181819	2084.000817	657.765033	875.494971	2436.181819	8093.761543	5119.054308	7020.4229	540.182121	479.938501	586.8928
